date,open,high,low,close,volume,adj_close
2013-07-05,77.71,77.71,77.71,77.71,77,77.71
2013-07-10,77.71,79.12,79.12,79.12,50,79.12
2013-07-26,79.12,79.22,78.93,78.93,1066,78.93
2013-07-29,78.93,78.9,78.85,78.85,1821,78.85
2013-08-06,78.85,79.55,78.9,79.55,195,79.55
2013-08-19,79.55,76.08,76.07,76.08,191,76.08
2013-08-22,76.08,74,74,74,348,74
2013-08-23,74,73.49,73.49,73.49,50,73.49
2013-08-28,73.49,75,75,75,348,75
2013-09-17,75,76,76,76,253,76
2013-10-21,76,74.29,74.29,74.29,77,74.29
2013-10-22,74.29,74.84,74.83,74.83,195,74.83
2013-11-19,74.83,82.5,81.6,82,2443,82
2013-12-27,82,81.4,81.4,81.4,122,81.4
2014-02-06,81.4,76.06,75.73,76.06,1018,76.06
2014-02-18,76.06,77.85,77.82,77.82,209,77.82
2014-02-25,77.82,79.91,79.71,79.71,809,79.71
2014-04-21,79.71,78.07,78.07,78.07,23,78.07
2014-04-29,78.07,79.64,79.64,79.64,122,79.64
2015-01-06,79.64,101.82,101.82,101.82,23,101.82
2015-01-07,101.82,103.29,103.29,103.29,310,103.29
2015-01-23,103.29,105.58,105.58,105.58,140,105.58
2015-01-27,105.58,104.88,104.88,104.88,76,104.88
2015-02-09,104.88,108.7,108.7,108.7,19,108.7
2015-02-10,108.7,109.6,109.6,109.6,38,109.6
2015-02-12,109.6,110.59,110.59,110.59,27,110.59
2015-02-13,110.59,111.85,111.85,111.85,53,111.85
2015-02-24,111.85,116,116,116,65,116
2015-03-10,116,114,114,114,96,114
2015-03-20,114,117.7,117.7,117.7,44,117.7
2015-04-06,117.7,115.27,115.27,115.27,21,115.27
2015-04-09,115.27,114.71,114.71,114.71,22,114.71
2015-04-10,114.71,115.2,115.2,115.2,310,115.2
2015-04-22,115.2,112.5,112.5,112.5,53,112.5
2015-04-23,112.5,114.24,114.24,114.24,85,114.24
2015-04-30,114.24,108.05,108.05,108.05,204,108.05
2015-05-06,108.05,107.7,107.7,107.7,47,107.7
2015-05-08,107.7,113.18,113.18,113.18,47,113.18
2015-05-12,113.18,111,111,111,45,111
2015-06-08,111,110.19,110.19,110.19,85,110.19
2015-06-30,110.19,110.82,110.82,110.82,43,110.82
2015-07-15,110.82,115.96,115.96,115.96,16,115.96
2015-07-22,115.96,114.64,114.64,114.64,45,114.64
2015-07-29,114.64,116.28,116.28,116.28,45,116.28
2015-07-30,116.28,116,116,116,85,116
2015-07-31,116,117,117,117,123,117
2015-08-19,117,122.71,122.71,122.71,140,122.71
2015-09-01,122.71,113.47,113.47,113.47,3,113.47
2015-09-15,113.47,115.83,115.83,115.83,8,115.83
2015-10-22,115.83,123.18,123.18,123.18,35,123.18
2015-11-10,123.18,124.36,124.26,124.36,47,124.36
2015-11-23,124.36,132.15,132.15,132.15,43,132.15
2015-11-30,132.15,133.55,133.55,133.55,85,133.55
2015-12-10,133.55,132.45,132.45,132.45,45,132.45
2015-12-11,132.45,131.34,131.34,131.34,35,131.34
2015-12-22,131.34,130.62,130.62,130.62,53,130.62
2016-01-20,130.62,115.34,115.34,115.34,160,115.34
2016-02-16,115.34,118.65,118.65,118.65,211,118.65
2016-03-10,118.65,126.6,126.6,126.6,242,126.6
2016-03-18,126.6,131.6,131.6,131.6,160,131.6
2016-04-12,131.6,134.45,134.45,134.45,183,134.45
2016-04-19,134.45,137,137,137,35,137
2016-04-28,137,133.96,133.92,133.92,204,133.92
2016-05-11,133.92,135.85,135.85,135.85,357,135.85
2016-05-17,135.85,132.12,132.12,132.12,11,132.12
2016-05-31,132.12,132.2,132.2,132.2,189,132.2
2016-06-17,132.2,127.07,127.07,127.07,40,127.07
2016-07-11,127.07,134.84,134.84,134.84,40,134.84
2016-07-15,134.84,135.4,135.4,135.4,189,135.4
2016-10-06,135.4,128.58,128.58,128.58,36,128.58
2016-10-07,128.58,128.23,128.23,128.23,19,128.23
2016-11-10,128.23,129.24,129.24,129.24,36,129.24
2016-11-22,129.24,128.62,128.62,128.62,22,128.62
2016-11-25,128.62,131.78,131.78,131.78,72,131.78
2017-01-06,131.78,134.09,134.09,134.09,65,134.09
2017-02-16,134.09,141.34,141.34,141.34,65,141.34
2017-04-27,141.34,154.81,154.81,154.81,35,154.81
2017-04-28,154.81,154.29,154.29,154.29,37,154.29
2017-05-09,154.29,157.26,157.26,157.26,242,157.26
2017-06-16,157.26,156.06,156.06,156.06,72,156.06
2017-07-12,156.06,152.4,152.4,152.4,357,152.4
2017-07-27,152.4,146.67,146.67,146.67,10,146.67
2017-09-08,146.67,159.97,159.97,159.97,120,159.97
2017-09-26,159.97,161.71,161.71,161.71,305,161.71
2018-01-19,161.71,199.4,199.4,199.4,120,199.4
2018-05-07,199.4,184.23,184.23,184.23,100,184.23
2018-06-07,184.23,196.65,195.59,196.2,2340,196.2
2018-06-08,196.2,198.27,195.66,198.27,837,198.27
2018-06-12,198.27,200.62,200.13,200.62,152,200.62
2018-06-13,200.62,201.03,201.03,201.03,21,201.03
2018-06-14,201.03,199.3,199.3,199.3,48,199.3
2018-06-15,199.3,199.73,199.73,199.73,125,199.73
2018-06-19,199.73,199.22,199.22,199.22,25,199.22
2018-06-20,199.22,198.44,198.4,198.44,544,198.44
2018-06-21,198.44,200.37,199.87,200.37,49,200.37
2018-06-22,200.37,199.46,199.39,199.46,48,199.46
2018-06-25,199.46,197.84,197.84,197.84,41,197.84
2018-06-29,197.84,196,196,196,35,196
2018-07-17,196,200.87,200.87,200.87,58,200.87
2018-07-23,200.87,202.66,202.13,202.13,64,202.13
2018-07-30,202.13,196.64,196.64,196.64,86,196.64
2018-07-31,196.64,197.64,197.64,197.64,47,197.64
2018-08-01,197.64,196.24,196.24,196.24,51,196.24
2018-08-07,196.24,197.02,197.02,197.02,102,197.02
2018-08-14,197.02,192.78,192.78,192.78,36,192.78
2018-08-16,192.78,195.07,195.07,195.07,100,195.07
2018-08-21,195.07,199.88,199.32,199.88,340,199.88
2018-08-27,199.88,201.47,201.47,201.47,102,201.47
2018-08-28,201.47,201.49,200.71,200.71,269,200.71
2018-08-29,200.71,201.47,201.47,201.47,24,201.47
2018-08-30,201.47,200.3,200.2,200.3,46,200.3
2018-08-31,200.3,199.79,199.79,199.79,48,199.79
2018-09-04,199.79,205.8,202.46,205.8,1140,205.8
2018-09-05,205.8,206.58,204.5,204.5,1233,204.5
2018-09-06,204.5,205.84,205.12,205.21,237,205.21
2018-09-10,205.21,207,207,207,76,207
2018-09-13,207,210.3,210.11,210.3,695,210.3
2019-01-02,210.3,169.76,169.76,169.76,8,169.76
2019-02-11,169.76,183.35,183.35,183.35,8,183.35
2019-02-22,183.35,192.29,191.78,191.78,161,191.78
2019-03-05,191.78,184.46,184.46,184.46,35,184.46
2019-03-12,184.46,184.37,183.24,184.37,57,184.37
