date,open,high,low,close,volume,adj_close
2012-07-12,320,330,310,311.93,129180300,311.93
2012-07-13,311.93,315,308,311.3,3791327,311.3
2012-07-17,311.3,310,300.9,309.38,1066961,309.38
2012-07-18,309.38,313,305,312.03,3106234,312.03
2012-07-19,306,315,306,313,331138,313
2012-07-20,313,310,308,310,874713,310
2012-07-23,310,310.5,310.5,310.5,357786,310.5
2012-07-24,310.5,310,305,309.68,90309,309.68
2012-07-25,309.68,309.9,309.9,309.9,9675,309.9
2012-07-26,309.9,308.99,303,303,309323,303
2012-07-27,303,303,303,303,500000,303
2012-07-30,303,303,300,300,114636,300
2012-07-31,300,303,302,302,13411,302
2012-08-02,302,299.99,290,290,45696,290
2012-08-03,290,295,290,295,38437,295
2012-08-06,295,295.01,295,295,36796,295
2012-08-07,295,295,295,295,218848,295
2012-08-08,295,290,285,285,53714,285
2012-08-09,285,287.99,280,287.99,656822,287.99
2012-08-14,287.99,280,280,280,6115,280
2012-08-16,280,285,284,285,312978,285
2012-08-17,285,289,285,285,357283,285
2012-08-20,285,294,290,290,18246,290
2012-08-21,290,295,290,290,58063,290
2012-08-22,290,290,290,290,34718,290
2012-08-23,290,290,290,290,2753,290
2012-08-24,290,290,290,290,632,290
2012-08-27,290,286,285,285,229826,285
2012-08-28,285,285,280,285,24754,285
2012-08-29,285,290,280.1,280.1,704458,280.1
2012-08-30,280.1,290,280,283.42,110079,283.42
2012-08-31,283.42,290,283,290,16529,290
2012-09-03,290,293,293,293,3000,293
2012-09-05,293,290,280,290,8250,290
2012-09-06,290,294.99,285,294.99,27928,294.99
2012-09-07,294.99,299,285,295.34,47848,295.34
2012-09-10,295.34,299.9,299,299.9,11762,299.9
2012-09-11,299.9,298.8,295.2,295.2,19994,295.2
2012-09-12,295.2,300,299.9,300,75000,300
2012-09-13,300,300,298.97,300,328507,300
2012-09-14,300,315,298,315,62270,315
2012-09-20,315,318,318,318,2593,318
2012-09-21,318,318,315,318,12093,318
2012-09-24,318,317.99,303.5,317.99,118762,317.99
2012-09-26,317.99,312,312,312,6320,312
2012-09-28,312,319.9,314.99,319.9,57097,319.9
2012-10-02,319.9,319,310,319,117319,319
2012-10-03,319,318.75,318.75,318.75,15600,318.75
2012-10-04,318.75,318,316.99,316.99,40419,316.99
2012-10-05,316.99,316.89,316.5,316.89,59133,316.89
2012-10-08,316.89,316.89,316.89,316.89,14,316.89
2012-10-10,316.89,316.89,316.89,316.89,1126,316.89
2012-10-11,316.89,316.5,314.4,314.5,128406,314.5
2012-10-16,314.5,316,310.2,316,143736,316
2012-10-17,316,320,314.99,320,137387,320
2012-10-19,320,320,320,320,1000,320
2012-10-22,320,317.99,310.5,317.99,5000,317.99
2012-10-23,317.99,317.99,317.99,317.99,49392,317.99
2012-10-24,318,318,310,310,10195,310
2012-10-25,310,318,311.1,318,12890,318
2012-10-26,318,318.3,315,315,185969,315
2012-10-29,315,319.2,316,318.9,55099,318.9
2012-10-30,318.9,319,315,319,18000,319
2012-10-31,319,319,318.5,318.5,193450,318.5
2012-11-05,318.5,318,318,318,1644335,318
2012-11-06,318,318,308,316,97801,316
2012-11-07,316,315,315,315,202027,315
2012-11-08,315,315,313,315,1255996,315
2012-11-12,315,319.5,314,317.54,44115,317.54
2012-11-13,317.54,320,319.2,320,3587479,320
2012-11-14,320,315,315,315,28378,315
2012-11-16,315,315,315,315,1000,315
2012-11-19,315,308,308,308,3125,308
2012-11-20,308,318,310,317,152700,317
2012-11-21,317,317,315,315,1389395,315
2012-11-22,315,315,315,315,6250,315
2012-11-27,315,315,315,315,624,315
2012-11-28,315,318,313,318,47921,318
