date,open,high,low,close,volume,adj_close
2009-06-04,7.8,7.5,7.5,7.5,231192,7.5
2009-06-05,7.5,7.5,7.5,7.5,22808,7.5
2009-06-08,7.5,7.3,7.3,7.3,230290,7.3
2009-06-09,7.3,7.5,7.5,7.5,101694,7.5
2009-06-11,7.5,7.5,7.5,7.5,122446,7.5
2009-06-15,7.5,7.5,7.5,7.5,291660,7.5
2009-06-16,7.5,7.37,7.36,7.36,240864,7.36
2009-06-17,7.36,7.35,7.35,7.35,231592,7.35
2009-06-18,7.35,7.5,7.35,7.35,247285,7.35
2009-06-19,7.35,7.35,7.35,7.35,213557,7.35
2009-06-22,7.35,7.5,7.5,7.5,361714,7.5
2009-06-24,7.5,7.5,7.5,7.5,101308,7.5
2009-06-25,7.5,7.5,7.5,7.5,34075,7.5
2009-06-30,7.5,7.25,7.25,7.25,516000,7.25
2009-07-01,7.25,7.5,7.5,7.5,287085,7.5
2009-07-02,7.5,7.5,7.5,7.5,197443,7.5
2009-07-06,7.5,7.4,7.4,7.4,65864,7.4
2009-07-07,7.4,7.3,7.25,7.25,572777,7.25
2009-07-08,7.25,7,6.7,6.8,600632,6.8
2009-07-10,6.8,7,7,7,100000,7
2009-07-14,7,7,7,7,624282,7
2009-07-23,7,7,7,7,28976,7
2009-07-24,7,7.25,7.25,7.25,100000,7.25
2009-07-28,7.25,7.5,7.5,7.5,1216000,7.5
2009-07-29,7.5,7.5,7.5,7.5,42000,7.5
2009-07-30,7.5,7.5,7.5,7.5,500000,7.5
2009-08-03,7.5,7.1,7.1,7.1,139853,7.1
2009-08-04,7.1,7.3,7.3,7.3,493686,7.3
2009-08-06,7.3,7.3,7.3,7.3,50000,7.3
2009-08-07,7.3,7.3,7.3,7.3,50000,7.3
2009-08-10,7.3,7.1,7.1,7.1,138888,7.1
2009-08-12,7.1,7.3,7.3,7.3,148500,7.3
2009-08-14,7.3,7.3,7.3,7.3,11673,7.3
2009-08-19,7.3,7,7,7,1230000,7
2009-08-20,7,7,7,7,469984,7
2009-08-21,7,7,7,7,142857,7
2009-08-25,7,7,7,7,81000,7
2009-08-27,7,6.8,6.7,6.8,1117926,6.8
2009-08-28,6.8,6.8,6.8,6.8,201256,6.8
2009-08-31,6.8,6.8,6.8,6.8,50000,6.8
2009-09-03,6.8,6.8,6.8,6.8,73814,6.8
2009-09-07,6.8,6.8,6.8,6.8,116000,6.8
2009-09-09,6.8,6.8,6.8,6.8,39531,6.8
2009-09-10,6.8,6.61,6.6,6.6,2026948,6.6
2009-09-11,6.6,6.6,6.6,6.6,10000,6.6
2009-09-15,6.6,6.6,6.6,6.6,17335,6.6
2009-09-16,6.6,6.71,6.71,6.71,164937,6.71
2009-09-17,6.71,6.71,6.71,6.71,19000,6.71
2009-09-25,6.71,6.7,6.7,6.7,77000,6.7
2009-09-28,6.7,6.7,6.7,6.7,29000,6.7
2009-09-29,6.7,7,6.95,7,2232492,7
2009-09-30,7,6.94,6.94,6.94,200539,6.94
2009-10-01,6.94,6.95,6.95,6.95,178550,6.95
2009-10-02,6.95,6.94,6.94,6.94,500000,6.94
2009-10-05,6.94,6.94,6.94,6.94,14500,6.94
