date,open,high,low,close,volume,adj_close
2009-06-19,8000000,8000000,8000000,8000000,1,8000000
2009-08-21,8000000,8480000,8480000,8480000,1,8480000
2009-09-01,8480000,8000000,8000000,8000000,1,8000000
2009-09-16,8000000,8000000,8000000,8000000,1,8000000
2009-09-17,8000000,8000000,8000000,8000000,1,8000000
2009-10-20,8000000,8000000,8000000,8000000,1,8000000
2009-11-06,8000000,8000000,8000000,8000000,1,8000000
2009-12-22,8000000,8000000,8000000,8000000,1,8000000
2009-12-24,8000000,8000000,8000000,8000000,1,8000000
2010-03-15,8000000,8500000,8500000,8500000,1,8500000
2010-03-24,8500000,8600000,8600000,8600000,1,8600000
2010-07-23,8600000,8200000,8200000,8200000,1,8200000
2010-07-29,8200000,8398000,8398000,8398000,1,8398000
2010-09-21,8398000,8398000,8398000,8398000,1,8398000
2011-01-06,8398000,8398000,8398000,8398000,1,8398000
2011-01-25,8398000,8350000,8350000,8350000,1,8350000
2011-04-15,8350000,8500000,8500000,8500000,1,8500000
2011-06-14,8500000,8500000,8500000,8500000,1,8500000
2011-09-29,8500000,8500000,8500000,8500000,1,8500000
2012-01-26,8500000,8555000,8555000,8555000,2,8555000
2012-03-05,8555000,8600000,8600000,8600000,1,8600000
2012-03-13,8600000,8650000,8650000,8650000,1,8650000
2012-08-08,8650000,9000000,9000000,9000000,1,9000000
2013-02-21,9000000,9100000,9100000,9100000,1,9100000
2013-04-17,9100000,9500000,9500000,9500000,1,9500000
2013-06-17,9500000,9550000,9550000,9550000,1,9550000
2013-06-21,9550000,11000000,11000000,11000000,1,11000000
2013-07-12,11000000,10050000,10050000,10050000,1,10050000
2013-07-23,10050000,10300000,10300000,10300000,1,10300000
2013-08-02,10300000,10300000,10300000,10300000,1,10300000
2013-08-07,10300000,10500000,10500000,10500000,1,10500000
2013-08-19,10500000,10500000,10500000,10500000,1,10500000
2013-08-21,10500000,10350000,10350000,10350000,1,10350000
2013-09-24,10350000,10000000,10000000,10000000,1,10000000
2014-01-22,10000000,9500000,9500000,10000000,1,10000000
2014-03-11,10000000,10000000,10000000,10000000,2,10000000
2014-04-09,10000000,10000000,10000000,10000000,1,10000000
2014-06-26,10000000,10100000,10100000,10100000,2,10100000
2014-08-07,10100000,10160000,10160000,10160000,1,10160000
2014-08-22,10160000,10200000,10200000,10200000,1,10200000
2014-09-02,10200000,10200000,10200000,10200000,1,10200000
2014-10-23,10200000,10200000,10200000,10200000,1,10200000
2015-01-08,10200000,10250000,10250000,10250000,1,10250000
2015-04-07,10250000,10251000,10251000,10251000,1,10251000
2015-06-08,10251000,10380000,10380000,10380000,1,10380000
2015-09-02,10380000,11000000,11000000,11000000,1,11000000
2015-09-28,11000000,11000000,11000000,11000000,1,11000000
2015-12-02,11000000,11000000,11000000,11000000,1,11000000
2016-09-26,11000000,11000000,11000000,11000000,1,11000000
2016-10-17,11000000,11500000,11500000,11500000,3,11500000
2016-10-28,11500000,12000000,12000000,12000000,1,12000000
2016-11-10,12000000,12000000,12000000,12000000,1,12000000
2016-12-05,12000000,12600000,12600000,12600000,1,12600000
2016-12-19,12600000,12600000,12600000,12600000,2,12600000
2017-01-25,12600000,12600000,12600000,12600000,1,12600000
2017-03-27,12600000,13000000,13000000,13000000,1,13000000
2017-04-06,13000000,13000000,13000000,13000000,1,13000000
2017-08-23,13000000,13100000,13100000,13100000,1,13100000
2017-09-21,13100000,13100000,13100000,13100000,1,13100000
2017-10-11,13100000,13101000,13101000,13101000,1,13101000
2018-03-15,13101000,14200000,14200000,14200000,1,14200000
2018-05-15,14200000,15000500,15000500,15000500,1,15000500
2018-06-29,15000500,15000000,15000000,15000000,1,15000000
2018-09-26,15000000,17500000,17500000,17500000,1,17500000
2018-10-18,17500000,18000000,18000000,18000000,1,18000000
2018-10-31,18000000,17800000,17800000,17800000,1,17800000
2018-11-15,17800000,18000000,18000000,18000000,1,18000000
2019-05-06,18000000,18000000,18000000,18000000,1,18000000
2019-06-11,18000000,19000000,19000000,19000000,1,19000000
2019-07-02,19000000,17800000,17800000,17800000,1,17800000
2019-07-03,17800000,17000000,17000000,17000000,1,17000000
2019-07-04,17000000,17000000,17000000,17000000,1,17000000
2019-08-06,17000000,16000000,16000000,16000000,1,16000000
2019-09-03,16000000,16000000,16000000,16000000,1,16000000
2019-10-22,16000000,16000000,16000000,16000000,0,16000000
2019-11-19,16000000,16000000,16000000,16000000,0,16000000
2019-11-20,16000000,16000000,16000000,16000000,0,16000000
