date,open,high,low,close,volume,adj_close
2009-06-17,180000,173000,173000,173000,5554,173000
2009-06-26,173000,180010,180010,173000,38,173000
2009-12-10,173000,190000,190000,190000,39,190000
2010-01-29,190000,180000,180000,190000,7,190000
2010-03-09,190000,190000,190000,190000,3,190000
2010-03-18,190000,190000,190000,190000,2,190000
2010-03-23,190000,190000,190000,190000,2,190000
2010-04-06,190000,200000,200000,200000,800,200000
2011-04-28,200000,200000,200000,200000,1,200000
2011-07-28,200000,200000,200000,200000,61,200000
2011-08-05,200000,200000,200000,200000,1,200000
2011-10-25,200000,200000,200000,200000,21,200000
2011-11-02,200000,200000,200000,200000,1,200000
2012-01-16,200000,200000,200000,200000,1,200000
2012-08-14,200000,200000,200000,200000,8,200000
2013-06-04,200000,200000,200000,200000,2,200000
2013-06-10,200000,200000,200000,200000,3,200000
2013-06-11,200000,200000,200000,200000,34,200000
2013-08-14,200000,200000,200000,200000,2,200000
2014-07-07,200000,200000,200000,200000,3,200000
2014-07-08,200000,200000,200000,200000,39,200000
2014-07-18,200000,200000,200000,200000,1,200000
2014-07-21,200000,200000,200000,200000,6,200000
2015-08-13,200000,200000,200000,200000,33,200000
2016-01-28,200000,200000,200000,200000,10,200000
2016-04-21,200000,200000,200000,200000,38,200000
2016-08-24,200000,200000,200000,200000,1,200000
2016-10-18,200000,200000,200000,200000,2,200000
2016-10-19,200000,200000,200000,200000,6,200000
2016-10-26,200000,250000,250000,250000,39,250000
2016-12-12,250000,250100,250100,250100,39,250100
2016-12-13,250100,250100,250100,250100,29,250100
2017-03-13,250100,250100,250100,250100,38,250100
2017-04-26,250100,270000,270000,270000,39,270000
2017-05-22,270000,270000,270000,270000,37,270000
2017-08-28,270000,270000,270000,270000,97,270000
2018-10-10,270000,400000,400000,400000,78,400000
2018-10-16,400000,400000,400000,400000,2,400000
2018-11-06,400000,400000,400000,400000,78,400000
2018-11-13,400000,400000,400000,400000,78,400000
2018-11-20,400000,400000,400000,400000,39,400000
2018-11-28,400000,400000,400000,400000,1,400000
2019-03-25,400000,400000,400000,400000,17,400000
2019-04-05,400000,430000,430000,430000,1633,430000
2019-04-30,430000,430000,430000,430000,700,430000
2019-10-22,430000,430000,430000,430000,0,430000
2019-11-19,430000,430000,430000,430000,0,430000
2019-11-20,430000,430000,430000,430000,0,430000
2019-11-21,430000,430000,430000,430000,0,430000
2019-11-23,430000,430000,430000,430000,0,430000
