date,open,high,low,close,volume,adj_close
2009-06-23,1200000,1300000,1300000,1300000,1,1300000
2009-06-26,1300000,1350000,1350000,1350000,1,1350000
2009-07-30,1350000,1350000,1350000,1350000,1,1350000
2009-12-14,1350000,1650000,1650000,1650000,1,1650000
2010-02-22,1650000,1852000,1852000,1852000,1,1852000
2010-03-10,1852000,2000000,2000000,2000000,1,2000000
2010-05-06,2000000,2000000,2000000,2000000,1,2000000
2010-10-26,2000000,3000000,3000000,3000000,1,3000000
2011-02-18,3000000,3000000,3000000,3000000,1,3000000
2011-05-09,3000000,3000000,3000000,3000000,1,3000000
2011-10-19,3000000,3200000,3200000,3200000,1,3200000
2011-11-04,3000000,3000000,3000000,3000000,1,3000000
2012-06-08,3000000,3000000,3000000,3000000,1,3000000
2012-11-19,3000000,3001000,3001000,3001000,1,3001000
2013-03-04,3001000,3000000,3000000,3000000,1,3000000
2013-06-07,3000000,3000000,3000000,3000000,1,3000000
2013-08-05,3000000,3000000,3000000,3000000,1,3000000
2013-10-15,3000000,3000000,3000000,3000000,1,3000000
2013-11-05,3000000,2500000,2500000,2500000,1,2500000
2016-01-28,2760000,2760000,2760000,2760000,5,2760000
2016-04-21,2760000,2800000,2800000,2800000,1,2800000
2016-10-18,2800000,3000000,3000000,3000000,1,3000000
2016-11-23,3000000,3100000,3100000,3100000,1,3100000
2017-03-20,3100000,3100000,3100000,3100000,1,3100000
2017-08-28,3100000,3000000,3000000,3000000,5,3000000
2019-10-22,3000000,3000000,3000000,3000000,0,3000000
2019-11-19,3000000,3000000,3000000,3000000,0,3000000
2019-11-20,3000000,3000000,3000000,3000000,0,3000000
2019-11-21,3000000,3000000,3000000,3000000,0,3000000
