date,open,high,low,close,volume,adj_close
2009-12-03,206,221,206,216.29,136015000,216.29
2009-12-04,216.3,228,216.3,226.5,3324638,226.5
2009-12-07,230,230,228,228,1541136,228
2009-12-09,228,228,224.99,224.99,833088,224.99
2009-12-10,224.99,224.99,221,222.99,2209741,222.99
2009-12-11,222.99,227,224.5,226,4930378,226
2009-12-14,226,226.01,224.5,224.5,1508495,224.5
2009-12-15,224.5,224.9,222.5,224,224838,224
2009-12-16,224,225,222,224.5,2200182,224.5
2009-12-17,224.5,225,223.5,223.5,1345708,223.5
2009-12-18,223.5,229,223.5,229,4459844,229
2009-12-21,229,229,229,229,4306,229
2009-12-22,229,235,229,235,1408239,235
2009-12-23,235,235,233,235,154331,235
2009-12-24,235,234.99,233,234.82,280349,234.82
2009-12-28,234.82,240,235,239.5,444580,239.5
2009-12-29,239.5,250,242,243.99,1500413,243.99
2009-12-30,243.99,250,243,243.1,932174,243.1
2010-01-04,243.1,252.5,245,250.5,351704,250.5
2010-01-05,250.5,258.9,251,258,1797671,258
2010-01-06,258,267,258,266.78,1289847,266.78
2010-01-07,267,275,263,274.28,3223713,274.28
2010-01-08,275,277,265.1,270,2114026,270
2010-01-11,270,275,268,268,978608,268
2010-01-12,268,265,260,263,1062803,263
2010-01-13,263,264,261,261,815047,261
2010-01-14,261,270,261,269.99,2009722,269.99
2010-01-15,269.99,270,263,262.97,120347,262.97
2010-01-18,262.97,268,262,265.01,2470039,265.01
2010-01-19,265.01,267.01,262,267,631578,267
2010-01-20,267,269.99,265,265.01,2552284,265.01
2010-01-21,265.01,266,263,266,306636,266
2010-01-22,266,264,263,263,113827,263
2010-01-25,263,265,260,265,26268,265
2010-01-26,265,270,265,269.41,3313580,269.41
2010-01-27,269.41,272,270,272,1125416,272
2010-01-28,272,278.5,272.5,277.87,1499033,277.87
2010-01-29,277.87,283,278,283,3023548,283
2010-02-01,283,285,280,282,567035,282
2010-02-02,282,295,284,295,3941137,295
2010-02-03,295,302.5,297,301,1143089,301
2010-02-04,301,302.5,294.9,298,633927,298
2010-02-05,298,300,290,290,628527,290
2010-02-08,290,297,290,297,4699465,297
2010-02-09,297,301,298,300,1517579,300
2010-02-10,300,310,305,307,501053,307
2010-02-11,307,310,309,310,722209,310
2010-02-12,310,319,315,319,507769,319
2010-02-15,319,340,320,338.09,1647862,338.09
2010-02-16,338.09,355,338,354.99,2588449,354.99
2010-02-17,360,370,352,355,1944863,355
2010-02-18,356,356,336,338.56,1423809,338.56
2010-02-19,338.56,344.99,339,339.02,1413051,339.02
2010-02-22,339.02,349.9,345,346.04,698651,346.04
2010-02-23,350,350,344,345,563826,345
2010-02-24,345,350,348.99,348.99,682306,348.99
2010-02-25,350,355,340.1,344,445305,344
2010-02-26,344,348,340,342,647601,342
2010-03-01,338,338,320,330,719238,330
2010-03-02,330,330,310,317,2189265,317
2010-03-03,315.9,317,300,309.16,742928,309.16
2010-03-04,309.16,336,305.1,336,799661,336
2010-03-05,336,359,336,337.46,441731,337.46
2010-03-08,340,343,337,338.01,434879,338.01
2010-03-09,338.01,341,339.5,339.5,92504,339.5
2010-03-10,339.5,340,335,335.08,210676,335.08
2010-03-11,335.08,345,336,341,129878,341
2010-03-12,341,342,337,337,104926,337
2010-03-15,337,337,335,335,89730,335
2010-03-16,335,336,322,332.11,364702,332.11
2010-03-17,332.11,333,330,330,25752,330
2010-03-18,330,330,325,329,79898,329
2010-03-19,329,331,323,329.29,140642,329.29
2010-03-22,329.29,334,330,330,7493,330
2010-03-23,330,322,322,322,6539,322
2010-03-24,320,325,315,315.23,345936,315.23
2010-03-25,315.23,315,305.1,306.4,352083,306.4
2010-03-26,306.4,312,300,304.99,1005136,304.99
2010-03-29,304.99,317,307,315,798893,315
2010-03-30,315,326,315,323,390427,323
2010-03-31,323,327,322,323.99,120049,323.99
2010-04-01,323.99,325.5,323,323,122847,323
2010-04-05,323,327,320,323.5,29264,323.5
2010-04-06,323.5,323.1,316,323.1,110482,323.1
2010-04-07,323.1,321.5,316.01,319.9,53462,319.9
2010-04-08,319.9,319.9,319.9,319.9,1717,319.9
2010-04-09,319.9,324,318.5,320,90502,320
2010-04-12,320,315,315,315,367228,315
2010-04-13,315,315,310.6,313.5,241428,313.5
2010-04-14,313.5,318,310,316,526121,316
2010-04-15,316,318,316,316,155178,316
2010-04-16,316,320,318,318,176318,318
2010-04-19,318,317,313.5,317,98569,317
2010-04-20,317,318,315,315.47,3918514,315.47
2010-04-21,315.47,316.5,315,316.5,2916804,316.5
