date,open,high,low,close,volume,adj_close
2013-05-14,78.8,78.8,78.8,78.8,216,78.8
2013-07-18,78.8,83.11,83.11,83.11,216,83.11
2015-06-09,83.11,103.57,103.57,103.57,23,103.57
2015-08-10,103.57,106.72,106.72,106.72,23,106.72
2017-11-15,106.72,146.9,146.9,146.9,1065,146.9
2018-06-20,146.9,147.32,147.32,147.32,30,147.32
2018-07-18,147.32,149.21,149.21,149.21,1065,149.21
2018-08-16,149.21,154.22,154.22,154.22,26,154.22
2018-09-20,154.22,166,166,166,10,166
2018-11-20,166,146.37,146.37,146.37,20,146.37
2019-03-18,146.37,155.37,155.37,155.37,64,155.37
2019-08-06,155.37,164,164,164,64,164
2019-12-06,164,174.74,174.74,164,18,164
2020-05-07,164,134.5,134.5,164,1,164
2020-08-05,164,150.62,150.62,150.62,66,150.62
2020-08-11,150.62,162.77,161.25,161.49,428,161.49
2020-08-12,161.49,160.73,160.73,161.49,18,161.49
2020-08-13,161.49,159.23,158.97,159.06,62,159.06
2020-08-14,159.06,160.63,159.3,159.06,37,159.06
2020-08-17,159.06,158.94,158.94,159.06,32,159.06
2020-08-18,159.06,158,158,159.06,26,159.06
2020-08-19,159.06,157.56,157.52,157.56,142,157.56
2020-08-21,157.56,156.73,156.73,157.56,25,157.56
2020-08-24,157.56,157.54,157.54,157.56,30,157.56
2020-08-25,157.56,164.65,164.65,164.65,59,164.65
2020-08-26,164.65,164.21,164.21,164.65,20,164.65
2020-08-28,164.65,167.63,167.61,167.63,53,167.63
2020-09-02,167.63,168.5,168.5,168.5,62,168.5
2020-09-09,168.5,166.23,166.23,168.5,7,168.5
2020-09-10,168.5,166.94,164.99,164.99,88,164.99
2020-09-11,164.99,166.5,166.24,166.33,78,166.33
2020-09-14,166.33,168.05,168.04,166.33,25,166.33
2020-09-30,166.33,166.4,166.4,166.4,19,166.4
2020-10-01,166.33,164.25,164.25,164.25,70,164.25
2020-10-02,164.25,166.44,166.44,166.44,14,166.44
2020-10-06,164.25,169.74,169.67,169.74,38,169.74
2020-10-07,164.25,171.61,171.61,171.61,17,171.61
2020-10-08,171,172.17,172.17,172.17,32,172.17
2020-10-09,171,173.8,173.8,173.8,31,173.8
2020-10-13,171,172.95,172.95,172.95,11,172.95
2020-10-14,171,174.34,174.34,174.34,60,174.34
2020-10-15,174.34,173.1,171.6,173.1,167,173.1
2020-10-20,173.1,172.89,172.89,172.89,50,172.89
2020-10-22,172.89,174.63,174.63,174.63,32,174.63
2020-10-23,172.89,178.6,175.14,175.14,242,175.14
2020-10-26,176.21,171.17,171.17,171.17,53,171.17
2020-10-27,171.17,169.32,169.32,169.32,47,169.32
2020-10-28,169.32,162.9,162.9,162.9,72,162.9
2020-10-29,162.9,165.24,160,165.24,64,165.24
2020-11-04,161.88,179,179,179,47,179
2020-11-05,179,183.4,182.53,183.4,180,183.4
2020-11-09,182.64,199.73,194.5,196.49,242,196.49
2020-11-10,196.49,202.14,195,200.28,3689,200.28
2020-11-11,200.28,201.54,199.76,200.05,334,200.05
2020-11-12,200.05,196.29,196.24,196.26,77,196.26
2020-11-13,196.26,200,200,200,246,200
2020-11-16,200,208.15,207.25,207.61,221,207.61
2020-11-20,207.61,201.22,201.22,201.22,167,201.22
2020-11-25,201.22,206.5,206.5,206.5,50,206.5
2020-12-01,206.5,205.36,205.36,205.36,260,205.36
2020-12-10,205.36,211.62,211.62,211.62,125,211.62
2020-12-11,211.62,210.7,210.7,210.7,70,210.7
2020-12-14,210.7,216.35,215.16,215.44,55,215.44
2021-01-12,215.44,208.5,208.5,215.44,10,215.44
2021-01-25,215.44,201,201,201,6,201
2021-02-16,215.44,203.45,203.45,203.45,24,203.45
2021-02-22,215.44,203.15,203.15,203.15,33,203.15
2021-02-24,215.44,205.05,205.05,205.05,19,205.05
2021-05-07,215.44,228.56,228.56,228.56,70,228.56
2021-06-25,228.56,220.16,220.16,220.16,44,220.16
2021-08-05,220.16,230,230,220.16,13,220.16
2021-09-16,220.16,219.5,219.5,219.5,51,219.5
2021-10-05,219.5,216.94,214.3,216.82,360,216.82
2021-10-06,216.82,215.15,213.38,214.75,536,214.75
2021-10-07,215.76,220.93,219.75,220.55,563,220.55
2021-10-08,220.19,218.92,218.68,218.82,185,218.82
2021-10-12,218.82,215.75,215.5,215.5,138,215.5
2021-10-13,215.5,215.95,215.12,215.95,229,215.95
2021-10-14,215.95,217.59,217.59,217.59,20,217.59
2021-10-15,215.95,220.97,220.19,220.23,458,220.23
2021-10-18,220.23,221.46,221.34,221.4,43,221.4
2021-10-19,221.4,220.29,220.29,220.29,62,220.29
2021-10-21,220.29,223.58,222.8,222.86,44,222.86
2021-10-22,223.04,222.49,220.91,221.86,224,221.86
2021-10-26,221.86,219.9,217.2,218.5,177,218.5
2021-10-29,218.5,219,218.75,218.75,678,218.75
2021-11-02,218.75,221.19,221.19,221.19,136,221.19
2021-11-03,221.19,220.5,220.5,220.5,207,220.5
