date,open,high,low,close,volume,adj_close
2009-08-05,4,4,4,4,780,4
2009-08-10,4,4,4,4,9768,4
2009-08-28,4,4,4,4,2709,4
2009-09-01,4,4,4,4,17600,4
2009-09-17,4,4,4,4,183830,4
2009-09-21,4,4,4,4,100000,4
2009-09-23,4,4,4,4,66383,4
2009-10-22,4,1.5,1.5,1.5,697328,1.5
2009-10-28,1.5,1.5,1.5,1.5,107589,1.5
2009-10-29,1.5,1.5,1.5,1.5,22849,1.5
2009-12-23,1.5,1.5,1.5,1.5,31429,1.5
2010-01-19,1.5,1.5,1.5,1.5,3535,1.5
2010-01-20,1.6,1.5,1.5,1.5,3535,1.5
2010-01-22,1.5,1.5,1.5,1.5,15450,1.5
2010-01-28,1.5,1.5,1.5,1.5,22849,1.5
2010-03-04,1.5,1.5,1.5,1.5,3150,1.5
2010-04-14,1.5,1.5,1.5,1.5,3536,1.5
2010-04-23,1.5,1.5,1.5,1.5,6464,1.5
2010-06-24,1.5,1.5,1.5,1.5,3536,1.5
2010-07-26,1.5,1.5,1.5,1.5,11306,1.5
2010-08-18,1.5,1.5,1.5,1.5,675,1.5
2010-09-13,1.5,1.5,1.5,1.5,2000,1.5
2010-09-14,1.5,1.5,1.5,1.5,103893,1.5
2010-09-16,1.5,1.5,1.5,1.5,22850,1.5
2010-11-16,1.5,1.5,1.5,1.5,2904,1.5
2010-11-25,1.5,1.5,1.5,1.5,17882,1.5
2010-12-01,1.5,1.5,1.5,1.5,17421,1.5
2010-12-02,1.5,1.5,1.5,1.5,9662,1.5
2010-12-16,1.5,1.5,1.5,1.5,269350,1.5
2011-02-23,1.5,1.5,1.5,1.5,4221,1.5
2011-03-17,1.5,1.5,1.5,1.5,1543,1.5
2011-11-15,1.5,1.5,1.5,1.5,482891,1.5
2012-02-09,1.5,1.5,1.5,1.5,295207,1.5
2012-02-24,1.5,1.5,1.5,1.5,36138,1.5
2012-12-26,1.5,1.5,1.5,1.5,167819,1.5
2013-01-08,1.5,1.5,1.5,1.5,10000,1.5
2013-01-09,1.5,1.5,1.5,1.5,3883,1.5
2013-02-21,1.5,1.5,1.5,1.5,1,1.5
2013-07-08,1.5,1.5,1.5,1.5,5000,1.5
2013-07-12,1.5,1.5,1.5,1.5,3535,1.5
2013-07-15,1.5,1.5,1.5,1.5,3535,1.5
2013-09-26,1.5,1.5,1.5,1.5,1557647,1.5
2014-02-21,1.5,1.5,1.5,1.5,660736,1.5
2015-02-02,1.5,1.5,1.5,1.5,100000,1.5
2015-03-03,1.5,1.5,1.5,1.5,2670,1.5
2015-07-29,1.5,1.5,1.5,1.5,40,1.5
2016-11-21,1.5,1.5,1.5,1.5,1110000,1.5
2016-12-09,1.5,1.5,1.5,1.5,45813,1.5
2017-07-20,1.5,1.5,1.5,1.5,259069,1.5
2017-07-21,1.5,1.5,1.5,1.5,80931,1.5
2017-10-25,1.5,1.5,1.5,1.5,5000,1.5
2017-12-28,1.5,1.5,1.5,1.5,1788462,1.5
2017-12-29,1.5,1.5,1.5,1.5,32312110,1.5
2018-01-31,1.5,1.5,1.5,1.5,36112,1.5
2018-02-15,1.5,1.5,1.5,1.5,12000,1.5
2018-08-09,1.5,1.5,1.5,1.5,186078,1.5
2018-10-23,1.5,1.5,1.5,1.5,70795,1.5
2019-02-20,1.5,1.19,1.19,1.19,83333,1.19
2019-03-04,1.19,1,1,1,92000,1
2019-03-05,1,1,1,1,4912729,1
2019-03-07,1,0.5,0.5,0.5,83723,0.5
2019-03-15,0.5,0.8,0.8,0.8,1169,0.8
2019-03-18,0.8,0.822,0.822,0.822,89835,0.822
2019-03-20,0.822,0.8,0.8,0.8,17072,0.8
2019-03-22,0.8,0.801,0.801,0.801,114000,0.801
2019-04-09,0.801,1,1,1,50000,1
2019-04-10,1,1.099,1.099,1.099,153835,1.099
2019-04-11,1.099,1.099,1.099,1.099,4510295,1.099
2019-04-12,1.099,1.1,1.1,1.1,1351195,1.1
2019-04-15,1.1,1.2,1.2,1.2,43179,1.2
2019-04-16,1.2,1.31,1.31,1.31,39253,1.31
2019-04-17,1.31,1.3,1.3,1.3,315752,1.3
2019-10-01,1.3,1.3,1.3,1.3,35898,1.3
2019-10-22,1.3,1.3,1.3,1.3,0,1.3
2019-11-19,1.3,1.3,1.3,1.3,0,1.3
2019-11-20,1.3,1.3,1.3,1.3,0,1.3
2019-11-21,1.3,1.3,1.3,1.3,0,1.3
