date,open,high,low,close,volume,adj_close
2014-03-07,30.14,30.42,30.14,30.14,5253,30.14
2014-03-10,30.14,29.88,29.88,29.88,385,29.88
2014-03-11,29.88,30.2,30.04,30.04,2267,30.04
2014-03-19,30.04,31.64,31,31.62,7575,31.62
2014-03-21,31.62,32.12,32.12,32.12,330,32.12
2014-04-03,32.12,33.57,33.57,33.57,149,33.57
2014-06-25,33.57,33.52,33.52,33.52,149,33.52
2014-07-22,33.52,35.23,35.23,35.23,141,35.23
2014-08-01,35.23,34.91,34.91,34.91,85,34.91
2014-09-16,34.91,36.22,36.22,36.22,141,36.22
2015-04-07,36.22,31.6,31.6,31.6,1391,31.6
2015-04-15,31.6,33.16,33.16,33.16,1391,33.16
2015-04-29,33.16,33.17,33.17,33.17,85,33.17
2018-02-27,33.17,23.58,23.56,23.56,1764,23.56
2019-02-20,23.56,23.46,23.46,23.46,1680,23.46
2019-08-20,23.46,18.94,18.94,18.94,1800,18.94
2019-11-08,18.94,19.23,19.23,18.94,1800,18.94
2020-04-22,18.94,14.7,14.7,18.94,90,18.94
2020-05-04,18.94,14.6,14.6,14.6,870,14.6
2020-05-06,14.6,14.8,14.6,14.67,3000,14.67
2020-05-07,14.67,15.1,15.1,14.67,3,14.67
2020-05-15,14.67,15.75,15.65,15.75,2000,15.75
2020-05-18,15.75,15.82,15.82,15.82,1870,15.82
2020-07-06,15.82,17.43,17.43,15.82,90,15.82
2020-08-21,15.82,18.14,18.14,15.82,300,15.82
2020-08-25,15.82,18.69,18.69,15.82,300,15.82
2020-11-25,15.82,23.1,23.1,23.1,381,23.1
2021-01-19,23.1,24.99,24.99,24.99,381,24.99
2021-02-12,24.99,27.23,27.23,27.23,580,27.23
2021-02-26,27.23,29.2,29.2,29.2,84,29.2
2021-06-02,27.23,29.8,29.8,27.23,200,27.23
2021-06-04,27.23,30.38,30.38,27.23,165,27.23
2021-09-21,27.23,26.95,26.95,26.95,1977,26.95
2021-11-08,26.95,32,32,26.95,200,26.95
