date,open,high,low,close,volume,adj_close
2013-04-12,8.25,8.25,8.25,8.25,1210,8.25
2013-04-18,8.25,8.01,8.01,8.01,645,8.01
2013-04-22,8.01,8.06,8.06,8.06,1210,8.06
2013-07-11,8.06,8.04,8.04,8.04,618,8.04
2013-07-15,8.04,8.17,8.17,8.17,600,8.17
2014-09-05,8.17,17.19,17.19,17.19,170,17.19
2014-12-01,17.19,17.04,17.04,17.04,170,17.04
2015-02-17,17.04,15.81,15.81,15.81,253,15.81
2016-09-13,15.81,9.52,9.52,9.52,800,9.52
2017-01-17,28.56,20.67,20.67,20.67,84,20.67
2017-02-06,20.67,26.12,26.12,26.12,267,26.12
2019-06-14,26.12,22.97,22.97,22.97,29,22.97
2019-11-11,22.97,28.5,28.5,22.97,29,22.97
2020-01-22,22.97,28.59,28.59,22.97,200,22.97
2020-02-20,22.97,34.4,34.4,22.97,31,22.97
2020-03-26,22.97,16.5,16.5,22.97,60,22.97
2020-04-02,22.97,6.15,6.15,22.97,110,22.97
2020-04-06,22.97,8.3,7.88,8.269,4192,8.269
2020-04-13,8.269,12.5,12.5,8.269,52,8.269
2020-05-07,8.269,12,12,8.269,10,8.269
2020-06-05,8.269,16.98,16.98,8.269,60,8.269
