date,open,high,low,close,volume,adj_close
2009-06-11,74.152,89.7,89.7,89.7,5569,89.7
2009-07-28,89.7,95.68,95.68,95.68,126597,95.68
2009-07-31,95.68,95.68,95.68,95.68,291463,95.68
2009-08-21,95.68,95.68,95.68,95.68,1245192,95.68
2009-08-25,95.68,95.68,95.68,95.68,125418,95.68
2009-08-31,95.68,95.68,95.68,95.68,497492,95.68
2009-09-24,95.68,95.68,95.68,95.68,3177,95.68
2009-10-13,95.68,95.68,95.68,95.68,1087,95.68
2009-10-15,95.68,89.7,89.7,89.7,59473,89.7
2009-10-23,89.7,95.68,95.68,95.68,33445,95.68
2009-10-28,95.68,95.68,95.68,95.68,147324,95.68
2009-11-04,95.68,95.68,95.68,95.68,33445,95.68
2009-11-23,95.68,95.68,95.68,95.68,2926,95.68
2009-12-10,95.68,95.68,95.68,95.68,585284,95.68
2009-12-29,95.68,95.68,95.68,95.68,8361,95.68
2010-01-12,95.68,95.68,95.68,95.68,5151,95.68
2010-01-15,95.68,95.68,95.68,95.68,4181,95.68
2010-01-21,95.68,95.68,95.68,95.68,9323,95.68
2010-02-02,95.68,95.68,95.68,95.68,50410,95.68
2010-02-15,95.68,95.68,95.68,95.68,644,95.68
2010-05-05,95.68,95.68,95.68,95.68,4181,95.68
2010-05-07,95.68,95.68,95.68,95.68,12021950,95.68
2010-06-01,95.68,95.68,95.68,95.68,1087,95.68
2010-07-27,95.68,95.68,95.68,95.68,175585,95.68
2010-08-09,95.68,95.68,95.68,95.68,6689,95.68
2010-08-17,95.68,94.484,94.484,94.484,57140,94.484
2010-08-20,94.484,94.484,94.484,94.484,83612,94.484
2010-08-24,105.248,105.248,105.248,105.248,4765886,105.248
2010-08-25,105.248,105.248,105.248,105.248,19005,105.248
2010-09-09,105.248,107.64,107.64,107.64,7930794,107.64
2010-09-14,107.64,112.424,112.424,112.424,3892232,112.424
2010-09-27,112.424,112.424,112.424,112.424,84699,112.424
2010-10-19,112.424,113.62,113.62,113.62,4181,113.62
2010-12-09,113.62,114.816,114.816,114.816,8361,114.816
2010-12-22,114.816,114.816,114.816,114.816,55192,114.816
2010-12-30,114.816,114.816,114.816,114.816,7140,114.816
2011-01-04,114.816,114.816,114.816,114.816,8779,114.816
2011-01-05,114.816,114.816,114.816,114.816,4666,114.816
2011-01-12,114.816,119.6,119.6,119.6,32074,119.6
2011-01-20,119.6,114.816,114.816,114.816,33202,114.816
2011-01-25,114.816,114.9356,114.816,114.816,33202,114.816
2011-03-14,114.816,120.796,120.796,120.796,8361,120.796
2011-03-24,120.796,120.796,120.796,120.796,17241,120.796
2011-03-25,120.796,143.52,133.952,143.52,874833,143.52
2011-03-28,143.52,161.46,155.48,161.46,47659,161.46
2011-03-29,161.46,169.832,163.852,169.832,25084,169.832
2011-03-30,169.832,174.616,174.616,174.616,22115,174.616
2011-04-01,174.616,185.38,185.38,185.38,20543,185.38
2011-04-04,185.38,215.28,191.36,215.28,69013,215.28
2011-04-05,215.28,227.24,227.24,227.24,114482,227.24
2011-04-06,227.24,257.14,239.2,257.14,93060,257.14
2011-04-07,257.14,257.14,257.14,257.14,28746,257.14
2011-04-08,257.14,257.14,257.14,257.14,9691,257.14
2011-04-11,257.14,257.14,257.14,257.14,836,257.14
2011-04-18,257.0204,257.0204,257.0204,257.0204,3829,257.0204
2011-04-19,257.0204,257.0204,257.0204,257.0204,1145,257.0204
2011-04-20,257.0204,233.818,233.22,233.806,1066656,233.806
2011-04-21,233.806,233.806,233.806,233.806,1773,233.806
2011-04-25,233.806,233.806,233.806,233.806,418,233.806
2011-05-05,233.806,215.28,214.084,215.28,40276,215.28
2011-05-06,215.28,179.4,179.4,179.4,5435,179.4
2011-05-10,179.4,179.4,179.4,179.4,3863,179.4
2011-05-13,179.4,169.7124,169.7124,169.7124,16722,169.7124
2011-05-18,169.7124,179.4,169.832,179.4,16405,179.4
2011-05-23,179.4,180.596,180.596,180.596,9348,180.596
2011-05-24,180.596,179.4,179.4,179.4,11597,179.4
2011-05-25,179.4,179.4,179.4,179.4,6614,179.4
2011-05-31,179.4,179.4,179.4,179.4,569,179.4
2011-06-02,179.4,155.48,155.48,155.48,5125,155.48
2011-06-06,155.48,167.44,167.44,167.44,29732,167.44
2011-06-09,167.44,167.44,167.44,167.44,8980,167.44
2011-06-10,167.44,167.44,167.44,167.44,5017,167.44
2011-08-12,167.44,167.44,167.44,167.44,237,167.44
2011-12-09,167.44,167.44,167.44,167.44,750,167.44
2011-12-30,167.44,129.99,129.99,129.99,136879,129.99
2012-01-04,129.99,100,100,100,18738,100
2012-01-16,100,100,100,100,62,100
2012-01-18,100,100,100,100,23765,100
2012-01-19,100,100,100,100,47158,100
2012-01-24,100,100,100,100,23975,100
2012-01-26,100,100,100,100,32547,100
2012-01-27,100,100,100,100,64,100
2012-03-05,100,100,100,100,746,100
2012-03-07,100,100,100,100,7763,100
2012-03-09,100,100,100,100,237,100
2012-03-12,100,100,100,100,46,100
2012-03-15,100,100,100,100,67195,100
2012-03-22,100,100,100,100,9589,100
2012-03-26,100,100,100,100,62,100
2012-03-28,100,100,100,100,135203,100
2012-04-03,100,100,100,100,1115,100
2012-04-04,100,100,100,100,6335,100
2012-04-12,100,100,100,100,469,100
2012-05-10,100,100,100,100,536,100
2012-05-18,100,100,100,100,1846,100
2012-05-28,100,100,100,100,268,100
2012-05-30,100,100,100,100,39,100
2012-06-06,100,100,100,100,7257,100
2012-06-26,100,100,100,100,3907,100
2012-06-27,100,100,100,100,4865,100
2012-09-11,100,100,100,100,4,100
2012-10-19,100,100,100,100,47466,100
2012-11-07,100,100,100,100,940,100
2012-11-13,100,100,100,100,600,100
2013-01-14,100,100,100,100,50,100
2013-02-08,100,100,100,100,8502,100
2013-09-30,100,100,100,100,102649,100
2013-12-05,100,100,100,100,714,100
2014-04-16,100,100,100,100,3833,100
2014-05-14,100,100,100,100,4158,100
2015-01-08,100,100,100,100,1558142,100
2015-09-29,100,100,100,100,555,100
2016-05-10,100,94,92.98,94,110735,94
2016-05-11,94,94,94,94,25096,94
2016-05-25,94,94,94,94,9093,94
2016-05-31,94,94,94,94,32164,94
2016-06-01,94,94,94,94,37456,94
2016-06-03,94,94,94,94,4119,94
2016-10-03,94,94,94,94,13890,94
2016-10-25,94,94,94,94,14670,94
2016-12-27,94,94,94,94,1408283,94
2017-05-11,94,94,94,94,2189,94
2017-06-30,94,94,94,94,350,94
2017-08-07,94,94,94,94,1250,94
2017-08-14,94,94,94,94,96,94
2017-08-29,94,94,94,94,10172,94
2017-09-20,94,94,94,94,10000,94
2017-10-02,94,94,94,94,1100,94
2017-10-12,94,94,94,94,350,94
2017-10-13,94,94,94,94,715,94
2017-10-23,94,94,94,94,2189,94
2017-11-15,94,86,86,86,12242,86
2017-11-16,86,86,86,86,207550,86
2017-11-20,86,86,86,86,1500,86
2017-11-21,86,82,82,82,26038,82
2018-01-15,82,82,82,82,2000,82
2018-01-19,82,82,82,82,7180,82
2018-04-11,82,82,82,82,1294,82
2018-06-12,82,82,82,82,500,82
2018-07-12,82,82,82,82,1328,82
2019-03-21,82,82,82,82,62,82
2019-06-11,82,82,82,82,25807,82
2019-06-21,82,81.89,81.89,81.89,3828,81.89
2019-10-22,81.89,81.89,81.89,81.89,0,81.89
2019-11-19,81.89,81.89,81.89,81.89,0,81.89
2019-11-20,81.89,81.89,81.89,81.89,0,81.89
2019-11-21,81.89,81.89,81.89,81.89,0,81.89
2019-11-23,81.89,81.89,81.89,81.89,0,81.89
2019-12-20,81.89,81.89,81.89,81.89,0,81.89
2020-04-04,81.89,81.89,81.89,81.89,0,81.89
2020-04-09,81.89,81.89,81.89,81.89,0,81.89
2020-04-16,81.89,81.89,81.89,81.89,3828,81.89
2020-04-18,81.89,81.89,81.89,81.89,0,81.89
2020-10-02,81.89,81.89,81.89,81.89,133,81.89
