date,open,high,low,close,volume,adj_close
2009-06-03,620,630,615,625.96,1392844,625.96
2009-06-04,625.96,637,630,635,911286,635
2009-06-05,635,637,624,629.53,876327,629.53
2009-06-08,629.53,635,631.01,632,951350,632
2009-06-09,632,640,632,640,680113,640
2009-06-10,640,646,635.01,640,1572541,640
2009-06-11,640,650,641,647.99,1290230,647.99
2009-06-12,647.99,658,645,650.09,706710,650.09
2009-06-15,650.09,655,650,655,2507368,655
2009-06-16,655,660,648,648,1421718,648
2009-06-17,648,655,642,655,2172288,655
2009-06-18,655,665,650.1,651.9,111936600,651.9
2009-06-19,651.9,655,639.99,646.82,1858446,646.82
2009-06-22,646.82,616,607,609.77,2394903,609.77
2009-06-23,609.77,614,609,614,152656,614
2009-06-24,614,616,606,606.36,889348,606.36
2009-06-25,606.36,605,603,604,1568799,604
2009-06-26,604,615,600,614.97,51488,614.97
2009-06-30,615,615,605,614,1477893,614
2009-07-01,614,615,612.9,614,154550,614
2009-07-02,614,614,610,610,860909,610
2009-07-03,610,610,608,610,1129317,610
2009-07-06,610,608,604,607.26,127734,607.26
2009-07-07,607.26,608,605.5,607,249579,607
2009-07-08,607,607,601,601,175810,601
2009-07-09,601,604.99,594,599.99,712073,599.99
2009-07-10,599.99,603,591.1,592.4,2307694,592.4
2009-07-13,592.4,600,590,600,298403,600
2009-07-14,600,595,589,589.92,1693717,589.92
2009-07-15,589.92,600,590,590.73,517340,590.73
2009-07-17,590.73,597,592,595,482945,595
2009-07-20,595,595,594,595,435932,595
2009-07-21,595,605,595,599,2065682,599
2009-07-22,599,600,599,600,832585,600
2009-07-23,600,600,597.99,599,2103769,599
2009-07-24,599,595.5,594,594,1167589,594
2009-07-27,594,599.9,587,589.88,808076,589.88
2009-07-28,589.88,589,584.5,584.5,993607,584.5
2009-07-29,584.5,590,584.01,590,732002,590
2009-07-30,590,590.1,587,590,2296225,590
2009-07-31,590,603,590,590.52,3061347,590.52
2009-08-03,590.52,599.9,594.99,597,422351,597
2009-08-04,597,598,590,590.89,8988176,590.89
2009-08-05,590.89,600,585.01,596.35,4018991,596.35
2009-08-06,596.35,605,597,604.97,1676007,604.97
2009-08-07,605,614,605,611.72,2587908,611.72
2009-08-10,611.72,620,614,620,1880035,620
2009-08-11,620,620,614.98,615,1328198,615
2009-08-12,615,622,615,615,1410269,615
2009-08-13,615,615,608,610,1142916,610
2009-08-14,610,610,609,610,1597024,610
2009-08-17,609,609,605,608,207207,608
2009-08-18,608,615,608,613.61,2125663,613.61
2009-08-19,613.61,614,609,610.63,849827,610.63
2009-08-20,610.63,619,610,618,1451033,618
2009-08-21,618,624.9,618,624.9,1561531,624.9
2009-08-24,624.9,624.5,620,620.03,1884668,620.03
2009-08-25,620.03,625,619,624.34,689742,624.34
2009-08-26,624.34,624,618,619.5,389614,619.5
2009-08-27,619.5,620.1,610,617,1250087,617
2009-08-28,617,617,610,612,523889,612
2009-08-31,612,612.2,612,612.01,474127,612.01
2009-09-01,612.01,618,610,610,995251,610
2009-09-02,610,615.01,610,614.01,697411,614.01
2009-09-03,614.01,624,613,624,306520,624
2009-09-04,624,630.1,624,629.7,812974,629.7
2009-09-07,629.7,635,630,635,221008,635
2009-09-08,635,645,634.9,640,1540861,640
2009-09-09,640,650,637,640.13,956233,640.13
2009-09-10,640.13,649,630.1,631.6,1779797,631.6
2009-09-11,631.6,645,631,644.52,529342,644.52
2009-09-14,644.52,645,643,645,826406,645
2009-09-15,645,646,641.99,642,519213,642
2009-09-16,642,642,639,639,264754,639
2009-09-17,639,642,635,635,135178,635
2009-09-21,635,640,635,638.5,959234,638.5
2009-09-22,640,640,638,640,845550,640
2009-09-23,640,640,638,640,1825826,640
2009-09-24,640,640,637,638,842011,638
2009-09-25,638,645,639,639.99,804486,639.99
2009-09-28,639.99,643,640,640,276674,640
2009-09-29,640,640,637,637.5,369718,637.5
2009-09-30,637.5,640,635,635.96,576800,635.96
2009-10-01,635.96,640,635,637.99,1342696,637.99
2009-10-02,637.99,638.1,635,638,1290313,638
2009-10-05,638,640,634,634,496010,634
2009-10-06,634,634,630.1,634,2665571,634
2009-10-07,634,635,633.9,634,1072568,634
2009-10-08,634,635.1,630,634,2298956,634
2009-10-09,634,639.95,634,638.87,714325,638.87
2009-10-13,638.87,640.01,638.99,639.9,684793,639.9
2009-10-14,639.9,641,633,635,433982,635
2009-10-15,633,633,624,624,911454,624
2009-10-16,624,630,625,625,1240762,625
2009-10-19,625,628.1,625,628,538704,628
2009-10-20,628,628,621,621.99,633755,621.99
2009-10-21,621.99,622,621,621.55,571600,621.55
2009-10-22,621.55,626,622,625.4,1249482,625.4
2009-10-23,625.4,630,627,628.5,439084,628.5
2009-10-26,628.5,628.5,626,626.04,519861,626.04
2009-10-27,626.04,630,620,624.83,427464,624.83
2009-10-28,624.83,628.45,624,625,1036675,625
2009-10-29,625,628,623,627.99,427785,627.99
2009-10-30,627.99,628,625,627.4,494636,627.4
2009-11-02,627.4,627.1,627,627,507796,627
2009-11-03,627,626.5,618,621.37,333486,621.37
2009-11-04,621.37,628,621,626.02,292909,626.02
2009-11-05,626.02,635,625,635,346500,635
2009-11-06,635,641,630,637.37,294921,637.37
2009-11-09,637.37,640.1,638,640,126179,640
2009-11-10,640,635,626,626.75,303458,626.75
2009-11-11,626.75,639.9,628.5,630,385961,630
2009-11-12,630,630,628,628,1575832,628
2009-11-13,628,630,626,626.01,691722,626.01
2009-11-16,626.01,626,620,619.62,368641,619.62
2009-11-17,619.62,623,620,623,752803,623
2009-11-18,623,623.1,619.7,620,29517830,620
2009-11-19,620,623,621,621.5,1553122,621.5
2009-11-20,621.5,610,600,600,268038,600
2009-11-23,600,608,600,605,1039938,605
2009-11-24,605,605,590,591,4471858,591
2009-11-25,591,605,591,603.97,1653630,603.97
2009-11-26,603.97,605,585,585,310104,585
2009-11-27,585,605,595,595,329649,595
2009-11-30,595,605,590,590,1223001,590
2009-12-01,590,603,590,603,242172,603
2009-12-02,603,605,599.99,599.99,373318,599.99
2009-12-03,599.99,600,600,600,214654,600
2009-12-04,600,600,595,596.37,944794,596.37
