date,open,high,low,close,volume,adj_close
2009-06-03,29.21452,29.2228,27.8115,29.1315,27832320,29.1315
2009-06-04,29.13153,29.3888,28.019,28.6002,28918060,28.6002
2009-06-05,28.60014,29.0568,28.2183,28.4341,16941160,28.4341
2009-06-08,28.43411,28.6417,27.8115,28.3926,9372730,28.3926
2009-06-09,28.39257,28.6334,27.6454,27.6454,10909270,27.6454
2009-06-10,27.64547,28.6251,26.5662,27.33,27135020,27.33
2009-06-11,27.32994,27.4794,26.6658,26.7322,5778469,26.7322
2009-06-12,26.73227,26.7322,25.3292,26.45,16095960,26.45
2009-06-15,26.44995,26.5662,25.2379,25.3541,27700240,25.3541
2009-06-16,25.3292,25.5118,24.6567,24.8975,18946540,24.8975
2009-06-17,24.89754,25.3209,24.0756,24.7398,16584590,24.7398
2009-06-18,24.73971,26.5662,24.2831,26.0016,7587349,26.0016
2009-06-19,26.55789,28.8077,26.1511,27.9028,26603410,27.9028
2009-06-22,28.13524,28.1352,26.1511,26.2507,8185748,26.2507
2009-06-23,26.14276,27.3798,26.1428,26.3171,8136993,26.3171
2009-06-24,26.31709,27.6371,26.3171,26.7737,9829551,26.7737
2009-06-25,26.77376,27.8115,26.7903,27.3798,16682690,27.3798
2009-06-26,27.3798,27.3964,26.9813,27.3964,6992827,27.3964
2009-06-30,27.39641,27.8115,27.3217,27.3383,6330949,27.3383
2009-07-01,27.33825,28.0605,27.4794,27.5707,12985410,27.5707
2009-07-02,27.57071,27.6454,26.6492,27.1141,2478759,27.1141
2009-07-03,27.11408,27.7285,26.6492,27.6371,3748758,27.6371
2009-07-06,27.63717,27.3964,27.056,27.33,4180329,27.33
2009-07-07,27.33001,27.3881,26.4001,26.45,5515796,26.45
2009-07-08,26.56613,26.6492,25.3209,25.985,3633486,25.985
2009-07-09,25.98504,26.5662,25.902,26.2341,7343161,26.2341
2009-07-10,26.23412,26.5662,26.2341,26.5662,3757800,26.5662
2009-07-13,26.56617,26.6492,25.819,25.8273,1112194,25.8273
2009-07-14,25.82732,26.6492,25.653,25.736,5772738,25.736
