date,open,high,low,close,volume,adj_close
2013-06-05,203.15,203.15,203.15,203.15,100,203.15
2013-06-18,203.15,205.6,205.6,205.6,100,205.6
2013-06-20,205.6,199.68,199,199,187,199
2013-06-24,199,194.8,194.8,194.8,50,194.8
2013-07-18,194.8,198.7,198.7,198.7,88,198.7
2013-07-31,198.7,195.5,195.5,195.5,150,195.5
2013-08-20,195.5,185.15,183.73,185.15,147,185.15
2013-09-13,185.15,192.15,192.15,192.15,150,192.15
2013-10-18,192.15,174,174,174,286,174
2013-11-07,174,180.15,180.15,180.15,286,180.15
2014-01-22,180.15,191,183,183,1756,183
2014-02-13,183,179.65,179.65,179.65,97,179.65
2014-02-26,179.65,183.85,183.85,183.85,48,183.85
2014-03-13,183.85,184.01,184.01,184.01,145,184.01
2014-03-18,184.01,187.18,187.18,187.18,119,187.18
2014-04-03,187.18,192.94,192.94,192.94,40,192.94
2014-04-17,192.94,189.5,189,189.5,331,189.5
2014-04-21,189.5,192.25,191.95,192.25,331,192.25
2014-04-25,192.25,189.65,189.65,189.65,350,189.65
2014-04-28,189.65,193,193,193,150,193
2014-04-29,193,195,195,195,200,195
2014-05-06,195,190.7,190.36,190.36,350,190.36
2014-05-12,190.36,192.49,192.22,192.49,1850,192.49
2014-05-14,192.49,189.85,189.45,189.45,350,189.45
2014-06-13,189.45,182.4,182.35,182.35,258,182.35
2014-07-09,182.35,188.25,188,188.25,458,188.25
2014-07-18,188.25,194.9,191.65,191.65,175,191.65
2014-07-31,191.65,192.63,192.63,192.63,119,192.63
2014-10-21,192.63,162,162,162,48,162
2015-03-10,162,159.38,159.13,159.13,212,159.13
2016-12-12,159.13,165.75,165.75,165.75,9,165.75
2017-02-15,165.75,180,180,180,48,180
2018-01-11,180,164,164,164,210,164
2018-02-08,164,152.34,152.34,152.34,38,152.34
2018-02-20,152.34,154.56,154.56,154.56,10,154.56
2018-04-03,154.56,149.09,149.09,149.09,20,149.09
2019-04-18,149.09,140.07,140.07,140.07,150,140.07
2019-09-05,140.07,140.61,140.61,140.61,370,140.61
2019-10-08,140.61,138.69,138.69,138.69,48,138.69
2019-11-14,138.69,134.1,134.1,138.69,210,138.69
2019-11-27,138.69,134.5,134.5,138.69,8,138.69
2019-12-16,138.69,134.76,134.76,138.69,30,138.69
2020-01-21,138.69,138.35,138.35,138.35,370,138.35
2020-02-11,138.35,154.98,154.86,138.35,25,138.35
2020-03-26,138.35,106.9,106.9,138.35,28,138.35
2020-04-07,138.35,119,119,119,126,119
2020-04-09,119,121.76,121.76,119,28,119
2020-04-17,119,119.3,119.3,119.3,100,119.3
2020-07-07,119.3,118.54,118.54,119.3,20,119.3
2020-08-18,119.3,125,125,119.3,25,119.3
2020-12-01,119.3,124.04,124.04,119.3,4,119.3
2020-12-10,119.3,126.36,126.36,126.36,157,126.36
2021-01-07,126.36,129.26,129.26,129.26,77,129.26
