date,open,high,low,close,volume,adj_close
2012-07-20,7061,7301,7061,7238.4,41599580,7238.4
2012-07-23,7226,7230,7101,7190.7,1573063,7190.7
2012-07-24,7190.7,7350,7190,7292.8,922189,7292.8
2012-07-25,7292.8,7400,7300,7365.8,577856,7365.8
2012-07-26,7351,7400,7300,7301.3,592776,7301.3
2012-07-27,7301.3,7395,7310,7330.6,642702,7330.6
2012-07-30,7330.6,7350,7300,7300,265498,7300
2012-07-31,7300,7350,7295,7300,165257,7300
2012-08-01,7300,7300,7285,7290,227811,7290
2012-08-02,7290,7285,7200,7200,503560,7200
2012-08-03,7200,7300,7200,7292.9,249012,7292.9
2012-08-06,7292.9,7300,7285,7299.1,338118,7299.1
2012-08-07,7299.1,7311,7260,7290.8,375565,7290.8
2012-08-08,7290.8,7310,7260,7260,68402,7260
2012-08-09,7260,7290,7260,7265.5,175967,7265.5
2012-08-10,7265.5,7300,7260,7290,860505,7290
2012-08-13,7290,7320,7290,7300,180632,7300
2012-08-14,7300,7340,7300,7330,132653,7330
2012-08-16,7330,7351,7330,7330,342985,7330
2012-08-17,7330,7500,7300,7322.7,149975,7322.7
2012-08-20,7322.7,7420,7300,7400,192824,7400
2012-08-21,7400,7415,7395,7398.9,48538,7398.9
2012-08-22,7398.9,7390,7380,7390,192002,7390
2012-08-23,7390,7395,7383.9,7388,95972,7388
2012-08-24,7388,7400,7350,7360,61762,7360
2012-08-27,7360,7380,7300,7300,36914,7300
2012-08-28,7300,7305,7205,7250,260298,7250
2012-08-29,7250,7301,7295,7300,236061,7300
2012-08-30,7300,7350,7300,7320,55583,7320
2012-08-31,7320,7320,7313.8,7313.8,120646,7313.8
2012-09-03,7313.8,7320,7290,7311.3,17684,7311.3
2012-09-04,7311.3,7315,7295,7300,193410,7300
2012-09-05,7300,7303,7279.9,7300,275327,7300
2012-09-06,7300,7300,7270,7280.2,135914,7280.2
2012-09-07,7280.2,7380,7298,7300,72413,7300
2012-09-10,7300,7350,7320,7350,245943,7350
2012-09-11,7350,7380,7350.1,7358.2,212071,7358.2
2012-09-12,7358.2,7430,7400,7424.7,250964,7424.7
2012-09-13,7424.7,7420,7410,7410,111910,7410
2012-09-14,7410,7430,7400,7400,31317,7400
2012-09-20,7400,7350.1,7348.9,7350,13125,7350
2012-09-21,7350,7420,7340,7418.8,147897,7418.8
2012-09-24,7418.8,7450,7419,7449.3,49178,7449.3
2012-09-25,7450,7525,7450,7500,453557,7500
2012-09-26,7500,7525,7480,7520,64048,7520
2012-09-27,7520,7565,7521,7563.4,85662,7563.4
2012-09-28,7563.4,7700,7580,7660,110571,7660
2012-10-01,7660,7720,7675,7710,58480,7710
2012-10-02,7710,7899,7720,7849.9,186821,7849.9
2012-10-03,7850,7986,7850,7970,162102,7970
2012-10-04,7970,8119,7940,8056.8,171452,8056.8
2012-10-05,8100,8100,8050,8059,157619,8059
2012-10-08,8059,8060,8020,8047.3,124771,8047.3
2012-10-09,8306.1,8600,8250,8350.2,457414,8350.2
2012-10-10,8350.2,8350,8289.9,8313.6,138933,8313.6
2012-10-11,8313.6,8410,8300,8393.3,185898,8393.3
2012-10-12,8393.3,8505,8391,8500,74932,8500
2012-10-16,8500,8605,8550,8578.9,76219,8578.9
2012-10-17,8578.9,8650,8570,8646,248633,8646
2012-10-18,8646,8730,8640,8700,138266,8700
2012-10-19,8700,8725,8680,8725,284154,8725
2012-10-22,8725,8720,8669,8675,150284,8675
2012-10-23,8675,8675,8494,8531.2,81584,8531.2
2012-10-24,8531.2,8690,8600,8657.6,172720,8657.6
2012-10-25,8657.6,8670.1,8640,8649,100108,8649
2012-10-26,8649,8666,8467.5,8470,97799,8470
2012-10-29,8470,8500,8390,8500,47264,8500
2012-10-30,8502,8502,8490,8494.8,45961,8494.8
2012-10-31,8494.8,8608,8495,8505.5,98249,8505.5
2012-11-05,8505.5,8550,8480,8483.6,77972,8483.6
2012-11-06,8483.6,8550,8498,8513.5,89902,8513.5
2012-11-07,8513.5,8600,8500,8596.3,79037,8596.3
2012-11-08,8596.3,8700,8600,8700,158002,8700
2012-11-09,8700,8750,8700,8700,49511,8700
2012-11-12,8700,8730,8700,8729.9,90309,8729.9
2012-11-13,8729.9,8701,8650,8678.7,94422,8678.7
2012-11-14,8678.7,8690,8669.9,8670,21067,8670
2012-11-15,8670,8670,8638,8640,72887,8640
2012-11-16,8640,8640,8550,8550,27232,8550
2012-11-19,8550,8600,8550,8590,37367,8590
2012-11-20,8590,8650,8590,8610,153127,8610
2012-11-21,8610,8632,8610,8625,29079,8625
2012-11-22,8625,8650,8525,8578.3,9816,8578.3
2012-11-23,8578.3,8600,8550,8600,90689,8600
2012-11-26,8600,8650,8580,8648.1,168608,8648.1
2012-11-27,8648.1,8700,8650,8689.5,231986,8689.5
2012-11-28,8689.5,8750,8695,8749.2,126627,8749.2
2012-11-29,8749.2,8800,8701,8800,50900,8800
2012-11-30,8800,9050,8800,8973.9,908916,8973.9
2012-12-03,8973.9,8983,8961,8964.8,136709,8964.8
2012-12-04,8964.8,8980,8940,8947.3,157325,8947.3
2012-12-05,8947.3,8947.3,8820,8822,97433,8822
2012-12-06,8822,8820,8790,8800,85684,8800
2012-12-07,8800,8850,8800,8840,139747,8840
2012-12-10,8840,8900,8840,8894.1,52083,8894.1
2012-12-11,8894.1,8952,8895,8952,113475,8952
2012-12-12,8952,9010,8970,9005,355616,9005
2012-12-13,9005,9111,9005,9100,100609,9100
2012-12-14,9100,9329,9121,9329,155765,9329
2012-12-17,9329,9400,9329,9360,389757,9360
2012-12-18,9360,9420,9350,9400,162518,9400
2012-12-19,9400,9400,9350,9350,126155,9350
2012-12-20,9350,9410,9350,9404.4,121074,9404.4
2012-12-21,9404.4,9410,9345,9394,810186,9394
2012-12-24,9394,9520,9380,9381,557935,9381
2012-12-26,9381,9389,9330,9333.3,259410,9333.3
2012-12-27,9333.3,9340,9300,9330,47942,9330
2012-12-28,9330,9400,9300,9330.4,107977,9330.4
2013-01-02,9330.4,9450,9351,9430.4,86559,9430.4
2013-01-03,9430.4,9430,9400,9420,134003,9420
2013-01-04,9420,9450,9320,9320.1,166296,9320.1
2013-01-07,9320.1,9330,9089,9098.6,229959,9098.6
2013-01-08,9098.6,9130,8900,9040,321056,9040
2013-01-09,9040,9101,9040,9058.7,251230,9058.7
2013-01-10,9058.7,9100,8850,9082.4,234653,9082.4
2013-01-11,9082.4,9100,9048,9090.9,97320,9090.9
2013-01-14,9090.9,9050,9000,9050,48875,9050
2013-01-15,9050,9140,8950,9100,76318,9100
2013-01-16,9100,9140,9100,9132.8,146362,9132.8
2013-01-17,9100,9100,9050,9080,265360,9080
2013-01-18,9080,9160,9080,9150,48168,9150
2013-01-21,9150,9150,9125,9139,47502,9139
2013-01-22,9139,9150,9120,9150,49112,9150
2013-01-23,9150,9270,9150,9256.3,95788,9256.3
2013-01-24,9256.3,9260,9225,9249,32244,9249
2013-01-25,9249,9300,9199,9300,70004,9300
2013-01-28,9300,9300,9288,9300,39729,9300
2013-01-29,9300,9350,9275,9278.2,91117,9278.2
2013-01-30,9278.2,9299,9150,9150.1,75493,9150.1
2013-01-31,9150.1,9248,9130,9247.5,61515,9247.5
2013-02-01,9111,9161,9075,9109.4,231924,9109.4
2013-02-04,9109.4,9150,9110,9150,303953,9150
2013-02-05,9150,9230,9135,9230,239835,9230
2013-02-06,9230,9230,9120.1,9136.7,130243,9136.7
2013-02-07,9136.7,9150,9100,9150,101779,9150
2013-02-08,9150,9200,9120,9196.7,183181,9196.7
2013-02-11,9196.7,9211,9196.8,9200,11738,9200
2013-02-12,9200,9211,9150,9191.1,178630,9191.1
2013-02-13,9191.1,9205,9056,9180,100701,9180
2013-02-14,9180,9180,9150,9175,40407,9175
2013-02-15,9175,9175,9100,9115,100333,9115
2013-02-18,9115,9115,9000,9002.2,57911,9002.2
2013-02-19,9002.2,9050,9000,9025,158052,9025
2013-02-20,9025,9050,8800,8800.7,100893,8800.7
2013-02-21,8800.7,8805,8700,8777.1,25366,8777.1
2013-02-22,8777.1,9050,8780,9050,94666,9050
2013-02-25,9050,9050,8920,8950,43442,8950
2013-02-26,8950,9000,8900,9000,28908,9000
2013-02-27,9000,9000,8999,8999,50364,8999
2013-02-28,8999,9000,8880.1,9000,97222,9000
2013-03-01,9000,9049,9000,9035.2,83046,9035.2
2013-03-04,9035.2,9150,9045,9149.9,35951,9149.9
2013-03-05,9149.9,9250,9100,9125.8,35023,9125.8
2013-03-06,9125.8,9175,9129,9140,33289,9140
2013-03-07,9140,9140,9099,9099,120376,9099
2013-03-08,9140,9150,9128.9,9150,133057,9150
2013-03-11,9150,9310,9150,9298.9,133368,9298.9
2013-03-12,9300,9305,9290,9299.9,129950,9299.9
2013-03-13,9299.9,9300,9250,9290.7,75702,9290.7
2013-03-14,9290.7,9298,9200.1,9249.9,50074,9249.9
2013-03-15,9249.9,9300,9200,9241.5,63824,9241.5
2013-03-18,9241.5,9220,9150,9150,77018,9150
2013-03-19,9150,9250,9100,9100,85251,9100
2013-03-20,9100,9150,9100,9131.6,98341,9131.6
2013-03-21,9131.6,9130,9050,9088,70728,9088
2013-03-22,9088,9150,9050,9150,134740,9150
2013-03-25,9150,9149,9050,9050,28484,9050
2013-03-26,9050,9180,9050,9144.9,58831,9144.9
2013-03-27,9144.9,9150,9110,9126,65189,9126
2013-03-28,9126,9155,9120,9155,28872,9155
2013-04-01,9155,9220,9120,9220,19345,9220
2013-04-02,9220,9230,9200,9227.6,41940,9227.6
2013-04-03,9227.6,9225,9150,9161.9,53263,9161.9
2013-04-04,9162,9240,9162,9239.3,49633,9239.3
2013-04-05,9239.3,9320,9200,9292.5,35700,9292.5
2013-04-08,9292.5,9335,9201,9300,11114,9300
2013-04-09,9300,9305,9260,9285,50526,9285
2013-04-10,9285,9300,9150,9299.5,53507,9299.5
2013-04-11,9299.5,9300,9289.9,9290,55974,9290
2013-04-12,9290,9300,9070,9295,32124,9295
2013-04-15,9295,9295,9160,9205.2,31464,9205.2
2013-04-16,9205.2,9206,9150,9160,70784,9160
2013-04-17,9160,9150,8959,8960,18091,8960
2013-04-18,8960,9000,8930,8935,54694,8935
2013-04-19,8935,9067,8950,8980,74933,8980
2013-04-22,8980,9070,9000,9050,74074,9050
2013-04-23,9050,9052,9050,9051,28270,9051
2013-04-24,9051,9100,9020,9099.9,21655,9099.9
2013-04-25,9099.9,9090,9028,9050,18396,9050
2013-04-26,9050,9073,9050,9054.6,83308,9054.6
2013-04-29,9054.6,9100,9055,9073,23807,9073
2013-04-30,9073,9150,9000,9028.4,80888,9028.4
2013-05-02,9028.4,9051,9001,9020.6,124397,9020.6
2013-05-03,9020.6,9100,9025,9100,153773,9100
2013-05-06,9100,9200,9102,9169.5,45710,9169.5
2013-05-07,9169.5,9400,9200,9399,73446,9399
2013-05-08,9399,9390,9302,9351.1,84785,9351.1
2013-05-09,9351.1,9388,9340,9359.9,68170,9359.9
2013-05-10,9359.9,9401,9299,9400.1,184131,9400.1
2013-05-13,9400.1,9262,9000,9050,33160,9050
2013-05-14,9050,9130,9100,9130,59934,9130
2013-05-15,9130,9130,9050,9088,100586,9088
2013-05-16,9088,9100,8954,9050.7,81272,9050.7
2013-05-17,9050.7,9021,8950,8995.3,104637,8995.3
2013-05-20,8995.3,9110,8950,9000,26358,9000
2013-05-22,9000,9150,9010,9114.3,300215,9114.3
2013-05-23,9114.3,9150,9099,9099.8,109180,9099.8
2013-05-24,9099.8,9100.1,9000,9097,180098,9097
2013-05-27,9097,9100,9060,9090,63219,9090
2013-05-28,9090,9120,9080,9100,88345,9100
2013-05-29,9100,9120,9040,9104.1,117303,9104.1
2013-05-30,9104.1,9120,9040,9045.1,42256,9045.1
2013-05-31,9045.1,9050,8899,9048.8,56544,9048.8
2013-06-03,9048.8,9020,8950,8950,62176,8950
2013-06-04,8950,9100,8960,9100,49815,9100
2013-06-05,9100,9099,9000,9070.2,104055,9070.2
2013-06-06,9070.2,9081,9050,9060,112752,9060
2013-06-07,9060,9080,9000,9050,165312,9050
2013-06-10,9050,9000,8900,8950,35756,8950
2013-06-11,8950,8900,8700,8819.8,74081,8819.8
2013-06-12,8819.8,8879,8599,8599.8,76250,8599.8
2013-06-13,8599.8,8745,8600,8741.5,181924,8741.5
2013-06-14,8741.5,8871,8725,8860.5,109357,8860.5
2013-06-17,8860.5,8860,8759,8811.3,42379,8811.3
2013-06-18,8811.3,8875,8794.8,8863.4,76678,8863.4
2013-06-19,8863.4,8875,8840,8844,35574,8844
2013-06-20,8844,8800,8395,8396.7,88964,8396.7
2013-06-21,8396.7,8700,8148,8499.8,658261,8499.8
2013-06-24,8499.8,8500,8000,8240,150535,8240
2013-06-25,8240,8240,7699,7831.6,75034,7831.6
2013-06-26,7831.6,7950,7499,7673.4,258704,7673.4
2013-06-27,7673.4,7800,7670,7780,255655,7780
2013-06-28,7780,7780,7720,7780,111920,7780
2013-07-01,7780,7950,7500,7507.9,157537,7507.9
2013-07-02,7507.9,7405,7200,7236.2,56690,7236.2
2013-07-03,7236.2,7151,6900,6943.6,94731,6943.6
2013-07-04,6943.6,7045,6945,6986.2,75252,6986.2
2013-07-05,6986.2,6950.1,6883,6920.9,99526,6920.9
2013-07-08,6920.9,6889,6820,6820,2377,6820
2013-07-09,6820,6820,6400,6514.6,61935,6514.6
2013-07-10,6514.6,6500,6320,6402.4,127757,6402.4
2013-07-11,6402.4,6600,6400,6533.3,87375,6533.3
2013-07-12,6533.3,6700,6450,6500.2,41467,6500.2
2013-07-15,6500.2,6800,6501,6747.8,24864,6747.8
2013-07-17,6747.8,7100,6750,7044.6,83426,7044.6
2013-07-18,7044.6,7200,7050,7103.5,133059,7103.5
2013-07-19,7103.5,7180,7100,7179.9,44533,7179.9
2013-07-22,7179.9,7350,7200,7255,60950,7255
2013-07-23,7255,7310,7250,7250,47525,7250
2013-07-24,7250,7290,7249,7248.7,45565,7248.7
2013-07-25,7248.7,7249,7130,7130,9550,7130
2013-07-26,7130,7100,6900.1,6910,39886,6910
2013-07-29,6910,6870,6610,6757.9,66925,6757.9
2013-07-30,6757.9,6758,6700,6747.7,39662,6747.7
2013-07-31,6747.7,6775,6625,6630.1,105697,6630.1
2013-08-01,6630.1,6695,6625,6665.9,157081,6665.9
2013-08-02,6665.9,6666,6505,6527.6,70542,6527.6
2013-08-05,6527.6,6750,6530,6723.7,10718,6723.7
2013-08-06,6723.7,6750,6690,6699.2,28311,6699.2
2013-08-07,6699.2,6700,6625,6689.4,78780,6689.4
2013-08-08,6689.4,6800,6690,6752,64417,6752
2013-08-09,6752,6950,6800,6877.3,68753,6877.3
2013-08-12,6877.3,7100,6900,7098,28353,7098
2013-08-13,7098,7200,7100,7120,30849,7120
2013-08-14,7120,7120,6660,6900,49131,6900
2013-08-16,6900,6880,6750,6750,26536,6750
2013-08-19,6750,6750,6599,6600,9516,6600
2013-08-20,6600,6610,6599.7,6600,30708,6600
2013-08-21,6600,6605,6580,6598.2,93189,6598.2
2013-08-22,6598.2,6605,6550,6551,43137,6551
2013-08-23,6551,6647,6560,6604.4,41183,6604.4
2013-08-26,6604.4,6650,6599.9,6599.9,53196,6599.9
2013-08-27,6599.9,6599.9,6490,6490,3588,6490
2013-08-28,6490,6480,6425,6425,30398,6425
2013-08-29,6425,6425,6350,6350,11987,6350
2013-08-30,6350,6400,6199.9,6212.4,87066,6212.4
2013-09-02,6212.4,6225,6200,6215,29525,6215
2013-09-03,6215,6240,6140,6140,87333,6140
2013-09-04,6140,6201,6088,6200.1,99533,6200.1
2013-09-05,6200.1,6400.4,6200,6328.9,39317,6328.9
2013-09-06,6328.9,6550.1,6350,6450,81740,6450
2013-09-09,6450,6900,6450,6774.8,77802,6774.8
2013-09-10,6774,6900,6701,6740.6,81771,6740.6
2013-09-11,6740.6,6750,6500,6514.3,26271,6514.3
2013-09-12,6514.3,6800,6504,6629.6,37800,6629.6
2013-09-13,6629.6,6650,6563.3,6650,23646,6650
2013-09-16,6650,6790,6650,6744.8,42950,6744.8
2013-09-17,6744.8,6843,6746,6749.6,30570,6749.6
2013-09-23,6749.6,7100,6746,7100,53053,7100
2013-09-24,7100,7250,7110,7250,65038,7250
2013-09-25,7250,7474,7110,7408.3,227934,7408.3
2013-09-26,7408.3,7540,7350,7509.7,583966,7509.7
2013-09-27,7509.7,7598,7250,7583,205977,7583
2013-09-30,7583,7650,7548,7604.6,50639,7604.6
2013-10-01,7600,8000,7600,7912.2,190875,7912.2
2013-10-02,7880,7880,7600,7784,220519,7784
2013-10-03,7784,7800,7700,7700.7,120098,7700.7
2013-10-04,7700.7,7770,7700,7703.7,115207,7703.7
2013-10-07,7703.7,7700,7600,7650,90582,7650
2013-10-08,7650,7726.5,7650,7650,36762,7650
2013-10-09,7650,7800,7660,7700.5,254488,7700.5
2013-10-10,7700.5,7800,7700,7704,57669,7704
2013-10-11,7704,7703.9,7555,7598.5,265686,7598.5
2013-10-14,7598.5,7578,7549.9,7578,7743,7578
2013-10-15,7578,7540,7400,7439.8,15349,7439.8
2013-10-16,7439.8,7514.2,7460,7499.7,309263,7499.7
2013-10-17,7499.7,7570,7420,7570,8319,7570
2013-10-18,7570,7600,7570,7600,25918,7600
2013-10-21,7600,7725,7600,7703.5,70561,7703.5
2013-10-22,7703.5,7745,7690,7745,47155,7745
2013-10-23,7745,7800,7710,7790,55701,7790
2013-10-24,7790,7802,7760,7779,28215,7779
2013-10-25,7779,7850,7770,7778,24387,7778
2013-10-28,7778,7830,7778,7779,13318,7779
2013-10-29,7779,7780,7700,7769,29269,7769
2013-10-30,7780,7780,7690,7698.1,148010,7698.1
2013-11-04,7698.1,7655,7654,7655,9354,7655
2013-11-05,7655,7655,7600,7600,26533,7600
2013-11-06,7600,7600,7495,7500,13836,7500
2013-11-07,7500,7550,7325,7394.9,49256,7394.9
2013-11-08,7394.9,7325,7319,7319,1889,7319
2013-11-11,7319,7305,7000,7000,8041,7000
2013-11-12,7000,7150,6700.1,6998.1,99105,6998.1
2013-11-13,6998.1,6999.9,6700,6748.3,24204,6748.3
2013-11-14,6700,6800,6682.5,6729,97002,6729
2013-11-15,6729,6950,6751,6940,128660,6940
2013-11-18,6940,6942,6924,6924,5770,6924
2013-11-19,6924,6924,6740,6774.7,72382,6774.7
2013-11-20,6774.7,6790,6775,6790,7815,6790
2013-11-21,6790,6790,6600,6600,32013,6600
2013-11-22,6600,6600,6500,6500,25860,6500
2013-11-25,6500,6600,6500,6522.8,15672,6522.8
2013-11-26,6522.8,7100,6500,6695.1,42056,6695.1
2013-11-27,6695.1,6705,6690,6700,146570,6700
2013-11-28,6700,6800,6700,6799.6,287171,6799.6
2013-11-29,6799.6,6850,6701.1,6800,372092,6800
2013-12-02,6800,7500,6850,7250,277319,7250
2013-12-03,7250,7399,7150,7300.4,105293,7300.4
2013-12-04,7300.4,7400,7300,7338.6,142505,7338.6
2013-12-05,7338.6,7355.1,7290,7355,49724,7355
2013-12-06,7355,7450,7370,7441.1,106042,7441.1
2013-12-09,7441.1,7440,7370,7400,128406,7400
2013-12-10,7400,7430,7390,7430,152596,7430
2013-12-11,7430,7380,7322.3,7335,60111,7335
2013-12-12,7335,7330,7295,7295,25336,7295
2013-12-13,7295,7288.9,7000,7036.6,7054,7036.6
2013-12-16,7036.6,7001,6999.9,6999.9,48772,6999.9
2013-12-17,6999.9,6980,6935,6965.8,86154,6965.8
2013-12-18,6965.8,7000,6960,6980,50754,6980
2013-12-19,6980,7000,6945,6945.8,28359,6945.8
2013-12-20,6945.8,6960,6873.6,6959.6,96189,6959.6
2013-12-23,6959.6,6995,6940,6980.2,28441,6980.2
2013-12-24,6980.2,7081.4,6980,7074.8,21902,7074.8
2013-12-26,7074.8,7300,7060,7300,27990,7300
2013-12-27,7300,7450,7350,7371.9,68108,7371.9
2013-12-30,7371.9,7440,7298.2,7400,15181,7400
2014-01-02,7400,7406,7100,7321,13940,7321
2014-01-03,7321,7299,7246,7299,3502,7299
2014-01-06,7299,7400,7300,7400,1838,7400
2014-01-07,7400,7600,7400,7550,55764,7550
2014-01-08,7550,7750,7625.5,7699,46392,7699
2014-01-09,7699,7701.1,7600,7699,20072,7699
2014-01-10,7699,7690,7590,7590,35717,7590
2014-01-13,7590,7575,7450,7450,31629,7450
2014-01-14,7450,7450,7001,7062.3,12859,7062.3
2014-01-15,7062.3,7081,7000,7040,123222,7040
2014-01-16,7040,7250,7040.1,7250,8484,7250
2014-01-17,7250,7511,7240,7510.5,27214,7510.5
2014-01-20,7510.5,7510.5,7434.9,7470,10124,7470
2014-01-21,7470,7510,7200,7277.3,76988,7277.3
2014-01-22,7277.3,7305,7300,7300,10249,7300
2014-01-23,7300,7550,7000,7253.2,27577,7253.2
2014-01-24,7253.2,7300.1,7000,7299,13498,7299
2014-01-27,7299,7290,7000,7133.4,27310,7133.4
2014-01-28,7133.4,7000,6850,6914.5,14508,6914.5
2014-01-29,6914.5,6940,6775,6791,95518,6791
2014-01-30,6791,6898.3,6770,6796.9,215175,6796.9
2014-01-31,6796.9,6800,6600,6602.4,19035,6602.4
2014-02-03,6602.4,6600,6589.9,6590,9331,6590
2014-02-04,6590,6590,6500,6576.3,184861,6576.3
2014-02-05,6576.3,6560,6550,6550.1,20062,6550.1
2014-02-06,6550.1,6581,6550,6581,13365,6581
2014-02-07,6581,6900,6581,6900,10327,6900
2014-02-10,6900,6900,6555.1,6777.6,4770,6777.6
2014-02-11,6777.6,6900,6733,6900,110222,6900
2014-02-12,6900,7100,6900,7100,187295,7100
2014-02-13,7100,7003.5,7000,7000,91260,7000
2014-02-14,7000,7000,6899,6900,14382,6900
2014-02-17,6900,6900,6897,6893.5,97396,6893.5
2014-02-18,6893.5,6918.5,6850,6890,36157,6890
2014-02-19,6890,6850,6821.1,6850,51453,6850
2014-02-20,6850,6850,6780,6800,124326,6800
