date,open,high,low,close,volume,adj_close
2009-06-03,431.6317,431.6317,431.6317,431.6317,6997,431.6317
2009-06-04,431.6317,447.0675,431.6317,447.0675,16040,447.0675
2009-06-05,447.0676,460.2166,431.6317,460.2166,15743,460.2166
2009-06-08,460.2166,514.5279,463.0751,514.5279,34560,514.5279
2009-06-09,514.5279,563.1222,515.0996,563.1222,3502,563.1222
2009-06-10,563.1222,563.1222,557.4052,560.2637,73656,560.2637
2009-06-11,560.2637,560.2637,560.2065,560.2065,97831,560.2065
2009-06-12,560.2065,514.5279,514.5279,514.5279,19802,514.5279
2009-06-15,514.5279,514.5279,514.5279,514.5279,8746,514.5279
2009-06-16,514.5279,516.243,514.5279,516.243,14203,516.243
2009-06-17,516.2429,520.2448,516.8146,520.2448,22739,520.2448
2009-06-18,520.2448,523.675,520.302,523.675,13993,523.675
2009-06-19,523.675,534.5373,525.9618,534.5373,44184,534.5373
2009-06-22,534.5373,534.5373,534.5373,534.5373,17492,534.5373
2009-06-23,534.5373,525.9618,525.9618,525.9618,43682,525.9618
2009-06-24,525.9618,525.9618,525.9618,525.9618,40815,525.9618
2009-06-25,525.9618,529.392,529.392,529.392,3498,529.392
2009-06-26,529.392,531.6788,529.392,531.6788,10495,531.6788
2009-06-30,531.6788,531.6788,531.6788,531.6788,728,531.6788
2009-07-01,531.6788,539.1109,539.1109,539.1109,16764,539.1109
2009-07-02,539.1108,543.1127,539.9684,543.1127,13993,543.1127
2009-07-06,543.1128,537.3958,537.3958,537.3958,17492,537.3958
2009-07-07,537.3958,548.8297,540.2543,548.8297,61221,548.8297
2009-07-09,548.8297,543.1127,543.1127,543.1127,8365,543.1127
2009-07-10,543.1127,543.1127,543.1127,543.1127,14025,543.1127
2009-07-13,543.1127,543.1127,540.2543,543.1127,31970,543.1127
2009-07-14,543.1127,543.1127,543.1127,543.1127,16287,543.1127
2009-07-15,543.1127,571.6976,543.1127,571.6976,95017,571.6976
2009-07-20,571.6976,560.2694,543.1127,560.2694,858261,560.2694
2009-07-21,560.2694,560.2637,559.1203,560.2637,8746,560.2637
2009-07-22,560.2637,560.2637,554.5467,560.2637,17492,560.2637
2009-07-23,560.2637,557.4052,554.5467,554.5467,6997,554.5467
2009-07-24,554.5467,554.5467,548.8297,548.8297,5889,548.8297
2009-07-27,548.8297,554.5467,554.5467,554.5467,13993,554.5467
2009-07-29,554.5467,554.5467,548.8297,548.8297,19241,548.8297
2009-08-03,548.8297,548.8297,548.8297,548.8297,1749,548.8297
2009-08-04,548.8297,551.6939,551.6882,551.6939,12613,551.6939
2009-08-05,551.6939,552.0026,552.0026,552.0026,3498,552.0026
2009-08-07,552.0026,571.6976,551.6882,571.6976,108111,571.6976
2009-08-10,571.6976,571.6976,571.6976,571.6976,2089,571.6976
2009-08-11,571.6976,571.6976,571.6976,571.6976,3498,571.6976
2009-08-12,571.6976,571.6976,571.6976,571.6976,14955,571.6976
2009-08-13,571.6976,571.6976,571.6976,571.6976,14978,571.6976
2009-08-14,571.6976,583.1316,571.6976,583.1316,14532,583.1316
2009-08-18,583.1315,571.6976,571.6976,571.6976,13993,571.6976
2009-08-19,571.6976,571.6976,571.6976,571.6976,12244,571.6976
2009-08-20,571.6976,571.6976,571.6976,571.6976,11370,571.6976
2009-08-21,571.6976,600.2825,600.2825,600.2825,18702,600.2825
2009-08-24,600.2825,628.8674,628.8674,628.8674,17975,628.8674
2009-08-25,628.8674,628.8674,628.8674,628.8674,2781,628.8674
2009-08-27,628.8674,623.1504,571.6976,623.1504,26238,623.1504
2009-08-28,623.1505,628.8674,623.1504,628.8674,3971,628.8674
2009-08-31,628.8674,628.2957,628.2957,628.2957,97985,628.2957
2009-09-01,628.2957,623.1504,571.6976,623.1504,5248,623.1504
2009-09-02,623.1504,617.4334,600.2825,608.0576,3208,608.0576
2009-09-03,608.0576,600.2825,599.1391,600.2825,22155,600.2825
2009-09-07,600.2825,588.8485,571.6976,571.6976,7413,571.6976
2009-09-08,571.6976,571.6976,571.6976,571.6976,8746,571.6976
2009-09-09,571.6976,571.6976,571.6976,571.6976,8746,571.6976
2009-09-10,571.6976,571.6976,571.6976,571.6976,6969,571.6976
2009-09-11,571.6976,575.1278,571.6919,575.1278,2625185,575.1278
2009-09-14,575.1278,571.6976,571.6976,571.6976,10495,571.6976
2009-09-15,571.6976,571.6976,571.6976,571.6976,6997,571.6976
2009-09-16,571.6976,576.8429,576.8429,576.8429,1749,576.8429
2009-09-17,576.8429,572.2693,571.6976,572.2693,15743,572.2693
2009-09-21,572.2693,571.7548,571.6976,571.7548,5248,571.7548
2009-09-23,571.7548,571.7548,571.7548,571.7548,175,571.7548
2009-09-24,571.7548,583.1316,574.5561,583.1316,12244,583.1316
2009-09-25,583.1315,585.9901,571.6976,571.6976,24837,571.6976
2009-09-28,571.6976,571.6976,571.6976,571.6976,6474,571.6976
2009-09-29,571.6976,583.1316,572.2693,583.1316,8746,583.1316
2009-09-30,583.1315,591.707,583.7033,591.707,17492,591.707
