date,open,high,low,close,volume,adj_close
2009-06-08,9.1,9.1,9.1,9.1,200000,9.1
2009-06-09,9.1,9.2,9,9.2,500000,9.2
2009-06-16,9.2,8.9,8.9,8.9,133215,8.9
2009-06-26,8.9,8.9,8.9,8.9,20000,8.9
2009-06-30,8.9,8.88,8.88,8.88,111261,8.88
2009-07-03,8.88,8.25,8.25,8.25,250000,8.25
2009-07-06,8.25,8.6,8.6,8.6,134062,8.6
2009-07-21,8.6,8.6,8.6,8.6,10000,8.6
2009-07-22,8.6,7.73,7.5,7.72,1263086,7.72
2009-07-23,7.72,8,8,8,355180,8
2009-07-29,8.1,8.1,8,8,684780,8
2009-07-31,8,8.2,8.1,8.1,378000,8.1
2009-08-03,8.1,8.1,8.1,8.1,250000,8.1
2009-08-04,8.1,8.1,8.1,8.1,447530,8.1
2009-08-20,8.1,8.1,8.1,8.1,9873,8.1
2009-08-21,8.1,8,8,8,300000,8
2009-09-10,8,8,8,8,50000,8
2009-09-23,8,8,8,8,8800,8
2009-09-29,8,8,8,8,50000,8
2009-10-05,8,8,8,8,1100,8
2009-10-09,8,8,8,8,39,8
2009-10-13,8,8,8,8,24304,8
2009-10-15,8,8,8,8,5643,8
2009-11-20,8,7.8,7,7.8,11374060,7.8
2009-12-28,7.8,6.8,6.8,7.8,4000000,7.8
2009-12-30,7.8,6.8,6.8,7.8,49040000,7.8
2010-01-05,7.8,6.8,6.5,7.8,53707850,7.8
2010-01-21,7.8,7.8,7.8,7.8,18895,7.8
2010-03-03,7.8,8.3,7.8,8.3,535604,8.3
2010-03-04,8.3,8.5,8.5,8.5,1470642,8.5
2010-03-05,8.5,8.5,8.5,8.5,1000000,8.5
2010-03-08,8.5,9.5,9,9,1295041,9
2010-03-09,9,9,9,9,7661298,9
2010-03-10,9,9,9,9,18127,9
2010-03-11,9,9,9,9,53000,9
2010-03-12,9,9,9,9,420000,9
2010-03-16,9,8.4,8.4,8.4,327000,8.4
2010-03-17,8.4,8.45,8.4,8.4,262047,8.4
2010-03-19,8.4,8.4,8.4,8.4,75000,8.4
2010-03-23,8.4,8,8,8,184000,8
2010-03-24,8,7.8,7.5,7.8,613215,7.8
2010-03-25,7.8,7.8,7.8,7.8,4500,7.8
2010-03-26,7.8,8,8,8,93000,8
2010-03-29,8,8,8,8,125000,8
2010-03-30,8,8.11,8.11,8.11,205000,8.11
2010-03-31,8.11,8.111,8.02,8.11,324167,8.11
2010-04-07,8.11,8.35,8.25,8.3,5703000,8.3
2010-04-08,8.3,8.55,8.3,8.55,5775000,8.55
2010-04-09,8.55,8.55,8.55,8.55,530000,8.55
2010-04-12,8.55,8.55,8.55,8.55,4530000,8.55
2010-04-13,8.55,8.55,8.55,8.55,100000,8.55
2010-04-14,8.55,8.49,8.4,8.4,3148880,8.4
2010-04-15,8.4,8.4,8.3,8.3,7366833,8.3
2010-04-23,8.3,8.11,8.11,8.11,195000,8.11
2010-04-29,8.11,8.11,8.11,8.11,15000,8.11
2010-05-05,8.11,8.11,8.11,8.11,2000000,8.11
2010-05-06,8.11,8.11,8.11,8.11,45000,8.11
2010-05-20,8.11,8.11,8.11,8.11,4248,8.11
2010-06-01,8.11,8.11,8.11,8.11,54248,8.11
2010-06-07,8.11,8.11,8.11,8.11,9085,8.11
2010-06-18,8.11,7.9,7.9,7.9,305000,7.9
2010-06-29,7.9,8.1,8.1,8.1,1318229,8.1
2010-07-09,8.1,7.7,7.7,7.7,57000,7.7
2010-07-14,7.7,8,8,8,134750,8
2010-07-21,8,8,8,8,15000,8
2010-07-26,8,8.5,8,8.5,1641565,8.5
2010-07-27,8.5,8.5,8.5,8.5,45935,8.5
2010-08-05,8.5,8.5,8.3,8.5,2500000,8.5
2010-08-09,8.5,8.5,8.5,8.5,400000,8.5
2010-08-10,8.5,8.5,8.5,8.5,38532,8.5
2010-08-11,8.5,8,8,8,1380765,8
2010-08-23,8,8,8,8,500000,8
2010-09-09,8,7.5,7.5,7.5,1000000,7.5
2010-09-10,7.5,7.5,7.5,7.5,20000,7.5
2010-09-13,7.5,7.5,7.5,7.5,20000,7.5
2010-09-16,7.5,7.5,7.5,7.5,46666,7.5
2010-09-21,7.5,7.4,7,7.4,6585766,7.4
2010-09-28,7.4,7.6,7.5,7.6,1289893,7.6
2010-09-29,7.6,7.65,7.65,7.65,300000,7.65
2010-10-08,7.65,7.65,7.65,7.65,1153644,7.65
2010-10-15,7.65,7.4,7.4,7.4,736666,7.4
2010-10-21,7.4,7.6,7.6,7.6,300000,7.6
2010-10-27,7.6,7.65,7.55,7.55,789000,7.55
2010-10-28,7.55,7.8,7.65,7.8,1200000,7.8
2010-10-29,7.8,7.9,7.9,7.9,380000,7.9
2010-11-04,7.9,7.9,7.9,7.9,20000,7.9
2010-11-05,7.9,7.7,7.7,7.7,131163,7.7
2010-11-10,7.7,7.8,7.8,7.8,180000,7.8
2010-11-23,7.8,8.19,8.19,7.8,150000,7.8
2010-11-25,7.8,7.9,7.9,7.9,639839,7.9
2010-11-26,7.9,8.5,8.2,8.4,598719,8.4
2010-11-29,8.4,8.4,8.39,8.39,287968,8.39
2010-12-01,8.39,7.7,7.7,7.7,131168,7.7
2010-12-06,7.7,8,8,8,200000,8
2010-12-17,8,8,7.5,8,35808780,8
2010-12-20,8,8.1,8.1,8.1,220000,8.1
2010-12-24,8.1,8.2,8.2,8.2,9862678,8.2
2010-12-28,8.2,8.4,8.4,8.4,164100,8.4
2010-12-29,8.4,8.4,8.4,8.4,2020000,8.4
2010-12-30,8.4,8.4,8.4,8.4,20118,8.4
2011-01-04,8.4,8.35,8.35,8.35,4990379,8.35
2011-01-06,8.35,8.35,8.35,8.35,22856,8.35
2011-01-13,8.35,8.5,8.5,8.5,120000,8.5
2011-01-19,8.5,8.5,8.15,8.5,372480,8.5
2011-01-24,8.5,8.2,8.2,8.2,121734,8.2
2011-01-25,8.2,8.3,8.3,8.3,199839,8.3
2011-01-31,8.3,8.3,8.3,8.3,200000,8.3
2011-02-03,8.3,8.05,8.05,8.05,1943682,8.05
2011-02-17,8.05,8.2,8.2,8.2,716954,8.2
2011-02-18,8.2,8.2,8.2,8.2,500000,8.2
2011-02-24,8.2,7.7,7.7,7.7,500000,7.7
2011-02-28,7.7,7.9,7.9,7.9,120000,7.9
2011-03-17,7.9,7.9,7.9,7.9,180000,7.9
2011-03-22,7.9,7.9,7.9,7.9,500,7.9
2011-03-29,7.9,7.9,7.9,7.9,250000,7.9
2011-04-04,7.9,7.9,7.9,7.9,120000,7.9
2011-04-06,7.9,8,8,8,417072,8
2011-04-07,8,8,8,8,150000,8
2011-04-12,8,8,8,8,33000,8
2011-04-20,8,8,8,8,52393,8
2011-04-27,8,8,8,8,22400,8
2011-05-12,8,8,8,8,1000000,8
2011-05-18,8,8,8,8,600000,8
2011-05-24,8,8,8,8,16400,8
2011-06-02,8,8,8,8,15000,8
2011-06-08,8,8,8,8,31250,8
2011-06-13,8,7.8,7.8,7.8,130000,7.8
2011-06-15,7.8,7.8,7.8,7.8,207500,7.8
2011-06-20,7.8,7.8,7.8,7.8,289250,7.8
2011-06-29,7.8,7.8,7.8,7.8,783242,7.8
2011-07-04,7.8,7.8,7.8,7.8,655307,7.8
2011-07-05,7.8,7.7,7.7,7.7,113710,7.7
2011-07-11,7.7,7.7,7.7,7.7,500000,7.7
2011-07-21,7.7,7.7,7.7,7.7,10000,7.7
