date,open,high,low,close,volume,adj_close
2012-03-22,48.1,52,48.1,50.15,331029500,50.15
2012-03-23,51,51,48.1,50.73,13844210,50.73
2012-03-26,50.73,52.9,50.9,52.56,19003380,52.56
2012-03-27,52.56,54,52.56,53.55,14027110,53.55
2012-03-28,53.55,55,53,53.4,5185667,53.4
2012-03-29,53,54,52.15,52.2,3590186,52.2
2012-03-30,52.2,53.89,52.5,53,5342323,53
2012-04-02,53,54.5,53.49,54.44,4823223,54.44
2012-04-03,54.44,55,54,54.4,7469030,54.4
2012-04-04,54.4,54.2,53.49,53.49,952734,53.49
2012-04-05,53.49,53.5,53.49,53.5,480105,53.5
2012-04-09,53.5,53.45,53.45,53.45,9666,53.45
2012-04-10,53.45,52,51.2,52,39502,52
2012-04-11,52,52,51.5,51.5,436950,51.5
2012-04-12,51.5,52,50.51,51.08,923771,51.08
2012-04-13,51.08,51.9,50.5,51.9,264958,51.9
2012-04-16,51.9,51.5,51.5,51.5,110545,51.5
2012-04-17,51.5,51.5,50.5,51,1028029,51
2012-04-18,51,51.5,50.15,51,304042,51
2012-04-19,51,51.5,50.5,50.5,620746,50.5
2012-04-20,50.5,51,50.99,51,511233,51
2012-04-24,51,51.5,51,51.5,944925,51.5
2012-04-26,51.5,51,50.15,51,71918,51
2012-04-27,51,51.5,51,51.5,54850,51.5
2012-04-30,51.5,50,49.11,49.38,565000,49.38
2012-05-02,49.38,50.1,49.99,50,124485,50
2012-05-03,50,50,50,50,404000,50
2012-05-04,50,49.98,49.3,49.98,583200,49.98
2012-05-07,49.98,49.5,49,49.5,374592,49.5
2012-05-08,49.5,49.99,49,49.99,687000,49.99
2012-05-09,49.99,50.79,49.9,50.78,3142121,50.78
2012-05-10,50.78,51,50,50.7,13267450,50.7
2012-05-11,50.7,50.5,50.5,50.5,77410,50.5
2012-05-14,50.5,50,50,50,165054,50
2012-05-15,50,50,48.5,50,405994,50
2012-05-16,50,50,48.5,48.51,4705152,48.51
2012-05-17,48.51,49.9,49,49,1146499,49
2012-05-18,49,49.9,48.5,49.49,1020590,49.49
2012-05-22,49.49,49.38,48.51,49.38,52731,49.38
2012-05-23,49.38,48.89,48.89,48.89,18592,48.89
2012-05-24,48.89,49.9,49,49.8,1034608,49.8
2012-05-25,49.8,52,49.5,50.15,2222192,50.15
2012-05-28,50.15,50.15,50,50.15,1856915,50.15
2012-05-29,50.15,50.9,50.1,50.84,2290294,50.84
2012-05-31,50.84,50.44,49,49.2,195536,49.2
2012-06-01,49.2,50.42,50.42,50.42,10000,50.42
2012-06-04,50.42,49.98,48.01,49.98,20132,49.98
2012-06-06,49.98,50.42,49,49.01,1376449,49.01
2012-06-07,49.01,50.5,49.4,50.5,4727098,50.5
2012-06-12,50.5,49.97,49,49.97,59982,49.97
2012-06-14,49.97,49.58,49.58,49.58,100000,49.58
2012-06-19,49.58,50,48.5,49.88,877150,49.88
2012-06-20,49.88,49.8,49,49.8,298272,49.8
2012-06-27,49.8,49,48.4,48.99,295311,48.99
2012-06-28,48.99,48.99,48.99,48.99,3125,48.99
2012-06-29,48.99,49.5,48.5,49,117363,49
2012-07-03,49,49,49,49,1600187,49
2012-07-05,49,48.9,48.49,48.9,107927,48.9
2012-07-06,48.9,49.5,49,49.5,20000,49.5
2012-07-09,49.5,48.01,48,48.01,70162,48.01
2012-07-10,48.01,48.01,48.01,48.01,27930,48.01
2012-07-11,48.01,49,46,48.1,8982967,48.1
2012-07-12,48.1,48.9,48.1,48.1,31518,48.1
2012-07-18,48.1,48.1,48.1,48.1,415,48.1
2012-07-20,48.1,48,45,47.5,245078,47.5
2012-07-23,47.5,48.5,46,47.99,123060,47.99
2012-07-25,47.99,47,47,47,17108,47
2012-07-26,47,47.9,47.9,47.9,12000,47.9
