date,open,high,low,close,volume,adj_close
2009-06-04,12.6,13,13,13,200000,13
2009-06-15,13,13,13,13,14680,13
2009-06-24,13,13,13,13,159636,13
2009-07-28,13,13,13,13,11650,13
2009-08-27,13,13,13,13,8000,13
2009-10-01,13,13,13,13,10000,13
2009-10-15,10,13,13,13,2500,13
2009-11-12,13,13,13,13,5000,13
2009-12-21,13,10,10,10,61020,10
2010-01-18,10,10,10,10,12850,10
2010-02-10,10,10,10,10,50000,10
2010-04-01,10,10,10,10,1312,10
2010-04-08,10,10,10,10,100000,10
2010-04-09,10,10,10,10,50000,10
2010-04-16,10,10,10,10,100000,10
2010-04-22,10,10,10,10,35700,10
2010-06-07,10,10,10,10,10320,10
2010-06-10,10,10,10,10,40000,10
2010-06-16,10,10,10,10,41666,10
2010-06-21,10,10,10,10,53400,10
2010-07-08,10,10.1,10.1,10,250000,10
2010-08-05,10,10.8,10.8,10.8,150000,10.8
2010-08-17,10.8,10.8,10.8,10.8,280455,10.8
2010-09-13,10.8,10.8,10.8,10.8,2073,10.8
2010-09-15,10.8,10.8,10.8,10.8,20000,10.8
2010-09-21,10.8,10.8,10.8,10.8,23985,10.8
2010-10-01,10.8,10.8,10.8,10.8,30000,10.8
2010-11-22,10.8,11,11,11,50000,11
2010-12-01,11,11,11,11,3000,11
2010-12-14,11,11,11,11,4400,11
2011-02-17,11,11,11,11,11570,11
2011-03-08,11,12.1,12.1,11,130000,11
2011-04-21,11,12,12,12,172000,12
2011-04-28,12,12,12,12,38300,12
2011-05-20,12,14.3,14.3,14.3,66430,14.3
2011-05-25,14.3,15.5,15.5,15.5,100000,15.5
2011-05-31,15.5,15.5,15.5,15.5,17000,15.5
2011-06-13,15.5,15.5,15.5,15.5,20000,15.5
2011-07-14,15.5,15.5,15.5,15.5,9540,15.5
2011-07-15,15.5,15.5,15.5,15.5,2500,15.5
2011-07-22,15.5,15.5,15.5,15.5,1464,15.5
2011-08-03,15.5,12,12,12,56036,12
2011-08-11,12,12.5,12.5,12.5,39619,12.5
2011-08-16,12.5,12.5,12.5,12.5,40000,12.5
2011-08-24,12.5,12.5,12.5,12.5,250000,12.5
2011-12-29,12.5,12.5,12.5,12.5,18840,12.5
2012-02-13,12.5,12.5,12.5,12.5,4000,12.5
2012-02-29,12.5,12.5,12.5,12.5,25000,12.5
2012-03-15,12.5,13,13,13,52248860,13
2012-03-19,13,13,13,13,15000,13
2012-04-18,13,13,13,13,32051,13
2012-04-19,13,13,13,13,9540,13
2012-04-20,13,13.7,13.7,13.7,125000,13.7
2012-05-16,13.7,13.7,13.7,13.7,8620,13.7
2012-05-23,13.7,13.7,13.7,13.7,13262000,13.7
2012-08-27,13.7,13.7,13.7,13.7,1550,13.7
2012-08-28,13.7,13.7,13.7,13.7,1500,13.7
2012-10-26,13.7,13.7,13.7,13.7,1500,13.7
2013-01-02,13.7,13.7,13.7,13.7,220,13.7
2013-01-11,13.7,13.7,13.7,13.7,780,13.7
2013-01-30,13.7,13.7,13.7,13.7,900,13.7
2014-02-27,13.7,13.7,13.7,13.7,8660,13.7
2014-07-14,13.7,13.7,13.7,13.7,11123,13.7
2014-11-05,13.7,13.7,13.7,13.7,452886,13.7
2016-08-09,13.7,7,7,7,581423,7
2016-08-10,7,7,7,7,271316,7
2016-08-17,7,7,7,7,20000,7
2016-08-18,7,7,7,7,13350,7
2016-09-16,7,7,7,7,100000,7
2016-09-26,7,6.99,6.99,6.99,353708,6.99
2016-09-27,6.99,6.99,6.99,6.99,7112,6.99
2016-10-03,6.99,6.99,6.99,6.99,10000,6.99
2016-10-11,6.99,6.99,6.99,6.99,73650,6.99
2016-12-12,6.99,6.99,6.99,6.99,42857,6.99
2017-02-08,6.99,7,7,7,94858,7
2017-03-03,7,7,7,7,94858,7
2017-03-28,7,6.65,6.65,6.65,552681,6.65
2017-04-24,6.65,6.65,6.65,6.65,1000,6.65
2017-05-25,6.65,6.65,6.65,6.65,10600,6.65
2017-05-29,6.65,6.65,6.65,6.65,16780,6.65
2017-08-14,6.65,6.65,6.65,6.65,71428,6.65
2018-01-02,6.65,6.65,6.65,6.65,8000,6.65
2018-05-15,6.65,6.65,6.65,6.65,16700,6.65
2018-09-06,6.65,6.65,6.65,6.65,5000,6.65
2018-10-17,6.65,6.65,6.65,6.65,2000,6.65
2019-01-08,6.65,6.65,6.65,6.65,4800,6.65
2019-04-12,6.65,6,6,6,21328,6
2019-04-15,6,6,6,6,3507,6
2019-10-22,6,6,6,6,0,6
2019-11-19,6,6,6,6,0,6
2019-11-20,6,6,6,6,0,6
2019-11-21,6,6,6,6,0,6
2019-11-23,6,6,6,6,0,6
2019-12-20,6,6,6,6,0,6
