date,open,high,low,close,volume,adj_close
2013-04-04,21.16,21.16,21.16,21.16,380,21.16
2013-04-29,21.16,23.75,23.75,23.75,380,23.75
2013-05-20,23.75,24.07,24.07,24.07,400,24.07
2013-05-22,24.07,24.38,24.36,24.36,400,24.36
2013-05-23,24.36,24.06,24.06,24.06,400,24.06
2013-05-24,24.06,23.83,23.83,23.83,400,23.83
2013-06-05,23.83,24.88,24.88,24.88,360,24.88
2013-06-17,24.88,25.26,25.26,25.26,270,25.26
2013-07-22,25.26,22.8,22.8,22.8,649,22.8
2013-07-30,22.8,23.45,23.45,23.45,649,23.45
2013-08-06,23.45,22.85,22.85,22.85,650,22.85
2013-10-25,22.85,24.1,24.1,24.1,650,24.1
2013-11-22,24.1,24,24,24,1452,24
2013-12-06,24,24.93,24.9,24.93,1452,24.93
2014-04-03,24.93,26.41,26.41,26.41,270,26.41
2014-04-15,26.41,26.59,26.59,26.59,360,26.59
2014-08-22,26.59,35.07,35.07,35.07,320,35.07
2014-11-26,35.07,36.95,36.9,36.9,2670,36.9
2014-11-28,36.9,37.43,37.43,37.43,1520,37.43
2014-12-17,37.43,35.54,35.54,35.54,3120,35.54
2014-12-19,35.54,36.36,36.36,36.36,1070,36.36
2015-01-27,36.36,33.93,33.83,33.83,390,33.83
2015-02-05,33.83,33.75,33.7,33.73,1776,33.73
2015-02-06,33.73,33.8,33.8,33.8,460,33.8
2015-02-09,33.8,33.15,32.83,33.15,755,33.15
2015-02-11,33.15,33.69,33.69,33.69,119,33.69
2015-02-12,33.69,33.94,33.86,33.94,528,33.94
2015-02-13,33.94,34.09,34.09,34.09,60,34.09
2015-02-17,34.09,34.53,34.36,34.53,982,34.53
2015-02-27,34.53,33.48,33.48,33.48,3875,33.48
2015-03-11,33.48,32.66,32.64,32.64,452,32.64
2015-03-16,32.64,30.94,30.94,30.94,80,30.94
2015-03-20,30.94,31.58,31.55,31.58,613,31.58
2015-03-23,31.58,31.32,31.32,31.32,314,31.32
2015-03-24,31.32,31,31,31,80,31
2015-04-13,31,32,32,32,207,32
2015-05-08,32,32.78,32.78,32.78,65,32.78
2015-05-14,32.78,32.85,32.84,32.85,390,32.85
2015-05-19,32.85,33.03,33.03,33.03,300,33.03
2015-06-02,33.03,33.38,33.38,33.38,60,33.38
2015-06-26,33.38,31.33,31.33,31.33,300,31.33
2015-08-13,31.33,29.26,29.26,29.26,20,29.26
2015-08-19,29.26,28.42,28.42,28.42,440,28.42
2015-09-30,28.42,29.89,29.89,29.89,20,29.89
2015-10-16,29.89,33.12,33.05,33.05,1480,33.05
2015-10-20,33.05,33.55,33.55,33.55,296,33.55
2015-11-16,33.55,32.06,32.06,32.06,87,32.06
2015-11-30,32.06,34.62,34.62,34.62,3875,34.62
2015-12-02,34.62,35.23,35.07,35.23,1090,35.23
2016-02-08,35.23,28.42,28.42,28.42,200,28.42
2016-02-17,28.42,29.48,29.48,29.48,200,29.48
2016-03-17,29.48,31.9,31.9,31.9,125,31.9
2016-04-12,31.9,31.87,31.87,31.87,110,31.87
2016-05-17,31.87,29.99,29.99,29.99,110,29.99
2016-06-07,29.99,31.93,31.93,31.93,550,31.93
2016-06-20,31.93,32.31,32.31,32.31,125,32.31
2016-07-20,32.31,35.93,35.93,35.93,220,35.93
2016-08-08,35.93,34.95,34.95,34.95,818,34.95
2016-10-20,34.95,35.43,35.43,35.43,256,35.43
2016-12-19,35.43,36.77,36.77,36.77,143,36.77
2017-01-09,36.77,36.76,36.76,36.76,1026,36.76
2017-02-13,36.76,35.53,35.53,35.53,195,35.53
2017-02-21,35.53,36.67,36.66,36.67,3140,36.67
2017-02-22,36.67,36,36,36,140,36
2017-03-21,36,35.24,35.17,35.24,3140,35.24
2017-03-30,35.24,35.68,35.68,35.68,29,35.68
2017-04-05,35.68,36.56,36.56,36.56,70,36.56
2017-04-26,36.56,36.89,36.89,36.89,99,36.89
2017-07-20,36.89,34.66,34.66,34.66,2052,34.66
2017-08-02,34.66,36.46,36.46,36.46,40,36.46
2017-08-17,36.46,35.62,35.62,35.62,100,35.62
2017-08-25,35.62,34.75,34.75,34.75,100,34.75
2017-09-25,34.75,37.06,37.06,37.06,100,37.06
2017-10-05,37.06,39.23,39.23,39.23,202,39.23
2017-10-10,39.23,39.4,39.4,39.4,75,39.4
2017-11-27,39.4,44.51,44.51,44.51,112,44.51
2017-11-28,44.51,44.5,44.5,44.5,202,44.5
2017-12-11,44.5,43.37,43.37,43.37,143,43.37
2018-01-04,43.37,44.14,44.14,44.14,50,44.14
2018-02-06,44.14,44.3,44.3,44.3,200,44.3
