date,open,high,low,close,volume,adj_close
2021-01-07,36550,36550,36550,36550,300,36550
2021-01-12,36550,37652,37652,36550,6,36550
2021-01-15,36550,43327,43327,36550,3,36550
2021-01-25,36550,40921,40921,36550,10,36550
2021-02-01,36550,42190,42190,36550,1,36550
2021-02-02,36550,42230,42230,36550,3,36550
2021-02-19,36550,43481,43481,36550,10,36550
2021-02-25,36550,44512,44512,36550,10,36550
2021-02-26,36550,44252,44000,44000,203,44000
2021-03-01,44004,45685,45685,44004,4,44004
2021-04-20,44004,44040,44040,44004,100,44004
2021-04-29,44004,41130,41130,44004,7,44004
2021-05-04,44004,39654,39654,44004,12,44004
2021-05-07,44004,40250,40250,44004,4,44004
2021-05-11,44004,38600,38600,44004,8,44004
2021-05-14,44004,39104,39104,44004,1,44004
2021-05-18,44004,39895,39895,44004,8,44004
2021-05-25,44004,41958,41958,44004,2,44004
2021-05-26,44004,41850,41850,44004,1,44004
2021-06-01,44004,41780,41347,44004,10,44004
2021-06-02,44004,41680,41680,44004,3,44004
2021-06-04,44004,41609,41018,44004,96,44004
2021-06-07,44004,41133,41133,44004,5,44004
2021-06-09,44004,41295,41295,44004,1,44004
2021-06-14,44004,41700,41700,44004,4,44004
2021-06-18,44004,41600,41600,41600,94,41600
2021-07-01,44004,41400,41400,44004,12,44004
2021-07-06,44004,42010,42010,44004,3,44004
2021-07-07,44004,42270,42250,44004,45,44004
2021-07-08,44004,41970,41970,44004,2,44004
2021-07-12,44004,42200,42150,44004,20,44004
2021-07-13,44004,42855,42855,44004,50,44004
2021-07-14,44004,42630,42630,44004,1,44004
2021-07-15,44004,42403,42403,44004,4,44004
2021-07-19,44004,41470,41470,44004,2,44004
2021-07-20,44004,41989,41920,44004,5,44004
2021-07-21,44004,42430,42430,44004,23,44004
2021-07-28,44004,40950,40950,44004,15,44004
2021-08-24,44004,42120,41660,44004,27,44004
2021-08-31,44004,42070,42070,44004,4,44004
2021-09-07,44004,42220,42220,44004,3,44004
2021-09-10,44004,42110,42110,44004,5,44004
2021-09-22,44004,42520,42520,44004,21,44004
2021-09-24,44004,43000,43000,44004,10,44004
2021-10-04,44004,43435,43435,44004,1,44004
2021-10-18,44004,44840,44840,44004,10,44004
2021-10-22,44004,41500,41500,44004,15,44004
2021-10-25,44004,40690,40690,44004,10,44004
