date,open,high,low,close,volume,adj_close
2009-06-11,174.7699,173.8252,173.8252,173.8252,7198,173.8252
2009-06-12,173.8251,173.3528,173.3528,173.3528,5683,173.3528
2009-06-17,173.3528,173.3528,173.3528,173.3528,578,173.3528
2009-06-26,173.3529,170.0464,170.0464,170.0464,5293,170.0464
2009-07-23,170.0463,170.0369,169.574,170.0369,11761,170.0369
2009-08-28,170.0369,154.9311,154.9311,154.9311,15878,154.9311
2009-09-09,154.9311,154.9311,154.9311,154.9311,3072,154.9311
2009-10-01,154.9311,147.3735,147.3735,147.3735,6775,147.3735
2009-10-14,147.3735,142.65,142.65,142.65,9719,142.65
2009-10-15,142.65,142.65,142.65,142.65,1402,142.65
2009-11-04,151,151,151,151,715,151
2009-11-06,151,142,142,142,30000,142
2009-11-12,142,135,135,135,38001,135
2009-11-18,135,135,135,135,2470,135
2009-11-19,135,135,135,135,4827,135
2009-12-07,135,135,135,135,7400,135
2009-12-15,135,135,135,135,2655,135
2009-12-16,135,135,135,135,7400,135
2009-12-23,135,135,135,135,7260,135
2010-01-27,135,134,134,134,76607820,134
2010-01-28,134,134,134,134,2985,134
2010-01-29,134,134,134,134,24281,134
2010-02-09,134,134,134,134,1520,134
2010-02-12,134,134,134,134,1274,134
2010-02-18,134.9,134.9,134.9,134.9,3666,134.9
2010-02-26,134.9,134.9,134.9,134.9,1111,134.9
2010-03-19,134.9,134.9,134.9,134.9,1588,134.9
2010-03-25,134.9,134.9,134.9,134.9,1412,134.9
2010-05-06,134.9,134.9,134.9,134.9,25621,134.9
2010-06-10,134.9,141.5,134.9,141.5,76102,141.5
2010-06-11,141.5,160,150,160,13650,160
2010-06-14,160,200,170,200,43137,200
2010-06-15,200,280,212,230,56145,230
2010-06-16,230,222,220,221,265300,221
2010-06-17,220,220,220,220,3648,220
2010-07-13,220,221,180,221,53966,221
2010-07-14,221,220.9,220.9,220.9,6000,220.9
2010-07-19,220.9,221,220,221,10000,221
2010-07-27,221,221,221,221,63704,221
2010-07-29,221,220,190,220,16443,220
2010-07-30,220,221,221,221,32601,221
2010-08-04,221,221,221,221,5161,221
