date,open,high,low,close,volume,adj_close
2009-06-03,5000,5000,4999,4999.9,3501,4999.9
2009-06-04,4999.9,5000,5000,5000,1790,5000
2009-06-05,5000,5300,5000,5267.2,10512,5267.2
2009-06-08,5267.2,5500,5300,5500,9899,5500
2009-06-09,5500,5450,5398,5398,9659,5398
2009-06-10,5398,5600,5445,5450,14869,5450
2009-06-11,5450,5500,5450,5500,1986,5500
2009-06-12,5500,5500,5500,5500,5971,5500
2009-06-15,5500,5400,5100,5100,1857,5100
2009-06-16,5100,5200,5150,5200,3476,5200
2009-06-17,5200,5000,4851,4851,4986,4851
2009-06-18,4851,5000,4800,5000,1269,5000
2009-06-19,5000,5060,5052,5060,412,5060
2009-06-22,5060,5060,4799,4799,1947,4799
2009-06-23,4799,4800,4800,4800,1024,4800
2009-06-24,4800,4801,4800,4801,1639,4801
2009-06-25,4800,4801,4801,4801,23,4801
2009-06-26,4801,4900,4900,4900,439,4900
2009-07-01,4900,4900,4900,4900,9588,4900
2009-07-02,4900,4900,4900,4900,779,4900
2009-07-03,4900,4902,4900,4900,331,4900
2009-07-06,4900,4950,4950,4950,80059,4950
2009-07-09,4950,4900,4800,4900,5090,4900
2009-07-10,4900,4800,4800,4800,1852,4800
2009-07-13,4800,4700,4700,4800,2515,4800
2009-07-14,4800,4750,4700,4750,8918,4750
2009-07-15,4750,4750,4720,4750,1923,4750
2009-07-17,4750,5000,4940,4940,1289,4940
2009-07-20,4940,4940,4940,4940,973,4940
2009-07-21,4940,4940,4940,4940,67,4940
2009-07-23,4940,4920,4750,4750,1323,4750
2009-07-24,4750,4750,4750,4750,3900,4750
2009-07-27,4750,4650,4600,4600,560,4600
2009-07-28,4600,4700,4600,4700,2384,4700
2009-07-29,4700,4700,4690,4690,1364,4690
2009-07-30,4690,4690,4690,4690,71,4690
2009-07-31,4690,4700,4700,4700,283,4700
2009-08-03,4700,4690,4680,4680,3119,4680
2009-08-04,4680,4740,4700,4740,4905,4740
