date,open,high,low,close,volume,adj_close
2009-06-03,210,210,196,200,103624,200
2009-06-04,200,193,176,190.07,517778,190.07
2009-06-05,190.07,200,189,190.81,90432,190.81
2009-06-08,190.81,209.5,191,198,139695,198
2009-06-09,198,202,196.1,196.1,175781,196.1
2009-06-10,205,206,200,201,246653,201
2009-06-11,201,200,197,198.83,417925,198.83
2009-06-12,198.83,196,196,196,23251,196
2009-06-15,196,197.01,197,197,91390,197
2009-06-16,197,200,197,200,66140,200
2009-06-17,200,200,199.5,199.95,68332,199.95
2009-06-18,199.95,195.5,195,195.5,30859,195.5
2009-06-19,195.5,196.5,196,196.5,59550,196.5
2009-06-22,196.5,198.5,198,198,28219,198
2009-06-23,198,197.9,197.9,197.9,4729,197.9
2009-06-25,197.9,195,195,195,4147,195
2009-06-26,195,195,195,195,63977,195
2009-06-30,195,196.8,195.01,196.5,61773,196.5
2009-07-01,196.5,190,190,190,43581,190
2009-07-02,190,209,200,202,739698,202
2009-07-03,210,211,200,202,499926,202
2009-07-06,202,200,195,200,48646,200
2009-07-07,202.01,208,202.01,207,634940,207
2009-07-08,207,210,202,204,219661,204
2009-07-09,204,200,200,200,88045,200
2009-07-10,200,200,198.5,199,84927,199
2009-07-13,198.5,198.5,195,195,142505,195
2009-07-14,195,195,195,195,20395,195
2009-07-15,195,195,195,195,4450,195
2009-07-20,195,196,194.5,195.48,24685,195.48
2009-07-21,195.48,196,195.99,195.99,47416,195.99
2009-07-23,195.99,196,191,196,27004,196
2009-07-24,196,196,189.99,190.19,87346,190.19
2009-07-27,190.19,190,190,190,37197,190
2009-07-28,190,199.5,193.99,199,157255,199
2009-07-29,199,204,199,202.43,289312,202.43
2009-07-30,202.43,203,200,200,159156,200
2009-07-31,200,200,200,200,400,200
2009-08-03,200,191,190,191,7500,191
2009-08-04,191,200,195,197.57,17188,197.57
2009-08-05,197.57,196,196,196,23146,196
2009-08-06,200,200,195,195,30717,195
2009-08-07,195,190,175,189,232331,189
2009-08-10,189,190,185,189,64753,189
2009-08-11,189,185,183,185,58183,185
2009-08-12,195,195,182,183,211670,183
2009-08-13,183,185,183,183.5,98688,183.5
2009-08-14,183.5,183,181.01,182,94925,182
2009-08-17,182,182.01,182,182,37145,182
2009-08-18,182,181.01,179,179,21055,179
2009-08-19,179,180,177,177,50640,177
2009-08-20,177,184,179,181.1,92749,181.1
2009-08-21,181.1,184,182,184,95208,184
2009-08-24,184,185,178,180,87922,180
2009-08-25,180,180,180,180,28842,180
2009-08-26,180,179.99,179,179.99,31170,179.99
2009-08-27,179.99,176.2,176.2,176.2,4100,176.2
2009-08-28,176.2,177.2,175,176,174138,176
2009-08-31,176,175,175,175,126224,175
2009-09-01,175,175,170,170,3521137,170
2009-09-02,170,170,169,169,60279,169
2009-09-03,169,173,160.1,172.7,180517,172.7
2009-09-04,172.7,173,172.9,173,130779,173
2009-09-07,180,180,175,175,3503000,175
2009-09-08,175,180,173,175,441731,175
2009-09-09,175,175,175,175,546165,175
2009-09-10,175,175,174,175,5352424,175
2009-09-11,175,175,174,174.71,495504,174.71
2009-09-14,174.71,175,175,175,214175,175
2009-09-15,175,175.5,174,175.1,631202,175.1
2009-09-16,175.1,179.8,170.01,170.01,169550,170.01
2009-09-17,170.01,170.01,170.01,170.01,1000,170.01
2009-09-21,170.01,175,174,174,7500,174
2009-09-22,174,173,173,173,28700,173
2009-09-23,173,172.9,170,172.9,113017,172.9
2009-09-24,172.9,176,170,176,66915,176
2009-09-25,176,170,170,170,159469,170
2009-09-28,170,175,171.1,174.09,32673,174.09
2009-09-29,174.3,173.99,170,170,21797,170
2009-09-30,170,183,170,178.14,4365036,178.14
2009-10-01,178.14,183,176,178.63,2511218,178.63
2009-10-02,178,180,175.5,175.5,851190,175.5
2009-10-05,175.5,180,177,177,126624,177
2009-10-06,177,178,177,178,46205,178
2009-10-07,180,180,170,176,300588,176
2009-10-08,176,175.8,169.99,170,419819,170
2009-10-09,170,172,170.5,170.5,49591,170.5
2009-10-13,170.5,170.5,168.9,168.9,48234,168.9
2009-10-14,168.9,170,168.89,168.89,168696,168.89
2009-10-15,168.89,167.99,167,167.5,147332,167.5
2009-10-16,167.5,171,167.5,171,192228,171
2009-10-19,171,173,171.1,173,7500,173
2009-10-20,173,174,173,173,200974,173
2009-10-21,173,176,173,176,124221,176
2009-10-22,176,176,175.5,176,209113,176
2009-10-23,176,178,177,178,255216,178
2009-10-26,178,177,175,176,152535,176
2009-10-27,176,175.2,175.1,175.1,125350,175.1
2009-10-28,175.1,171.5,170,170.93,37958,170.93
2009-10-29,170.93,172,171,171,49623,171
2009-11-02,171,175,170,170,24676,170
2009-11-03,170,168,166,166,44832,166
2009-11-04,166,166.5,164,166,180179,166
2009-11-05,166,166,164,166,62038,166
2009-11-06,166,166,164.5,164.5,88410,164.5
2009-11-09,164,164,163,164,47472,164
2009-11-10,164,163,163,163,29620,163
2009-11-11,163,160,160,160,85119,160
2009-11-12,160,160,155,160,57500,160
2009-11-16,160,155.01,155,155.01,38687,155.01
2009-11-17,155.01,155.5,155,155,46098,155
2009-11-18,155,155,150,150,71521,150
2009-11-19,150,150,140,143,146569,143
2009-11-20,143,145.1,145,145,23637,145
2009-11-23,145,145,145,145,13803,145
2009-11-25,145,145,143,144.67,89413,144.67
2009-11-26,144.67,143.8,140,140,81810,140
2009-11-27,140,145,140,145,10658,145
2009-11-30,145,150,144.9,150,90362,150
2009-12-01,150,150,150,150,1250,150
2009-12-02,150,148,140,140,51044,140
2009-12-03,140,142,130,130,182078,130
2009-12-04,130,130,129.99,130,118667,130
2009-12-07,130,130,130,130,8018,130
2009-12-09,130,130,125,130,77654,130
2009-12-10,130,130,130,130,8424,130
2009-12-11,130,135,130,134,287810,134
2009-12-14,134,133.5,133.5,133.5,9146,133.5
2009-12-15,133.5,131,131,131,13207,131
2009-12-16,131,140,131,140,106957,140
2009-12-17,140,143,141,142.5,520028,142.5
2009-12-18,142.5,143,142.5,143,212729,143
2009-12-21,143,145,144,144.5,89554,144.5
2009-12-22,144.5,145,143.5,143.45,164554,143.45
2009-12-23,143.45,145,143,145,206285,145
2009-12-24,145,145,144,145,48000,145
2009-12-28,145,145,145,145,52184,145
2009-12-29,145,145,140,143.66,123348,143.66
2009-12-30,143.66,144.99,143,143,1606935,143
2010-01-04,143,146.2,144,146.2,1968983,146.2
2010-01-05,146.2,157,146.2,157,881205,157
2010-01-06,157,169,157,166,966640,166
2010-01-07,167,176,167,174.99,679099,174.99
2010-01-08,174.99,186.1,181,184,1067467,184
2010-01-11,184,188,180,180,718976,180
2010-01-12,180,180,175,175.2,387792,175.2
2010-01-13,175.2,178,175.5,178,117331,178
2010-01-14,178,178,176,177.9,85237,177.9
2010-01-15,177.9,177.5,177.5,177.5,28169,177.5
2010-01-18,177.5,177,174,176,84222,176
2010-01-19,176,185,175,180,673876,180
2010-01-20,185,189,184.99,188.99,1153812,188.99
2010-01-21,187.9,187.9,180,180,509130,180
2010-01-22,180,180,180,180,164989,180
2010-01-25,180,182,180,182,32082,182
2010-01-26,182,182,180,182,51982,182
2010-01-27,182,182,181,182,166764,182
2010-01-28,182,180,178,180,172611,180
2010-01-29,180,180,178,180,138692,180
2010-02-01,180,180,179,179,56023,179
2010-02-02,179,180.5,180,180,111411,180
2010-02-03,180,180,178,178,66799,178
