date,open,high,low,close,volume,adj_close
2009-06-08,2.91,2.91,2.91,2.91,862,2.91
2009-06-12,2.91,2.91,2.91,2.91,20550,2.91
2009-08-24,2.91,2.91,2.91,2.91,862,2.91
2009-11-23,2.91,2.91,2.91,2.91,51282,2.91
2010-01-15,2.91,2.91,2.91,2.91,5300,2.91
2010-04-09,2.91,2.91,2.91,2.91,250000,2.91
2010-05-03,2.91,2.91,2.91,2.91,130305,2.91
2010-05-07,2.91,2,2,2,250000,2
2010-06-01,2,2,2,2,19230,2
2010-09-01,2,2,2,2,25000,2
2010-09-06,2,2,2,2,4660,2
2010-09-09,2,2.01,2.01,2.01,1550000,2.01
2010-09-13,2.01,2.01,2.01,2.01,25000,2.01
2010-09-28,2.01,2.01,2.01,2.01,40000,2.01
2010-10-13,2.01,2.01,2.01,2.01,38461,2.01
2010-10-25,2.01,2.01,2.01,2.01,290993,2.01
2010-10-27,2.01,2.01,2.01,2.01,24264,2.01
2010-11-04,2.01,2.01,2.01,2.01,38961,2.01
2010-11-22,2.01,2.01,2.01,2.01,3606,2.01
2010-12-21,2.01,2.01,2.01,2.01,53000,2.01
2011-02-22,2.01,2.01,2.01,2.01,12666,2.01
2011-07-01,2.01,2.01,2.01,2.01,282690,2.01
2011-07-14,2.01,2.01,2.01,2.01,11800,2.01
2011-08-24,2.01,1,1,1,578395,1
2011-09-02,1,1,1,1,300000,1
2011-12-28,1,1,1,1,7150,1
2012-02-09,1,1,1,1,5000,1
2012-03-15,1,1,1,1,56000,1
2012-03-16,1,1,1,1,7142,1
2012-03-29,1,1,1,1,862,1
2012-05-18,1,1,1,1,97913,1
2012-06-12,1,1,1,1,5380,1
2012-06-20,1,1,1,1,40000,1
2012-06-28,1,1,1,1,11800,1
2012-07-10,1,1,1,1,299962,1
2012-07-18,1,1,1,1,552000,1
2012-07-31,1,1,1,1,64935,1
2012-08-09,1,1,1,1,903000,1
2012-08-16,1,1,1,1,146971,1
2012-10-26,1,1,1,1,12000,1
2012-12-07,1,1,1,1,123000,1
2013-02-01,1,1,1,1,28843,1
2013-02-19,1,1,1,1,38831,1
2013-03-19,1,1,1,1,6000,1
2013-03-20,1,1,1,1,23529,1
2013-04-30,1,1,1,1,17400,1
2013-05-31,1,1,1,1,7692,1
2013-09-12,1,1,1,1,966706,1
2013-10-08,1,1,1,1,35500,1
2013-10-24,1,1,1,1,25000,1
2013-12-10,1,1.602,1.602,1.602,302245,1.602
2014-01-14,1.602,1.7,1.7,1.7,651108,1.7
2014-02-25,1.7,1.7,1.7,1.7,22433,1.7
2014-04-22,1.7,2,2,2,3770576,2
2014-04-24,2,2,2,2,56240,2
2014-05-13,2,2,2,2,2666,2
2014-06-12,2,2,2,2,5450,2
2014-07-09,2,2,2,2,51282,2
2014-08-19,2,2,2,2,8200,2
2014-08-21,2,2,2,2,127662,2
2014-08-22,2,2,2,2,130000,2
2014-08-27,2,2,2,2,800,2
2014-08-28,2,2,2,2,799200,2
2014-09-11,2,2,2,2,20000,2
2015-01-08,2,2,2,2,5000,2
2015-03-06,2,2,2,2,100000,2
2015-03-20,2,2,2,2,33937,2
2015-03-30,2,2,2,2,12500,2
2015-05-28,2,2,2,2,31000,2
2015-06-01,2,2,2,2,27272,2
2015-06-19,2,2,2,2,2800,2
2015-07-01,2,2,2,2,1000000,2
2015-07-06,2,2,2,2,100000,2
2015-07-10,2,2,2,2,42600,2
2015-08-10,2,2,2,2,128205,2
2015-08-11,2,2,2,2,25641,2
2015-08-21,2,2,2,2,582518,2
2015-09-02,2,2,2,2,23529,2
2015-10-09,2,2,2,2,25974,2
2015-10-14,2,2,2,2,25974,2
2015-10-16,2,2,2,2,63246,2
2015-12-03,2,2,2,2,11764,2
2016-05-26,2,4,4,4,400000,4
2016-05-27,4,4,4,4,4000,4
2016-05-31,4,4.75,4.37,4.75,584478,4.75
2016-06-01,4.75,5,5,5,319900,5
2016-06-02,5,5,5,5,208832,5
2016-06-07,5,5,5,5,110000,5
2016-06-08,5,5,5,5,100000,5
2016-06-16,5,5,5,5,50000,5
2016-06-20,5,5,5,5,94550,5
2016-06-22,5,5,5,5,139488,5
2016-07-06,5,5,5,5,10512,5
2016-07-14,5,5,5,5,43478,5
2016-08-11,5,5,5,5,28271,5
2016-08-18,5,5,5,5,2000,5
2016-09-13,5,5,5,5,60000,5
2016-11-11,5,5,5,5,46437,5
2016-12-29,5,5,5,5,294400,5
2017-01-09,5,5,5,5,20000,5
2017-01-10,5,5,5,5,177383,5
2017-03-09,5,4.99,4.99,4.99,208000,4.99
2017-03-14,4.99,4.99,4.99,4.99,832,4.99
2017-04-12,4.99,4.99,4.99,4.99,9090,4.99
2017-04-28,4.99,4.99,4.99,4.99,70617380,4.99
2017-05-09,4.99,5.001,5.001,5.001,167361,5.001
2017-05-31,5.001,5.001,5.001,5.001,6350,5.001
2017-06-12,5.001,5.001,5.001,5.001,25000,5.001
2017-06-20,5.001,5,5,5.001,32916130,5.001
2017-07-21,5.001,5.6,5.5,5.6,244642,5.6
2017-08-02,5.6,5.6,5.6,5.6,60880,5.6
2017-08-04,5.6,5.6,5.6,5.6,390512,5.6
2017-08-11,5.6,5.6,5.6,5.6,22433,5.6
2017-08-18,5.6,6,6,6,130356,6
2017-08-25,6,6,6,6,19200,6
2017-09-06,6,6,6,6,8450,6
2017-09-20,6,6,6,6,210000,6
2017-09-29,6,6,6,6,10000,6
2017-10-04,6,6,6,6,10000,6
2017-10-06,6,6,6,6,64102,6
