date,open,high,low,close,volume,adj_close
2009-08-12,300,358,358,358,82729,358
2009-08-14,358,360,360,360,82729,360
2010-07-05,360,360,360,360,25985,360
2010-10-26,360,370,370,370,20447,370
2011-01-17,370,370,370,370,1,370
2011-04-26,370,450,450,450,18631,450
2012-11-20,450,450,450,450,26480,450
2012-12-03,450,492,491,492,26480,492
2013-02-15,492,492,492,492,913,492
2013-03-26,492,495,495,495,6781,495
2013-07-17,495,550,550,550,6781,550
2013-07-22,550,700,700,700,700,700
2013-08-02,700,700,700,700,1765,700
2013-10-15,700,800,800,800,747,800
2013-10-18,800,900,900,900,540,900
2013-10-28,900,900,900,900,460,900
2013-12-09,900,1300,1300,1300,500,1300
2014-02-18,1300,1300,1300,1300,191,1300
2014-04-02,1300,1250,1250,1250,12000,1250
2014-05-16,1250,1150,1150,1150,6444,1150
2014-07-28,1150,1250,1250,1250,4000,1250
2014-08-13,1250,1250,1250,1250,838,1250
2014-12-02,1250,1250,1250,1250,191,1250
2015-03-18,1250,1250,1250,1250,300,1250
2015-04-20,1250,1300,1300,1300,540,1300
2015-07-14,1300,1350,1350,1350,5492,1350
2015-09-16,1350,1350,1350,1350,1095,1350
2015-12-21,1350,1355,1355,1355,69000,1355
2016-01-13,1355,1355,1355,1355,3700,1355
2016-02-02,1355,1400,1400,1400,1000,1400
2016-05-17,1400,1400,1400,1400,500,1400
2016-05-18,1400,1400,1400,1400,900,1400
2016-08-18,1400,1400,1400,1400,427,1400
2016-09-09,1400,1400,1400,1400,4340,1400
2016-09-30,1400,1400,1400,1400,1426,1400
2016-10-14,1400,1430,1430,1430,1268,1430
2016-10-17,1430,1430,1430,1430,1639,1430
2017-01-24,1430,1430,1430,1430,2360,1430
2017-03-03,1430,1430,1430,1430,800,1430
2017-04-25,1430,1430,1430,1430,2200,1430
2017-06-21,1430,1430,1430,1430,908,1430
2017-07-03,1430,1430,1430,1430,1278,1430
2017-08-04,1430,1430,1430,1430,26991,1430
2017-10-17,1430,1430,1430,1430,35818,1430
2017-10-26,1430,1430,1430,1430,6150,1430
2017-11-08,1430,1430,1430,1430,4777,1430
2017-11-24,1430,1430,1430,1430,4777,1430
2017-12-11,1430,1430,1430,1430,5004,1430
2018-01-02,1430,1430,1430,1430,3713,1430
2018-01-15,1430,1430,1430,1430,5500,1430
2018-02-15,1430,1440,1440,1440,2416,1440
2018-02-19,1440,1440,1440,1440,8719,1440
2018-02-20,1440,1440,1440,1440,500,1440
2018-02-28,1440,1440,1440,1440,1125,1440
2018-04-02,1440,1440,1440,1440,3500,1440
2018-05-22,1440,1440,1440,1440,3500,1440
2018-05-29,1440,1440,1440,1440,3500,1440
2018-06-19,1440,1440,1440,1440,2000,1440
2018-07-05,1440,1440,1440,1440,2800,1440
2018-07-12,1440,1440,1440,1440,2801,1440
2018-07-27,1440,1444,1444,1444,3000,1444
2018-08-02,1444,1444,1444,1444,2800,1444
2018-08-27,1444,1444,1444,1444,12519,1444
2018-08-30,1444,1444,1444,1444,12519,1444
2018-09-04,1444,1444,1444,1444,2100,1444
2018-10-01,1444,1444,1444,1444,2800,1444
2018-11-06,1444,1440,1440,1440,1500,1440
2018-11-16,1440,1444,1444,1444,840,1444
2018-12-06,1444,1440,1440,1440,2416,1440
2019-01-18,1440,1440,1440,1440,3475,1440
2019-03-27,1440,1450,1450,1450,2100,1450
2019-03-29,1450,1450,1450,1450,2100,1450
2019-05-03,1450,1450,1450,1450,2760,1450
2019-08-27,1450,1458,1458,1458,2536,1458
2019-10-22,1458,1458,1458,1458,0,1458
2019-11-11,1458,1460,1460,1458,2537,1458
2019-11-15,1458,1460,1460,1458,2537,1458
2019-11-19,1458,1458,1458,1458,0,1458
2019-11-20,1458,1458,1458,1458,0,1458
2019-11-21,1458,1458,1458,1458,0,1458
2019-11-23,1458,1458,1458,1458,0,1458
2019-12-20,1458,1458,1458,1458,0,1458
2020-04-09,1458,1458,1458,1458,0,1458
2020-04-18,1458,1458,1458,1458,0,1458
