date,open,high,low,close,volume,adj_close
2009-06-19,540,550,550,550,3500,550
2009-07-22,550,565,565,565,3300,565
2009-11-10,565,580,580,580,2300,580
2009-11-13,580,580,580,580,4800,580
2009-12-11,580,600,600,600,3520,600
2010-01-19,600,614.5,614.5,614.5,4130,614.5
2010-02-19,614.5,625,625,625,1230,625
2010-03-19,625,640,640,640,1200,640
2010-03-24,640,670,670,670,2430,670
2010-04-21,670,682.5,682.5,682.5,1800,682.5
2010-05-27,682.5,671,671,671,2320,671
2010-06-21,671,710,710,710,830,710
2010-07-27,710,735,735,735,1575,735
2010-08-20,735,760,760,760,1575,760
2010-10-28,760,800,800,800,3500,800
2011-05-16,800,840,840,840,1000,840
2011-05-17,840,840,840,840,400,840
2011-11-30,840,890,890,890,5000,890
2011-12-13,890,930,930,930,3000,930
2011-12-26,930,980,980,980,2110,980
2014-12-05,980,980,980,980,806,980
2015-08-21,980,1200,1200,1200,596,1200
2016-06-23,1200,1200,1200,1200,90,1200
2016-06-24,1200,1200,1200,1200,660,1200
2016-12-20,1200,1200,1200,1200,150,1200
2017-05-23,1200,1200,1200,1200,865,1200
2019-05-09,1200,1210.5,1210.5,1210.5,100,1210.5
2019-10-22,1210.5,1210.5,1210.5,1210.5,0,1210.5
2019-11-19,1210.5,1210.5,1210.5,1210.5,0,1210.5
