date,open,high,low,close,volume,adj_close
2009-06-17,39,39,39,39,12490,39
2009-08-03,39,38,38,38,32950,38
2009-08-28,38,38,38,38,3814,38
2009-09-15,38,38,38,38,982,38
2009-10-22,38,38,38,38,7131,38
2009-12-09,38,38,38,38,29,38
2010-01-25,38,38,38,38,506,38
2010-02-22,38,20,20,20,36594,20
2010-03-01,20,20,20,20,2579,20
2010-03-09,20,20,20,20,1,20
2010-06-23,20,20,20,20,984,20
2010-07-14,20,20,20,20,22000,20
2010-07-27,20,20,20,20,883,20
2010-08-03,20,20,20,20,822,20
2010-09-07,20,20,20,20,247,20
2010-10-04,20,20,20,20,11,20
2010-11-26,20,20,20,20,706,20
2010-12-29,20,20,20,20,242,20
2011-01-05,20,20,20,20,14594,20
2011-02-04,20,20,20,20,23088,20
2011-02-18,20,20,20,20,4054,20
2011-02-21,20,20,20,20,20000,20
2011-02-22,20,17,17,17,30000,17
2011-02-24,17,17,17,17,6472,17
2011-03-03,17,17,17,17,135821,17
2011-03-10,17,17,17,17,6393,17
2011-04-07,17,17,17,17,1014,17
2011-04-20,17,17,17,17,10000,17
2011-08-26,17,17,17,17,2348,17
2011-09-06,17,17,17,17,167,17
2011-11-03,17,17,17,17,75461,17
2011-11-07,17,17,17,17,11500,17
2011-12-14,17,17,17,17,3812,17
2011-12-30,17,17,17,17,267,17
2012-03-06,17,17,17,17,32531,17
2012-03-14,17,17,17,17,9000,17
2012-03-22,17,17,17,17,1003,17
2012-03-29,17,17,17,17,8000,17
2012-04-03,17,17,17,17,3000,17
2012-04-09,17,10.9,10.9,10.9,475065,10.9
2012-04-17,10.9,10.9,10.9,10.9,77,10.9
2012-05-30,10.9,10.9,10.9,10.9,7500,10.9
2012-06-28,10.9,10.9,10.9,10.9,6225,10.9
2012-07-20,10.9,10.9,10.9,10.9,787,10.9
2012-08-02,10.9,10.9,10.9,10.9,6163,10.9
2012-11-27,10.9,10.9,10.9,10.9,7748,10.9
2013-03-01,10.9,10.9,10.9,10.9,100,10.9
2013-03-05,10.9,10.9,10.9,10.9,673,10.9
2013-04-11,10.9,10.9,10.9,10.9,23136,10.9
2013-04-17,10.9,9.99,9.99,9.99,162645,9.99
2013-05-08,9.99,9.99,9.99,9.99,12478,9.99
2013-07-10,9.99,9.99,9.99,9.99,3051,9.99
2013-09-25,9.99,8.9,8.9,8.9,100000,8.9
2013-11-28,8.9,8.9,8.9,8.9,7500,8.9
2013-12-03,8.9,8.9,8.9,8.9,280,8.9
2014-01-20,8.9,6.2,6.2,6.2,375065,6.2
2014-02-07,6.2,6.2,6.2,6.2,333,6.2
2014-02-11,6.2,6.2,6.2,6.2,102293,6.2
2014-04-29,6.2,6.2,6.2,6.2,10504,6.2
2014-05-08,6.2,6.2,6.2,6.2,314,6.2
2014-05-26,6.2,6.2,6.2,6.2,9610,6.2
2014-07-09,6.2,6.2,6.2,6.2,446,6.2
2014-07-30,6.2,6.2,6.2,6.2,3092,6.2
2014-07-31,6.2,6.2,6.2,6.2,11979,6.2
2014-08-04,6.2,6.09,6.09,6.09,216347,6.09
2014-10-07,6.09,6.09,6.09,6.09,2980,6.09
2014-10-17,6.09,10,10,10,216347,10
2014-10-20,10,10,10,10,216347,10
2014-10-24,10,10,10,10,9610,10
2014-11-07,10,10,10,10,5542,10
2014-11-24,10,10,10,10,2000,10
2015-01-07,10,10,10,10,21,10
2015-02-18,10,10,10,10,527,10
2015-04-01,10,10,10,10,542,10
2015-04-06,10,10,10,10,2348,10
2015-04-10,10,10,10,10,17652,10
2015-10-20,10,7,7,7,98695,7
2016-01-18,7,7,7,7,866,7
2016-02-11,7,7,7,7,335,7
2016-03-16,7,8.4,8,8.4,145831,8.4
2016-05-24,8.4,8.4,8.4,8.4,2297,8.4
2016-08-26,8.4,8.4,8.4,8.4,64124,8.4
2017-03-20,8.4,8.4,8.4,8.4,38250,8.4
2017-04-05,8.4,8.4,8.4,8.4,41898,8.4
2017-05-04,8.4,8.4,8.4,8.4,762,8.4
2017-05-12,8.4,8.4,8.4,8.4,1326,8.4
