date,open,high,low,close,volume,adj_close
2009-06-15,2.2,2.2,2.2,2.2,12970,2.2
2009-07-03,2.2,2.2,2.2,2.2,6870,2.2
2009-07-15,2.2,2.2,2.2,2.2,9765,2.2
2009-08-03,2.2,2.2,2.2,2.2,356660,2.2
2009-08-05,2.2,2.2,2.2,2.2,43490,2.2
2009-08-10,2.2,2.2,2.2,2.2,27740,2.2
2009-08-13,2.2,2.2,2.2,2.2,9500,2.2
2009-08-25,2.2,2,2,2,5008050,2
2009-08-31,2,2,2,2,2000,2
2009-09-03,2,2,2,2,18000,2
2009-09-04,2,2,2,2,100000,2
2009-09-07,2,2.5,2.5,2.5,2051666,2.5
2009-09-11,2.5,2.5,2.5,2.5,975997,2.5
2009-09-21,2.5,2.5,2.5,2.5,85000,2.5
2009-09-22,2.5,2,2,2,1010000,2
2009-09-24,2,2,2,2,70,2
2009-10-09,2,2,2,2,739205,2
2009-10-15,2,2,2,2,172370,2
2009-10-28,2,2,2,2,300000,2
2010-01-25,2,2,2,2,34000,2
2010-04-22,2,2,2,2,9586,2
2010-04-30,2,2,2,2,2091,2
2010-05-10,2,2,2,2,3980,2
2010-06-02,2,2,2,2,138530,2
2010-06-22,2,2,2,2,10325,2
2010-06-24,2,2,2,2,1220,2
2010-07-19,2,2,2,2,2100000,2
2010-10-01,2,2,2,2,374624,2
2010-10-08,2,2,2,2,2100000,2
2010-10-14,2,2,2,2,14991,2
2010-10-20,2,2,2,2,3010,2
2010-10-21,2,2,2,2,100000,2
2010-10-26,2,2,2,2,87312,2
2010-11-02,2,2,2,2,10325,2
2010-11-04,2,2,2,2,5414,2
2010-11-09,2,2,2,2,16500,2
2010-12-01,2,2,2,2,1670,2
2010-12-23,2,2,2,2,20250,2
2010-12-29,2,2,2,2,4500,2
2011-01-10,2,1.79,1.79,1.79,590000,1.79
2011-01-18,1.79,1.79,1.79,1.79,463604,1.79
2011-01-25,1.79,1.79,1.79,1.79,40000,1.79
2011-02-23,1.79,1.79,1.79,1.79,5900,1.79
2011-03-02,1.79,1.79,1.79,1.79,2960,1.79
2011-03-08,1.79,1.79,1.79,1.79,10000,1.79
2011-03-23,1.79,1.79,1.79,1.79,6809,1.79
2011-03-24,1.79,1.81,1.81,1.79,321359,1.79
2011-04-19,1.79,1.79,1.79,1.79,6010,1.79
2011-05-05,1.79,1.79,1.79,1.79,340,1.79
2011-05-13,1.79,1.79,1.79,1.79,86260,1.79
2011-06-02,1.79,1.79,1.79,1.79,990,1.79
2011-06-14,1.79,1.79,1.79,1.79,102530,1.79
2011-06-22,1.79,1.79,1.79,1.79,87500,1.79
2011-08-30,1.79,1.79,1.79,1.79,3950,1.79
2011-09-01,1.79,1.79,1.79,1.79,780,1.79
2011-10-13,1.79,1.79,1.79,1.79,8330,1.79
2011-10-28,1.79,1.79,1.79,1.79,8130,1.79
2012-01-06,1.79,2,2,2,400000,2
2012-01-09,2,2,2,2,10325,2
2012-03-06,2,2,2,2,7420,2
2012-04-12,2,2,2,2,3413,2
2012-04-19,2,2,2,2,2925000,2
2012-04-23,2,2,2,2,21840,2
2012-04-27,2,2,2,2,6640,2
2012-05-10,2,2,2,2,134177,2
2012-05-11,2,2,2,2,2720,2
2012-05-25,2,2,2,2,16713,2
2012-06-01,2,2,2,2,262067,2
2012-06-05,2,2,2,2,346607,2
2012-06-14,2,2,2,2,3220,2
2012-07-04,2,2,2,2,3413,2
2012-07-12,2,2,2,2,8482,2
2012-07-20,2,2,2,2,106447,2
2012-07-31,2,2,2,2,8000,2
2012-08-02,2,2,2,2,5250,2
2012-09-06,2,2,2,2,6844,2
2012-09-12,2,2,2,2,30000,2
2012-11-20,2,2,2,2,1497,2
2012-11-22,2,2,2,2,500000,2
2012-11-28,2,2,2,2,10920,2
2012-12-06,2,2,2,2,10920,2
2012-12-11,2,2,2,2,10325,2
2013-02-20,2,2,2,2,472298,2
2013-03-18,2,2,2,2,29490,2
2013-04-03,2,2,2,2,1790,2
2013-04-29,2,2,2,2,17500,2
2013-05-13,2,2,2,2,50000,2
2013-05-22,2,2,2,2,580,2
2013-05-23,2,2,2,2,6807,2
2013-05-24,2,2,2,2,555,2
2013-05-27,2,2,2,2,10100,2
2013-07-05,2,2,2,2,190,2
2013-08-02,2,2,2,2,12348,2
2013-10-02,2,2,2,2,5696,2
2013-10-03,2,2,2,2,14304,2
2013-10-04,2,2,2,2,5348,2
2013-10-28,2,2,2,2,30920,2
2013-12-04,2,2,2,2,147,2
2013-12-05,2,2,2,2,202215,2
2014-01-08,2,2,2,2,16210,2
2014-02-06,2,2,2,2,220,2
2014-03-17,2,2,2,2,20480,2
2014-03-26,2,2,2,2,1495923,2
2014-04-08,2,2,2,2,2500,2
2014-06-24,2,1.95,1.95,2,472298,2
2014-06-27,2,2,2,2,134177,2
2014-07-01,2,2,2,2,1111,2
2014-07-15,2,2,2,2,24711,2
2014-07-31,2,2,2,2,100000,2
2014-08-12,2,2,2,2,132809,2
2014-08-14,2,2,2,2,4623000,2
2014-09-08,2,2,2,2,620,2
2014-09-24,2,2,2,2,31800,2
2014-10-06,2,2,2,2,10582,2
2014-10-08,2,2,2,2,25368,2
2014-10-09,2,2,2,2,33835,2
2014-10-13,2,2,2,2,11381,2
2014-10-14,2,2,2,2,17892,2
2014-10-15,2,2,2,2,5409,2
2014-10-16,2,2,2,2,31122,2
2014-10-20,2,2,2,2,21957,2
2014-10-24,2,2,2,2,28706,2
2014-10-28,2,2,2,2,106732,2
2014-10-29,2,2,2,2,23122,2
2014-10-30,2,2,2,2,86070,2
2014-11-04,2,2,2,2,9332,2
2014-11-07,2,2,2,2,38654,2
2014-11-14,2,2,2,2,148691,2
2014-11-18,2,2,2,2,74504,2
2014-11-19,2,2,2,2,38922,2
2014-11-20,2,2,2,2,163994,2
2014-11-24,2,2,2,2,103739,2
2014-11-27,2,2,2,2,470958,2
2014-12-03,2,2,2,2,5988,2
2014-12-05,2,2,2,2,18455,2
2014-12-17,2,2,2,2,6224,2
2014-12-18,2,2,2,2,10187,2
2014-12-26,2,2,2,2,20374,2
2014-12-29,2,2,2,2,75370,2
2015-01-05,2,2,2,2,37540,2
2015-01-07,2,2,2,2,4824,2
2015-01-09,2,2,2,2,15,2
2015-01-13,2,2,2,2,9077,2
2015-01-16,2,2,2,2,17364,2
2015-01-23,2,2,2,2,17536,2
2015-01-30,2,2,2,2,3795,2
2015-02-03,2,2,2,2,19710,2
2015-02-13,2,2,2,2,69186,2
2015-02-19,2,2,2,2,42915,2
2015-02-26,2,2,2,2,17521,2
2015-03-02,2,2,2,2,26063,2
2015-03-03,2,2,2,2,4533,2
2015-03-05,2,2,2,2,65014,2
2015-03-06,2,2,2,2,6613,2
2015-03-11,2,2,2,2,140630,2
2015-03-17,2,2,2,2,54588,2
2015-03-18,2,2,2,2,77059,2
2015-03-25,2,2,2,2,64325,2
2015-03-27,2,2,2,2,62099,2
2015-03-31,2,2,2,2,13910,2
2015-04-01,2,2,2,2,10742,2
2015-04-02,2,2.66,2.66,2.66,200534,2.66
2015-04-06,2.66,2.66,2.66,2.66,16820,2.66
2015-04-08,2.66,2.66,2.66,2.66,16800,2.66
2015-04-16,2.66,2.66,2.66,2.66,5187,2.66
2015-04-17,2.66,2.66,2.66,2.66,16910,2.66
2015-04-20,2.66,2.66,2.66,2.66,41,2.66
2015-04-22,2.66,2.66,2.66,2.66,4990,2.66
2015-04-24,2.66,3.61,3.61,3.61,148730,3.61
2015-05-04,3.61,3.61,3.61,3.61,92177,3.61
2015-05-13,3.61,3.61,3.61,3.61,60000,3.61
2015-05-20,3.61,3.5,3.5,3.5,307106,3.5
2015-05-25,3.5,3.5,3.5,3.5,53952,3.5
2015-05-26,3.5,3.5,3.5,3.5,31000,3.5
2015-05-27,3.5,3.5,3.5,3.5,4201,3.5
2015-06-02,3.5,3.5,3.5,3.5,320000,3.5
2015-06-03,3.5,3.5,3.5,3.5,95752,3.5
2015-06-08,3.5,3.5,3.5,3.5,100000,3.5
2015-06-12,3.5,3.5,3.5,3.5,1097,3.5
2015-06-17,3.5,3.5,3.5,3.5,40270,3.5
2015-06-18,3.5,3.5,3.5,3.5,14609,3.5
2015-06-23,3.5,3.5,3.5,3.5,47183,3.5
2015-06-26,3.5,3.5,3.5,3.5,31702,3.5
2015-07-01,3.5,3.5,3.5,3.5,2005,3.5
2015-07-21,3.5,3.5,3.5,3.5,19961,3.5
2015-07-22,3.5,3.5,3.5,3.5,46894,3.5
2015-07-27,3.5,3.5,3.5,3.5,2228,3.5
2015-07-30,3.5,3.5,3.5,3.5,2493,3.5
2015-08-03,3.5,3.5,3.5,3.5,2592,3.5
2015-08-04,3.5,3.5,3.5,3.5,132370,3.5
2015-08-05,3.5,3.5,3.5,3.5,53490,3.5
2015-08-06,3.5,3.5,3.5,3.5,33236,3.5
2015-08-12,3.5,3.5,3.5,3.5,10000,3.5
2015-08-14,3.5,3.5,3.5,3.5,1934,3.5
2015-08-17,3.5,3.5,3.5,3.5,43822,3.5
2015-08-18,3.5,3.5,3.5,3.5,7038,3.5
2015-08-19,3.5,3.5,3.5,3.5,23830,3.5
2015-08-25,3.5,3.5,3.5,3.5,27270,3.5
2015-08-26,3.5,3.5,3.5,3.5,160000,3.5
2015-09-02,3.5,3.5,3.5,3.5,3726,3.5
2015-09-03,3.5,3.5,3.5,3.5,6408,3.5
2015-09-07,3.5,3.5,3.5,3.5,8416,3.5
2015-09-08,3.5,3.5,3.5,3.5,159690,3.5
2015-09-21,3.5,3.5,3.5,3.5,19961,3.5
2015-09-28,3.5,3.5,3.5,3.5,9981,3.5
2015-10-06,3.5,3.5,3.5,3.5,52656,3.5
2015-10-07,3.5,3.5,3.5,3.5,6187,3.5
2015-10-19,3.5,3.5,3.5,3.5,14182,3.5
2015-10-28,3.5,3.5,3.5,3.5,45222,3.5
2015-11-02,3.5,3.5,3.5,3.5,7414,3.5
2015-11-05,3.5,3.51,3.51,3.51,277483,3.51
2015-11-06,3.51,3.51,3.51,3.51,159086,3.51
2015-11-17,3.51,3.51,3.51,3.51,135897,3.51
2015-12-16,3.51,3.51,3.51,3.51,65000,3.51
2015-12-22,3.51,3.51,3.51,3.51,35945,3.51
2016-01-06,3.51,3.51,3.51,3.51,100000,3.51
2016-01-13,3.51,3.51,3.51,3.51,1697,3.51
2016-01-21,3.51,3.51,3.51,3.51,2002,3.51
2016-01-27,3.51,3.51,3.51,3.51,11515,3.51
2016-02-11,3.51,3.51,3.51,3.51,15000,3.51
2016-02-19,3.51,3.51,3.51,3.51,1702,3.51
2016-02-22,3.51,3.51,3.51,3.51,32492,3.51
2016-03-15,3.51,3.51,3.51,3.51,62997,3.51
2016-03-16,3.51,3.52,3.52,3.52,308959,3.52
2016-03-31,3.52,3.52,3.52,3.52,83441,3.52
2016-04-06,3.52,3.52,3.52,3.52,1895,3.52
2016-05-02,3.52,3.52,3.52,3.52,541073,3.52
2016-05-03,3.52,3.65,3.65,3.65,590644,3.65
2016-05-04,3.65,3.65,3.65,3.65,28528,3.65
2016-05-05,3.65,3.65,3.65,3.65,213843,3.65
2016-05-10,3.65,3.65,3.65,3.65,82047,3.65
2016-05-13,3.65,3.65,3.65,3.65,62243,3.65
2016-05-16,3.65,3.65,3.65,3.65,15000,3.65
2016-05-23,3.65,3.65,3.65,3.65,1052,3.65
2016-05-25,3.65,3.65,3.65,3.65,5245,3.65
2016-05-27,3.65,3.8,3.8,3.8,412918,3.8
2016-05-30,3.8,3.8,3.8,3.8,16435,3.8
2016-06-03,3.8,3.81,3.81,3.81,407000,3.81
2016-06-07,3.81,3.81,3.81,3.81,24448,3.81
2016-06-08,3.81,3.7,3.7,3.7,184957,3.7
2016-06-10,3.7,3.7,3.7,3.7,71766,3.7
2016-06-17,3.7,3.7,3.7,3.7,19961,3.7
2016-06-28,3.7,3.7,3.7,3.7,9821,3.7
2016-06-29,3.7,3.8,3.8,3.8,200000,3.8
2016-06-30,3.8,3.8,3.8,3.8,73942,3.8
2016-07-05,3.8,3.8,3.8,3.8,681220,3.8
2016-07-06,3.8,3.66,3.66,3.66,448295,3.66
2016-07-12,3.66,3.66,3.66,3.66,27424,3.66
2016-07-14,3.66,3.66,3.66,3.66,8065,3.66
2016-07-19,3.66,3.66,3.66,3.66,49272,3.66
2016-07-22,3.66,3.66,3.66,3.66,551020,3.66
2016-07-26,3.66,3.66,3.66,3.66,189039,3.66
2016-07-28,3.66,3.66,3.66,3.66,1349,3.66
2016-07-29,3.66,3.66,3.66,3.66,16775,3.66
2016-08-02,3.66,3.67,3.66,3.67,616190,3.67
2016-08-04,3.67,3.67,3.67,3.67,21000,3.67
2016-08-09,3.67,3.67,3.67,3.67,7842,3.67
2016-08-17,3.67,3.67,3.67,3.67,19961,3.67
2016-08-18,3.67,3.67,3.67,3.67,17832,3.67
2016-08-23,3.67,3.67,3.67,3.67,26065,3.67
2016-09-02,3.67,3.67,3.67,3.67,26820,3.67
2016-09-07,3.67,3.67,3.67,3.67,15970,3.67
2016-09-08,3.67,3.67,3.67,3.67,21505,3.67
2016-09-30,3.67,3.67,3.67,3.67,3795,3.67
2016-10-04,3.67,3.67,3.67,3.67,19212,3.67
2016-10-13,3.67,3.67,3.67,3.67,36893,3.67
2016-10-14,3.67,3.67,3.67,3.67,131383,3.67
2016-10-17,3.67,3.67,3.67,3.67,1265,3.67
2016-10-21,3.67,3.67,3.67,3.67,42299,3.67
2016-10-24,3.67,3.67,3.67,3.67,14005,3.67
2016-10-25,3.67,3.67,3.67,3.67,56915,3.67
2016-10-26,3.67,3.67,3.67,3.67,100000,3.67
2016-11-04,3.67,3.67,3.67,3.67,35946,3.67
2016-11-07,3.67,3.67,3.67,3.67,43722,3.67
2016-11-10,3.67,3.52,3.52,3.52,1003340,3.52
2016-11-11,3.52,3.52,3.52,3.52,565925,3.52
2016-11-14,3.52,3.52,3.52,3.52,7128,3.52
2016-11-15,3.52,3.52,3.52,3.52,37543,3.52
2016-11-25,3.52,3.52,3.52,3.52,3759,3.52
2016-12-02,3.52,3.75,3.75,3.75,140539,3.75
2016-12-05,3.75,3.75,3.75,3.75,88956,3.75
2016-12-12,3.75,3.76,3.76,3.76,259347,3.76
2016-12-15,3.76,3.76,3.76,3.76,225,3.76
2016-12-28,3.76,3.76,3.76,3.76,7393,3.76
2017-01-09,3.76,4.1,4.1,4.1,278051,4.1
2017-01-18,4.1,4.1,4.1,4.1,59079,4.1
2017-01-19,4.1,4.1,4.1,4.1,6851,4.1
2017-01-25,4.1,4.1,4.1,4.1,24655,4.1
2017-02-07,4.1,4.1,4.1,4.1,7983,4.1
2017-02-09,4.1,4.1,4.1,4.1,2391,4.1
2017-02-13,4.1,4.1,4.1,4.1,2075,4.1
2017-02-15,4.1,4.1,4.1,4.1,40239,4.1
2017-02-20,4.1,4.1,4.1,4.1,17907,4.1
2017-02-28,4.1,4.1,4.1,4.1,4625,4.1
2017-03-07,4.1,4.1,4.1,4.1,14650,4.1
2017-03-16,4.1,4.1,4.1,4.1,160,4.1
2017-03-23,4.1,4.1,4.1,4.1,5030,4.1
2017-03-24,4.1,4.1,4.1,4.1,11000,4.1
2017-03-28,4.1,4.1,4.1,4.1,45173,4.1
2017-03-30,4.1,4.1,4.1,4.1,6954,4.1
2017-04-06,4.1,4.1,4.1,4.1,3423,4.1
2017-04-17,4.1,4.1,4.1,4.1,138046,4.1
2017-04-26,4.1,4.1,4.1,4.1,22676,4.1
2017-05-10,4.1,4.1,4.1,4.1,135945,4.1
2017-05-29,4.1,4.1,4.1,4.1,5228,4.1
2017-06-05,4.1,4.1,4.1,4.1,8827,4.1
2017-06-08,4.1,4.1,4.1,4.1,44497,4.1
2017-06-14,4.1,4.1,4.1,4.1,11744,4.1
2017-06-15,4.1,5,5,5,342279,5
2017-06-16,5,5,5,5,188000,5
2017-06-20,5,5,5,5,31980,5
2017-06-21,5,5,5,5,3272,5
2017-06-29,5,6,6,6,500000,6
2017-07-04,6,6,6,6,2828,6
2017-07-07,6,7,6.48,7,1274525,7
2017-07-10,7,7,7,7,56133,7
2017-07-12,7,7,7,7,135897,7
2017-07-14,7,7.35,7.35,7.35,105584,7.35
2017-07-18,7.35,7.35,7.35,7.35,5788,7.35
2017-07-21,7.35,7.35,7.35,7.35,121823,7.35
2017-07-25,7.35,7.01,7.01,7.01,181437,7.01
2017-07-27,7.01,7.01,7.01,7.01,10456,7.01
2017-07-28,7.01,8,7.7,8,191143,8
2017-07-31,8,8,8,8,10810,8
2017-08-10,8,8.01,8.01,8.01,80380,8.01
2017-08-11,8.01,8.95,8.5,8.95,182092,8.95
2017-08-18,8.95,8.95,8.95,8.95,1796,8.95
2017-08-21,8.95,8.95,8.95,8.95,11000,8.95
2017-08-24,8.95,8.95,8.95,8.95,1401,8.95
2017-08-25,8.95,8.95,8.95,8.95,36578,8.95
2017-08-31,8.95,8.95,8.95,8.95,9981,8.95
2017-09-05,8.95,8.95,8.95,8.95,23314,8.95
2017-09-08,8.95,9.47,9.47,9.47,75906,9.47
2017-09-13,9.47,9.47,9.47,9.47,830,9.47
2017-09-14,9.47,9.47,9.47,9.47,26662,9.47
2017-09-15,9.47,8.95,8.95,8.95,62149,8.95
2017-09-22,8.95,8.95,8.95,8.95,9024,8.95
2017-09-29,8.95,8.95,8.95,8.95,61699,8.95
