date,open,high,low,close,volume,adj_close
2021-10-04,0.18,0.189,0.165,0.18,177845600,0.18
2021-10-05,0.18,0.175,0.175,0.108,65188440,0.108
2021-10-06,0.108,0.097,0.09,0.095,401347600,0.095
2021-10-07,0.095,0.07,0.05,0.052,7956500000,0.052
2021-10-08,0.051,0.06,0.051,0.053,1042356000,0.053
2021-10-12,0.053,0.04,0.04,0.041,191465200,0.041
2021-10-13,0.041,0.041,0.02,0.021,1493584000,0.021
2021-10-14,0.04,0.04,0.026,0.028,507263900,0.028
2021-10-15,0.028,0.03,0.025,0.026,666029500,0.026
2021-10-18,0.026,0.02,0.02,0.02,599342900,0.02
2021-10-19,0.02,0.02,0.015,0.015,2423828000,0.015
2021-10-20,0.015,0.024,0.02,0.024,4237748000,0.024
2021-10-21,0.024,0.023,0.019,0.023,2554387000,0.023
2021-10-22,0.02,0.02,0.017,0.019,4502423000,0.019
2021-10-25,0.019,0.02,0.019,0.019,2228972000,0.019
