date,open,high,low,close,volume,adj_close
2009-06-03,3.15,3.15,3.09,3.126,44806810,3.126
2009-06-04,3.126,3.14,3.1,3.13,180946700,3.13
2009-06-05,3.13,3.13,3.12,3.13,28264080,3.13
2009-06-08,3.13,3.13,3.06,3.12,70145210,3.12
2009-06-09,3.12,3.1,3.07,3.099,96538190,3.099
2009-06-10,3.099,3.1,3.07,3.072,55101780,3.072
2009-06-11,3.072,3.2,3.07,3.18,252653800,3.18
2009-06-12,3.18,3.2,3.09,3.101,53578530,3.101
2009-06-15,3.101,3.2,3.07,3.1,36807550,3.1
2009-06-16,3.1,3.2,3.08,3.08,49001570,3.08
2009-06-17,3.08,3.06,3,3,95816490,3
2009-06-18,3,3.09,3,3.08,247373000,3.08
2009-06-19,3.08,3.2,3.07,3.1,80696690,3.1
2009-06-22,3.1,3.08,3.05,3.062,46586590,3.062
2009-06-23,3.062,3.06,3.03,3.06,47120870,3.06
2009-06-24,3.06,3.1,3.07,3.07,44714300,3.07
2009-06-25,3.07,3.07,3.05,3.07,49019230,3.07
2009-06-26,3.07,3.2,3.06,3.121,127705400,3.121
2009-06-30,3.121,3.14,3.12,3.12,31853940,3.12
2009-07-01,3.12,3.14,3.12,3.121,9214344,3.121
2009-07-02,3.121,3.13,3.129,3.129,90334690,3.129
2009-07-03,3.129,3.13,3.05,3.05,36213500,3.05
2009-07-06,3.05,3.13,3.129,3.129,67500000,3.129
2009-07-07,3.129,3.129,3.05,3.1,50639600,3.1
2009-07-08,3.1,3.11,3.099,3.099,29263850,3.099
2009-07-09,3.099,3.09,3.09,3.09,1646670,3.09
2009-07-10,3.09,3.09,3.09,3.09,15129680,3.09
2009-07-13,3.09,3.12,3,3.12,94690090,3.12
2009-07-14,3.12,3.15,3.14,3.15,3359684000,3.15
2009-07-15,3.15,3.22,3.138,3.15,301505400,3.15
2009-07-17,3.15,3.22,3.15,3.22,87980900,3.22
2009-07-20,3.22,3.26,3.25,3.26,110440400,3.26
2009-07-21,3.28,3.3,3.25,3.275,123467500,3.275
2009-07-22,3.3,3.28,3.25,3.279,16050160,3.279
2009-07-23,3.279,3.28,3.27,3.276,303238800,3.276
2009-07-24,3.276,3.29,3.269,3.28,109532700,3.28
2009-07-27,3.28,3.28,3.25,3.28,83767080,3.28
2009-07-28,3.28,3.28,3.25,3.25,17815420,3.25
2009-07-29,3.25,3.25,3.25,3.25,17341110,3.25
2009-07-30,3.25,3.261,3.25,3.25,19621600,3.25
2009-07-31,3.25,3.27,3.265,3.269,275951800,3.269
2009-08-03,3.269,3.35,3.27,3.3,112124300,3.3
2009-08-04,3.3,3.3,3.27,3.28,38219680,3.28
2009-08-05,3.28,3.281,3.27,3.27,122383900,3.27
2009-08-06,3.27,3.29,3.2,3.25,36496680,3.25
2009-08-07,3.25,3.281,3.25,3.27,199906600,3.27
2009-08-10,3.27,3.27,3.25,3.27,131170700,3.27
2009-08-11,3.27,3.27,3.26,3.27,3082741,3.27
2009-08-12,3.27,3.3,3.27,3.3,54788290,3.3
2009-08-13,3.3,3.4,3.34,3.37,139766200,3.37
2009-08-14,3.37,3.48,3.35,3.48,52239330,3.48
2009-08-17,3.48,3.47,3.379,3.449,61739840,3.449
2009-08-18,3.449,3.45,3.4,3.404,66575240,3.404
2009-08-19,3.404,3.4,3.37,3.379,30811260,3.379
2009-08-20,3.379,3.4,3.389,3.39,5946921,3.39
2009-08-21,3.39,3.4,3.36,3.37,19947470,3.37
2009-08-24,3.37,3.37,3.36,3.37,18619420,3.37
2009-08-25,3.37,3.35,3.3,3.3,55709650,3.3
2009-08-26,3.3,3.35,3.3,3.34,15626760,3.34
2009-08-27,3.34,3.33,3.2,3.251,93317760,3.251
2009-08-28,3.251,3.34,3.22,3.233,123282200,3.233
2009-08-31,3.233,3.34,3.21,3.23,40130630,3.23
2009-09-01,3.23,3.241,3.22,3.23,89227360,3.23
2009-09-02,3.23,3.3,3.2,3.287,44027060,3.287
2009-09-03,3.287,3.31,3.29,3.31,229461400,3.31
2009-09-04,3.31,3.32,3.31,3.32,7027510,3.32
2009-09-07,3.32,3.38,3.2,3.3,23971460,3.3
2009-09-08,3.3,3.33,3.3,3.319,53739640,3.319
2009-09-09,3.319,3.325,3.201,3.25,74554680,3.25
2009-09-10,3.25,3.35,3.25,3.35,63652200,3.35
2009-09-11,3.35,3.4,3.35,3.4,49975560,3.4
2009-09-14,3.4,3.4,3.33,3.4,29001920,3.4
2009-09-15,3.4,3.431,3.39,3.39,52245700,3.39
2009-09-16,3.39,3.41,3.201,3.39,37592640,3.39
2009-09-17,3.39,3.44,3.39,3.418,83603250,3.418
2009-09-21,3.418,3.43,3.4,3.4,71533000,3.4
2009-09-22,3.4,3.45,3.41,3.44,27969550,3.44
2009-09-23,3.44,3.45,3.43,3.44,27625320,3.44
2009-09-24,3.44,3.47,3.35,3.351,41698620,3.351
2009-09-25,3.351,3.45,3.372,3.425,49966820,3.425
2009-09-28,3.425,3.46,3.425,3.46,69015930,3.46
2009-09-29,3.46,3.6,3.499,3.543,116482700,3.543
2009-09-30,3.543,3.611,3.52,3.61,29723930,3.61
2009-10-01,3.61,3.61,3.58,3.61,26687510,3.61
2009-10-02,3.61,3.68,3.6,3.62,30837140,3.62
2009-10-05,3.62,3.649,3.628,3.63,97006170,3.63
2009-10-06,3.63,3.63,3.56,3.59,47044720,3.59
2009-10-07,3.59,3.61,3.55,3.6,49686780,3.6
2009-10-08,3.6,3.6,3.54,3.572,41575530,3.572
2009-10-09,3.572,3.65,3.549,3.648,30137680,3.648
2009-10-13,3.648,3.7,3.62,3.624,254656700,3.624
2009-10-14,3.624,3.63,3.51,3.56,123857800,3.56
2009-10-15,3.56,3.598,3.53,3.53,35946400,3.53
2009-10-16,3.53,3.58,3.535,3.58,42336070,3.58
2009-10-19,3.58,3.619,3.595,3.6,169835700,3.6
2009-10-20,3.6,3.62,3.599,3.62,37238020,3.62
2009-10-21,3.62,3.67,3.6,3.669,46414570,3.669
2009-10-22,3.669,3.67,3.6,3.67,91575250,3.67
2009-10-23,3.67,3.66,3.63,3.636,24725650,3.636
2009-10-26,3.636,3.651,3.63,3.64,29046870,3.64
2009-10-27,3.64,3.7,3.64,3.659,16144250,3.659
2009-10-28,3.659,3.7,3.6,3.62,64789630,3.62
2009-10-29,3.62,3.65,3.6,3.606,26718590,3.606
2009-10-30,3.606,3.76,3.6,3.6,10528640,3.6
2009-11-02,3.6,3.6,3.52,3.55,31490870,3.55
2009-11-03,3.55,3.6,3.5,3.6,110513800,3.6
2009-11-04,3.6,3.69,3.599,3.69,163931700,3.69
2009-11-05,3.69,3.71,3.689,3.689,23658260,3.689
2009-11-06,3.689,3.69,3.688,3.69,25779500,3.69
2009-11-09,3.69,3.69,3.67,3.671,58123660,3.671
2009-11-10,3.671,3.66,3.61,3.656,11073630,3.656
2009-11-11,3.656,3.69,3.654,3.655,21806040,3.655
2009-11-12,3.655,3.69,3.67,3.675,87673650,3.675
2009-11-13,3.675,3.69,3.6,3.6,23787760,3.6
2009-11-16,3.6,3.6,3.55,3.56,18286290,3.56
2009-11-17,3.56,3.56,3.5,3.5,74519140,3.5
2009-11-18,3.5,3.5,3.499,3.5,67957140,3.5
2009-11-19,3.5,3.49,3.48,3.48,8527043,3.48
2009-11-20,3.48,3.5,3.478,3.5,35758390,3.5
2009-11-23,3.5,3.58,3.5,3.57,63633660,3.57
2009-11-24,3.57,3.6,3.56,3.6,10948980,3.6
2009-11-25,3.6,3.649,3.6,3.649,76359910,3.649
2009-11-26,3.649,3.62,3.59,3.62,21411280,3.62
2009-11-27,3.62,3.689,3.6,3.601,21907900,3.601
2009-11-30,3.601,3.67,3.59,3.618,274572800,3.618
2009-12-01,3.618,3.68,3.6,3.672,14575860,3.672
2009-12-02,3.672,3.77,3.652,3.751,132995600,3.751
2009-12-03,3.751,3.8,3.75,3.75,85446280,3.75
2009-12-04,3.75,3.75,3.739,3.75,79301270,3.75
2009-12-07,3.75,3.75,3.75,3.75,261209,3.75
2009-12-09,3.75,3.75,3.73,3.73,16729340,3.73
2009-12-10,3.73,3.74,3.71,3.74,40805400,3.74
2009-12-11,3.74,3.76,3.7,3.75,25847140,3.75
2009-12-14,3.75,3.75,3.6,3.75,54844810,3.75
2009-12-15,3.75,3.8,3.73,3.8,103485500,3.8
2009-12-16,3.8,3.9,3.8,3.82,110318700,3.82
2009-12-17,3.82,3.82,3.8,3.818,47182270,3.818
2009-12-18,3.818,3.83,3.8,3.83,35191220,3.83
2009-12-21,3.83,3.9,3.83,3.9,41227340,3.9
2009-12-22,3.9,3.93,3.84,3.929,41792490,3.929
2009-12-23,3.93,3.999,3.9,3.999,48246710,3.999
2009-12-24,3.999,3.979,3.91,3.91,13679140,3.91
2009-12-28,3.91,4,3.92,3.993,51257470,3.993
2009-12-29,3.993,4.06,3.94,4.06,52032490,4.06
2009-12-30,4.06,4.1,4.05,4.099,140232500,4.099
2010-01-04,4.099,4.26,4.06,4.18,229899700,4.18
2010-01-05,4.18,4.245,4.1,4.112,49728220,4.112
2010-01-06,4.112,4.11,4.079,4.08,67584250,4.08
2010-01-07,4.08,4.1,4,4.06,134844600,4.06
2010-01-08,4.05,4.15,4.01,4.127,128569600,4.127
2010-01-11,4.127,4.15,4.02,4.074,268627900,4.074
2010-01-12,4.074,4.15,4.02,4.102,93455670,4.102
2010-01-13,4.102,4.1,4.06,4.099,191043200,4.099
2010-01-14,4.099,4.12,3.9,4.12,3869404000,4.12
2010-01-15,4.12,4.1,4.05,4.096,98081760,4.096
2010-01-18,4.096,4.2,4.08,4.15,32433540,4.15
2010-01-19,4.15,4.155,4.08,4.149,43188220,4.149
2010-01-20,4.149,4.2,4.05,4.186,54099150,4.186
2010-01-21,4.186,4.19,4.05,4.13,179319200,4.13
2010-01-22,4.13,4.15,4.11,4.13,33802600,4.13
2010-01-25,4.15,4.15,4.06,4.13,51905600,4.13
2010-01-26,4.13,4.15,4.12,4.13,86348860,4.13
2010-01-27,4.13,4.15,4.05,4.08,104926000,4.08
2010-01-28,4.08,4.15,4.05,4.14,162315100,4.14
2010-01-29,4.14,4.315,4.14,4.314,212688600,4.314
2010-02-01,4.314,4.35,4.23,4.35,84054900,4.35
2010-02-02,4.44,4.44,4.4,4.42,187804100,4.42
2010-02-03,4.42,4.5,4.4,4.48,362604900,4.48
2010-02-04,4.48,4.48,4.36,4.38,70182960,4.38
2010-02-05,4.38,4.38,4.15,4.3,32371800,4.3
2010-02-08,4.3,4.4,4.399,4.4,25736020,4.4
2010-02-09,4.5,4.5,4.48,4.48,42752840,4.48
2010-02-10,4.48,4.5,4.44,4.496,34805460,4.496
2010-02-11,4.5,4.65,4.5,4.649,66400140,4.649
2010-02-12,4.649,4.65,4.501,4.601,31180120,4.601
2010-02-15,4.601,4.611,4.58,4.602,45943300,4.602
2010-02-16,4.602,4.64,4.58,4.62,160775200,4.62
2010-02-17,4.62,4.69,4.6,4.647,83650380,4.647
2010-02-18,4.647,4.65,4.5,4.539,40140280,4.539
2010-02-19,4.539,4.575,4.53,4.53,702512700,4.53
2010-02-22,4.53,4.55,4.3,4.464,84064900,4.464
2010-02-23,4.464,4.46,4.34,4.36,154597100,4.36
2010-02-24,4.36,4.4,4.28,4.33,46361770,4.33
2010-02-25,4.33,4.29,4.25,4.27,26785250,4.27
2010-02-26,4.27,4.45,4.27,4.449,60734050,4.449
2010-03-01,4.449,4.45,4.19,4.3,61557180,4.3
2010-03-02,4.3,4.35,4.25,4.3,49582210,4.3
2010-03-03,4.3,4.4,4.3,4.313,152594400,4.313
2010-03-04,4.313,4.38,4.16,4.3,241383500,4.3
2010-03-05,4.3,4.45,4.156,4.4,164336300,4.4
2010-03-08,4.4,4.5,4.4,4.5,37344490,4.5
2010-03-09,4.5,4.5,4.48,4.48,19246000,4.48
2010-03-10,4.48,4.47,4.448,4.45,32756840,4.45
2010-03-11,4.45,4.45,4.41,4.41,30363060,4.41
2010-03-12,4.41,4.45,4.4,4.4,12477010,4.4
2010-03-15,4.4,4.4,4.35,4.399,34613230,4.399
2010-03-16,4.399,4.4,4.35,4.4,298983300,4.4
2010-03-17,4.4,4.399,4.39,4.398,11133350,4.398
2010-03-18,4.398,4.48,4.398,4.48,56846140,4.48
2010-03-19,4.48,4.48,4.351,4.365,38050960,4.365
2010-03-22,4.365,4.4,4.309,4.314,74569260,4.314
2010-03-23,4.314,4.4,4.35,4.38,42748380,4.38
2010-03-24,4.38,4.42,4.38,4.4,134514700,4.4
2010-03-25,4.4,4.51,4.35,4.35,112613100,4.35
2010-03-26,4.43,4.43,4.35,4.351,86331310,4.351
2010-03-29,4.351,4.43,4.35,4.35,92271700,4.35
2010-03-30,4.35,4.43,4.35,4.372,31485490,4.372
2010-03-31,4.43,4.4,4.36,4.399,50679940,4.399
2010-04-01,4.399,4.45,4.38,4.41,49759420,4.41
2010-04-05,4.41,4.53,4.5,4.52,38086620,4.52
2010-04-06,4.52,4.53,4.45,4.49,32831590,4.49
2010-04-07,4.49,4.5,4.39,4.401,112097400,4.401
2010-04-08,4.401,4.45,4.37,4.391,118852700,4.391
2010-04-09,4.391,4.45,4.389,4.4,141770700,4.4
2010-04-12,4.4,4.4,4.37,4.383,15271640,4.383
2010-04-13,4.383,4.44,4.35,4.44,87855220,4.44
2010-04-14,4.44,4.57,4.4,4.423,130181400,4.423
2010-04-15,4.423,4.55,4.44,4.544,48029820,4.544
2010-04-16,4.544,4.55,4.5,4.54,57326630,4.54
2010-04-19,4.54,4.54,4.48,4.5,70843380,4.5
2010-04-20,4.5,4.551,4.51,4.55,54909220,4.55
2010-04-21,4.55,4.55,4.5,4.515,59002680,4.515
2010-04-22,4.509,4.53,4.48,4.528,77196220,4.528
2010-04-23,4.528,4.55,4.47,4.47,14261990,4.47
2010-04-26,4.47,4.5,4.459,4.5,51175350,4.5
2010-04-27,4.5,4.55,4.5,4.529,184441900,4.529
2010-04-28,4.529,4.63,4.52,4.559,74993380,4.559
2010-04-29,4.55,4.63,4.52,4.63,61199010,4.63
2010-04-30,4.65,4.72,4.65,4.701,55862200,4.701
2010-05-03,4.701,4.7,4.67,4.7,105879700,4.7
2010-05-04,4.7,4.7,4.66,4.7,9200820,4.7
2010-05-05,4.7,4.7,4.55,4.617,33191100,4.617
2010-05-06,4.617,4.62,4.5,4.522,69973110,4.522
2010-05-07,4.522,4.555,4.4,4.55,41351160,4.55
2010-05-10,4.55,4.65,4.5,4.64,40892430,4.64
2010-05-11,4.64,4.65,4.6,4.621,37847540,4.621
2010-05-12,4.621,4.64,4.5,4.55,52093210,4.55
2010-05-13,4.55,4.64,4.55,4.568,22988780,4.568
2010-05-14,4.568,4.57,4.52,4.55,64761350,4.55
2010-05-17,4.55,4.6,4.55,4.56,34833480,4.56
2010-05-18,4.56,4.61,4.51,4.6,94807920,4.6
2010-05-19,4.6,4.6,4.55,4.55,90803430,4.55
2010-05-20,4.55,4.6,4.44,4.461,348744300,4.461
2010-05-24,4.461,4.5,4.45,4.484,198559100,4.484
2010-05-25,4.484,4.5,4.399,4.5,18255780,4.5
2010-05-26,4.5,4.51,4.35,4.396,52524470,4.396
2010-05-27,4.396,4.5,4.396,4.5,292027700,4.5
2010-05-28,4.5,4.66,4.401,4.599,39905750,4.599
2010-05-31,4.599,4.65,4.53,4.65,19656000,4.65
2010-06-01,4.65,4.711,4.649,4.7,491691800,4.7
2010-06-02,4.7,4.8,4.7,4.8,272275600,4.8
2010-06-03,4.8,4.85,4.749,4.793,140314200,4.793
2010-06-04,4.793,4.8,4.65,4.762,32424980,4.762
2010-06-07,4.762,4.9,4.8,4.847,189223400,4.847
2010-06-08,4.847,4.87,4.811,4.85,219883800,4.85
2010-06-09,4.85,4.9,4.85,4.87,191294400,4.87
2010-06-10,4.87,5,4.829,4.837,76183760,4.837
2010-06-11,4.837,4.9,4.8,4.854,53551890,4.854
2010-06-14,4.854,4.916,4.86,4.86,31594640,4.86
2010-06-15,4.86,4.95,4.85,4.887,65549080,4.887
2010-06-16,4.887,4.91,4.85,4.87,110226500,4.87
2010-06-17,4.87,4.95,4.87,4.941,41122760,4.941
2010-06-18,4.941,5.1,4.94,5.099,311344400,5.099
2010-06-21,5.11,5.3,5,5.062,125185100,5.062
2010-06-22,5.099,5.1,4.95,4.996,90137540,4.996
2010-06-23,4.996,5.098,5,5.098,253155800,5.098
2010-06-24,5.098,5.2,5.098,5.1,56050850,5.1
2010-06-25,5.1,5.3,5.1,5.276,317932300,5.276
2010-06-29,5.21,5.25,5.21,5.24,24573750,5.24
2010-06-30,5.24,5.3,5.259,5.3,182105600,5.3
2010-07-01,5.3,5.28,5.2,5.28,106491600,5.28
2010-07-02,5.28,5.3,5.2,5.25,422646700,5.25
2010-07-05,5.25,5.3,5.21,5.24,45601580,5.24
2010-07-06,5.24,5.31,5.27,5.3,45819040,5.3
2010-07-07,5.3,5.55,5.3,5.521,318695400,5.521
