date,open,high,low,close,volume,adj_close
2013-10-16,90.83,90.83,90.83,90.83,275,90.83
2013-11-26,90.83,95.63,95.63,95.63,275,95.63
2013-12-06,95.63,94.33,94.33,94.33,25,94.33
2014-01-15,94.33,94.71,94.71,94.71,12,94.71
2014-02-18,94.71,92.4,92.4,92.4,80,92.4
2014-03-14,92.4,93.25,93.09,93.09,134,93.09
2014-03-18,93.09,94.05,94.05,94.05,237,94.05
2014-03-19,94.05,94.05,94.05,94.05,80,94.05
2014-04-09,94.05,97.88,97.88,97.88,51,97.88
2014-04-22,97.88,100.6,100.51,100.6,37,100.6
2014-05-02,100.6,99.13,99.13,99.13,51,99.13
2014-06-18,99.13,102.13,102.13,102.13,98,102.13
2014-07-31,102.13,100.87,100.87,100.87,237,100.87
2014-08-11,100.87,101.1,101.1,101.1,291,101.1
2014-09-25,101.1,107.28,107.28,107.28,46,107.28
2014-10-01,107.28,104.39,104.39,104.39,291,104.39
2014-10-17,104.39,98.91,98.91,98.91,300,98.91
2014-10-24,98.91,102.74,102.74,102.74,300,102.74
2014-10-28,102.74,104.14,104.14,104.14,326,104.14
2015-01-07,104.14,104.3,104.29,104.3,15,104.3
2015-01-14,104.3,104.3,104.3,104.3,59,104.3
2015-01-28,104.3,102.26,102.26,102.26,326,102.26
2015-02-10,102.26,100.05,100.05,100.05,15,100.05
2015-03-10,100.05,100.06,99.8,99.8,339,99.8
2015-05-11,99.8,101.16,101.16,101.16,15,101.16
2015-06-01,101.16,101.65,101.65,101.65,16,101.65
2015-06-30,101.65,98.3,98.3,98.3,22,98.3
2015-07-08,98.3,98.34,98.34,98.34,101,98.34
2015-07-24,98.34,99,99,99,16,99
2015-08-10,99,99.88,99.88,99.88,22,99.88
2015-08-28,99.88,95.2,95,95.2,94,95.2
2015-09-01,95.2,91.75,91.75,91.75,17,91.75
2015-09-03,91.75,93.5,93.5,93.5,30,93.5
2015-09-15,93.5,93.87,93.87,93.87,13,93.87
2015-10-22,93.87,98.4,98.4,98.4,42,98.4
2015-10-23,98.4,100.07,100.07,100.07,42,100.07
2015-11-10,100.07,100.94,100.75,100.94,82,100.94
2016-02-12,100.94,100.83,100.83,100.83,98,100.83
2016-05-17,100.83,113.63,113.63,113.63,13,113.63
2016-05-27,113.63,113.07,113.07,113.07,35,113.07
2016-07-01,113.07,121.35,121.35,121.35,22,121.35
2016-09-06,121.35,119.76,119.76,119.76,15,119.76
2016-09-13,119.76,117.75,117.75,117.75,33,117.75
2016-11-15,117.75,117.15,117.15,117.15,42,117.15
2016-11-25,117.15,113.6,113.6,113.6,83,113.6
2016-12-20,113.6,115.32,115.32,115.32,77,115.32
2016-12-22,115.32,114.99,114.99,114.99,42,114.99
2017-02-13,114.99,115.84,115.84,115.84,445,115.84
2017-02-14,115.84,115.77,115.77,115.77,650,115.77
2017-02-21,115.77,119.49,119.49,119.49,445,119.49
2017-02-22,119.51,119.51,119.51,119.51,650,119.51
2017-03-20,119.51,128.17,128.17,128.17,234,128.17
2017-06-12,128.17,131.44,131.44,131.44,234,131.44
2017-06-16,131.44,134.3,134.3,134.3,83,134.3
2017-09-26,134.3,131.71,131.71,131.71,375,131.71
2018-06-11,131.71,123.82,123.82,123.82,124,123.82
2018-07-24,123.82,127.32,127.32,127.32,375,127.32
2018-07-31,127.32,132.22,132.18,132.18,427,132.18
2018-08-06,132.18,132.29,132.29,132.29,30,132.29
2018-09-20,132.29,141.44,141.44,141.44,10,141.44
2018-11-07,141.44,144.63,144.63,144.63,120,144.63
2018-12-18,144.63,132.14,132.14,132.14,65,132.14
2018-12-26,132.14,123.34,123.34,123.34,98,123.34
2019-01-25,123.34,128.28,128.28,128.28,78,128.28
2019-04-18,128.28,136.32,136.32,136.32,187,136.32
2019-05-29,136.32,129.23,129.23,129.23,78,129.23
2019-09-06,129.23,128.59,128.59,128.59,33,128.59
2019-10-15,128.59,133.79,133.79,133.79,58,133.79
2019-11-15,133.79,131.2,131.2,131.2,65,131.2
2019-12-06,131.2,141.34,140.78,140.78,159,140.78
2020-01-21,140.78,148.91,148.91,140.78,6,140.78
2020-03-02,140.78,134.7,134.47,134.47,880,134.47
2020-03-05,134.47,140.9,140.9,134.47,6,134.47
2020-03-13,134.47,127.1,126.5,126.8,79,126.8
2020-03-19,126.8,128.78,128.78,128.78,880,128.78
2020-04-02,128.78,131.2,131.2,128.78,40,128.78
2020-04-16,128.78,148.89,148.89,148.89,200,148.89
2020-04-22,148.89,154.6,154.6,148.89,6,148.89
2020-05-04,148.89,148.3,148.3,148.89,3,148.89
2020-05-12,148.89,148.85,148.85,148.89,20,148.89
2020-05-18,148.89,151,151,148.89,3,148.89
2020-05-19,148.89,148.91,148.91,148.91,330,148.91
2020-06-04,148.91,145.71,145.71,145.71,200,145.71
2020-06-22,145.71,142.84,142.84,145.71,8,145.71
2020-07-01,145.71,141.62,141.62,141.62,175,141.62
2020-07-07,141.62,143.54,143.46,143.49,98,143.49
2020-07-24,143.49,147.6,147.6,143.49,34,143.49
2020-08-25,143.49,152,152,143.49,10,143.49
2020-08-31,143.49,153.83,153.83,143.49,40,143.49
2020-09-02,143.49,153.29,153.19,153.24,69,153.24
2020-09-04,153.24,148.15,148.15,153.24,4,153.24
2020-09-14,153.24,148.33,148.33,148.33,69,148.33
2020-10-06,148.33,147.53,147.53,147.53,20,147.53
2020-10-21,148.33,145.3,145.3,145.3,115,145.3
2020-10-29,145.3,137.5,137.5,137.5,25,137.5
2020-11-04,145.3,142.44,142.44,142.44,10,142.44
2020-11-06,145.3,142.85,142.85,145.3,6,145.3
2020-11-09,145.3,147.83,147.1,147.57,73,147.57
2020-11-11,147.57,148.2,148.2,148.2,68,148.2
2020-11-12,148.2,148.06,148.06,148.06,57,148.06
2020-11-16,148.06,150.91,150.91,150.91,662,150.91
2020-11-18,150.91,149.14,149.14,150.91,4,150.91
2020-11-20,150.91,146.69,146.69,146.69,62,146.69
2020-11-25,146.69,143.15,143.15,143.15,115,143.15
2020-12-01,143.15,146.67,146.67,143.15,3,143.15
2020-12-07,143.15,149.35,149.1,149.35,65,149.35
2020-12-22,149.22,153.05,153.05,153.05,20,153.05
2020-12-23,149.22,153.49,153.49,153.49,35,153.49
2020-12-24,149.22,153,153,153,58,153
2021-01-06,153,158,158,153,10,153
2021-01-11,153,161,161,161,50,161
