date,open,high,low,close,volume,adj_close
2021-06-01,120866,121030,120660,120866,131,120866
2021-06-23,120866,119950,119950,120866,6,120866
2021-07-02,120866,123500,123500,120866,8,120866
2021-07-15,120866,126460,126460,120866,3,120866
2021-07-20,120866,128170,128170,120866,5,120866
2021-07-23,120866,131370,131370,120866,8,120866
2021-08-04,120866,135830,135830,120866,1,120866
2021-08-17,120866,141330,141130,120866,15,120866
2021-08-18,120866,140590,140590,120866,12,120866
2021-08-19,120866,141740,141740,120866,1,120866
2021-08-23,120866,139960,139960,120866,7,120866
2021-09-08,120866,135280,135280,120866,1,120866
2021-09-10,120866,131630,131630,120866,1,120866
2021-09-14,120866,130920,130790,120866,2,120866
2021-09-15,120866,129170,129170,120866,2,120866
2021-10-13,120866,128840,128840,120866,18,120866
