date,open,high,low,close,volume,adj_close
2012-05-24,33.41,33.41,33.41,33.41,100,33.41
2012-05-31,33.41,33.06,33.06,33.06,300,33.06
2012-06-07,33.06,33.22,33.22,33.22,100,33.22
2012-08-17,33.22,36.85,36.85,36.85,533,36.85
2012-08-21,36.85,38.39,38.39,38.39,265,38.39
2012-09-14,38.39,41.9,41.9,41.9,268,41.9
2012-10-01,41.9,41.37,41.37,41.37,245,41.37
2012-10-17,41.37,43.51,43.51,43.51,245,43.51
2013-02-15,43.51,48.94,48.94,48.94,300,48.94
2013-02-19,48.94,49.61,49.61,49.61,44,49.61
2013-02-22,49.61,48.5,48.5,48.5,200,48.5
2013-03-18,48.5,49.39,49.39,49.39,200,49.39
2013-04-18,49.39,46.75,46.75,46.75,111,46.75
2013-05-09,46.75,49,49,49,203,49
2013-05-14,49,50.39,50.12,50.12,273,50.12
2013-05-20,50.12,52.47,52.47,52.47,70,52.47
2013-06-06,52.47,52.5,52.5,52.5,60,52.5
2013-07-05,52.5,53.71,53.71,53.71,93,53.71
2013-10-30,53.71,52.89,52.89,52.89,93,52.89
2013-11-08,52.89,53.59,53.59,53.59,60,53.59
2013-11-29,53.59,57.62,57.62,57.62,490,57.62
2014-01-21,57.62,57.98,57.98,57.98,44,57.98
2014-01-22,57.98,57.89,57.89,57.89,2000,57.89
2014-02-19,57.89,58.24,58.24,58.24,490,58.24
2014-03-19,58.24,58.03,58.03,58.03,298,58.03
2014-03-21,58.03,60.09,60.09,60.09,50,60.09
2014-05-06,60.09,53.7,53.7,53.7,400,53.7
2014-05-12,53.7,54.52,54.5,54.5,2400,54.5
2014-05-19,54.5,53.65,53.65,53.65,283,53.65
2014-05-27,53.65,55.27,55.27,55.27,283,55.27
2014-07-07,55.27,56.6,56.6,56.6,436,56.6
2014-07-15,56.6,58.25,58.25,58.25,436,58.25
2014-07-18,58.25,58.45,58.45,58.45,50,58.45
2014-08-13,58.45,56.77,56.77,56.77,580,56.77
2014-11-06,56.77,61.08,61.08,61.08,48,61.08
2014-11-12,61.08,60.54,60.43,60.43,411,60.43
2014-12-09,60.43,62.19,62.19,62.19,113,62.19
2015-01-07,62.2,58.78,58.78,58.78,675,58.78
2015-02-09,58.78,58.03,58.03,58.03,60,58.03
2015-02-11,58.03,58,58,58,137,58
2015-02-12,58,59.27,59.24,59.27,622,59.27
2015-02-24,59.27,61,61,61,137,61
2015-03-04,61,61.58,61.58,61.58,75,61.58
2015-03-11,61.58,60.4,60,60.39,513,60.39
2015-03-16,60.39,61.45,61.45,61.45,101,61.45
2015-03-19,61.45,61.57,61.57,61.57,102,61.57
2015-04-01,61.57,60,60,60,100,60
2015-04-06,60,60.52,60.52,60.52,83,60.52
2015-04-08,60.52,61.22,61.22,61.22,450,61.22
2015-04-14,61.22,63.02,63.02,63.02,67,63.02
2015-04-21,63.02,62.5,62.3,62.3,288,62.3
2015-05-05,62.3,65,65,65,288,65
2015-05-07,65,63.5,63.47,63.47,285,63.47
2015-05-08,63.47,65.51,64.79,65.51,180,65.51
2015-05-12,65.51,65.04,65.04,65.04,450,65.04
2015-05-13,65.04,65.48,65.48,65.48,25,65.48
2015-05-15,65.48,65.75,65.48,65.75,322,65.75
2015-05-19,65.75,67.12,66.5,67.12,518,67.12
2015-06-02,67.12,66.36,66.36,66.36,44,66.36
2015-06-18,66.36,68.46,68.46,68.46,101,68.46
2015-06-30,68.46,67.6,67.56,67.6,276,67.6
2015-07-07,67.6,66.5,66.5,66.5,210,66.5
2015-07-15,66.5,69.19,69.19,69.19,50,69.19
2015-07-20,69.19,69.7,69.7,69.7,190,69.7
2015-07-22,69.7,70.25,69.7,70.25,251,70.25
2015-08-12,70.25,66.46,66.38,66.46,255,66.46
2015-08-19,66.46,67.73,67.73,67.73,520,67.73
2015-08-25,67.73,62.7,62.7,62.7,795,62.7
2015-08-27,62.7,64.26,64.26,64.26,795,64.26
2015-09-23,64.26,60.61,60.61,60.61,1315,60.61
2015-10-02,60.61,59.3,59.19,59.2,1010,59.2
2015-10-06,59.2,62.21,62,62,1710,62
2015-10-22,62,63.43,63.43,63.43,130,63.43
2015-11-06,63.43,68.56,68.42,68.48,655,68.48
2015-11-10,68.48,67.32,67.32,67.32,148,67.32
2015-12-11,67.32,64.62,64.62,64.62,242,64.62
2015-12-14,64.62,64.29,64.02,64.02,330,64.02
2015-12-16,64.02,66.42,66.42,66.42,150,66.42
2016-01-19,66.42,56.82,56.82,56.82,500,56.82
2016-01-20,56.82,55.25,54.86,54.86,593,54.86
2016-01-29,54.86,58.51,58.51,58.51,45,58.51
2016-02-10,58.51,56.93,56.93,56.93,315,56.93
2016-02-11,56.93,53.25,53.25,53.25,345,53.25
2016-03-17,53.25,58.75,58.75,58.75,59,58.75
2016-04-13,58.75,61.89,61.89,61.89,675,61.89
2016-05-05,61.89,61.34,61.34,61.34,70,61.34
2016-06-20,61.34,62.58,62.58,62.58,90,62.58
2016-07-01,62.58,61.34,61.34,61.34,50,61.34
2016-10-06,61.34,67.11,67.11,67.11,7,67.11
2016-10-27,67.11,69.35,69.34,69.34,301,69.34
2016-11-07,69.34,69.3,69.3,69.3,424,69.3
2016-12-07,69.3,83.58,83.58,83.58,14,83.58
2016-12-12,83.58,84.88,84.88,84.88,31,84.88
2016-12-15,84.88,85.85,85.85,85.85,120,85.85
2017-02-08,85.85,85.72,85.72,85.72,34,85.72
2017-02-10,85.72,87.36,87.36,87.36,323,87.36
2017-02-21,87.36,90.81,90.81,90.81,140,90.81
2017-02-23,90.81,91.04,91.04,91.04,175,91.04
2017-04-06,91.04,86.62,86.62,86.62,5,86.62
2017-04-18,86.62,85.52,85.52,85.52,125,85.52
2017-05-10,85.52,87.24,87.24,87.24,343,87.24
2017-05-31,87.24,82.39,82.39,82.39,120,82.39
2017-08-25,82.39,92.23,92.23,92.23,333,92.23
2017-09-29,92.23,95.13,95.13,95.13,50,95.13
2017-10-02,95.13,96.59,96.59,96.59,280,96.59
2017-10-03,96.59,97.2,97.2,97.2,60,97.2
2017-10-04,97.2,96.98,96.98,96.98,175,96.98
2017-10-24,96.98,100.29,100.29,100.29,343,100.29
2017-11-09,100.29,97.91,97.91,97.91,8,97.91
2017-11-14,97.91,97.04,97.04,97.04,110,97.04
2017-11-30,97.04,104.9,104.9,104.9,47,104.9
2017-12-15,104.9,106.4,106.4,106.4,38,106.4
2018-01-04,106.4,109.25,109.25,109.25,36,109.25
2018-01-09,109.25,109.42,109.42,109.42,10,109.42
2018-01-11,109.42,110.79,110.79,110.79,277,110.79
2018-01-12,110.79,111.97,111.97,111.97,44,111.97
2018-01-19,111.97,114.5,114.5,114.5,350,114.5
2018-01-22,114.5,113.69,113.69,113.69,28,113.69
2018-02-02,113.69,115.17,115.16,115.16,156,115.16
2018-03-28,115.16,107.97,107.97,107.97,15,107.97
2018-06-20,107.97,107.96,107.96,107.96,30,107.96
2018-07-05,107.96,104.17,104.17,104.17,9,104.17
2018-08-16,104.17,114.82,114.82,114.82,37,114.82
2018-09-06,114.82,114.31,114.31,114.31,5,114.31
2018-09-20,114.31,118.5,118.5,118.5,5,118.5
2018-12-06,118.5,106.3,106.3,106.3,37,106.3
