date,open,high,low,close,volume,adj_close
2013-05-30,40.87,40.96,40.87,40.87,850,40.87
2013-06-19,40.87,41.27,41.27,41.27,850,41.27
2013-07-05,41.27,40.23,40.23,40.23,245,40.23
2013-07-15,40.23,41.02,41.02,41.02,119,41.02
2013-09-16,41.02,38.87,38.87,38.87,202,38.87
2013-10-16,38.87,38.03,38.03,38.03,245,38.03
2013-11-20,38.03,40.08,40.08,40.08,1137,40.08
2013-11-21,40.08,40.24,40.24,40.24,384,40.24
2013-12-17,40.24,39.27,39.27,39.27,843,39.27
2013-12-18,39.27,39.44,39.44,39.44,50,39.44
2013-12-20,39.44,40,40,40,50,40
2014-01-24,40,39.11,39.11,39.11,126,39.11
2014-01-29,39.11,38.41,38.41,38.41,124,38.41
2014-02-18,38.41,37.46,37.46,37.46,530,37.46
2014-03-10,37.46,38.51,38.51,38.51,530,38.51
2014-04-01,38.51,38.42,38.42,38.42,100,38.42
2014-06-27,38.42,42.19,42.19,42.19,1109,42.19
2014-07-09,42.19,41.86,41.86,41.86,1109,41.86
2015-01-05,41.86,42.39,42.39,42.39,1846,42.39
2015-04-01,42.39,40.55,40.55,40.55,2454,40.55
2015-07-14,40.55,41,41,41,2454,41
2015-11-06,41,41.78,41.78,41.78,479,41.78
2016-03-23,41.78,45.68,45.61,45.61,225,45.61
2016-04-20,45.61,44.5,44.5,44.5,220,44.5
2017-01-12,44.5,40.89,40.89,40.89,220,40.89
2017-06-13,40.89,45.08,45.08,45.08,479,45.08
2017-12-20,45.08,46.15,46.15,46.15,67,46.15
2018-07-23,46.15,44.82,44.82,44.82,89,44.82
2019-01-16,44.82,47.2,47.2,47.2,210,47.2
2019-02-11,47.2,49.69,49.69,49.69,15,49.69
2019-02-15,49.69,45.77,45.77,45.77,109,45.77
2019-03-05,45.77,45.51,45.51,45.51,6,45.51
2019-03-14,45.51,45.91,45.9,45.9,22,45.9
2019-03-20,45.9,45.38,45.38,45.38,7,45.38
2019-04-02,45.38,46.67,46.67,46.67,47,46.67
2019-08-07,46.67,52.83,52.83,52.83,2,52.83
2019-10-07,52.83,54.1,54.1,54.1,90,54.1
2019-10-17,54.1,53.9,53.9,53.9,560,53.9
2019-11-27,53.9,53.9,53.9,53.9,20,53.9
2019-12-12,53.9,54.35,54.35,54.35,560,54.35
2020-01-08,54.35,54.34,54.34,54.35,90,54.35
2020-01-30,54.35,57.97,57.97,54.35,92,54.35
2020-02-04,54.35,58.74,58.74,54.35,53,54.35
2020-02-19,54.35,59.96,59.96,54.35,16,54.35
2020-03-12,54.35,48,48,54.35,3,54.35
2020-03-19,54.35,42,42,54.35,6,54.35
2020-03-20,54.35,42.23,42.23,42.23,956,42.23
2020-03-26,42.23,44.04,44.04,42.23,131,42.23
2020-03-30,42.23,44,43.5,42.23,20,42.23
2020-04-14,42.23,47.7,47.7,47.7,210,47.7
2020-04-17,47.7,48,47.5,47.51,490,47.51
2020-04-27,47.51,46.67,46.67,47.51,1,47.51
2020-04-28,47.51,47.48,47.48,47.51,120,47.51
2020-05-04,47.51,44.8,44.8,44.8,200,44.8
2020-05-07,44.8,45,45,44.8,2,44.8
2020-05-14,44.8,43.45,43.45,44.8,9,44.8
2020-05-26,44.8,46.26,46.26,44.8,33,44.8
2020-05-28,44.8,47.28,47.2,47.28,590,47.28
2020-06-12,47.28,45.82,45.82,47.28,131,47.28
2020-06-24,47.28,44.75,44.75,44.75,400,44.75
2020-07-01,44.75,45.17,45.17,44.75,120,44.75
2020-07-02,44.75,45.29,45.29,44.75,12,44.75
2020-07-07,44.75,45.39,45.17,44.75,23,44.75
2020-07-08,44.75,44.55,44.55,44.55,590,44.55
2020-07-15,44.55,46.62,46.62,44.55,5,44.55
2020-07-20,44.55,46.08,46.08,44.55,40,44.55
2020-07-24,44.55,48.19,48.19,48.19,2270,48.19
2020-07-28,48.19,48.48,48.48,48.48,1380,48.48
2020-07-30,48.48,47.49,47.33,47.47,1996,47.47
2020-08-03,47.47,46.52,46.51,46.52,1055,46.52
2020-08-04,46.52,46.65,46.65,46.65,1373,46.65
2020-08-05,46.65,47.16,47.16,46.65,84,46.65
2020-08-06,46.65,47.16,47.16,47.16,478,47.16
2020-08-11,47.16,48.25,47.96,47.16,66,47.16
2020-08-13,47.16,48.57,48.57,47.16,38,47.16
2020-08-14,47.16,48.16,48.16,47.16,92,47.16
2020-08-19,47.16,47.82,47.82,47.16,27,47.16
2020-09-03,47.16,52.13,52,52.02,463,52.02
2020-09-14,52.02,51,51,51,200,51
2020-09-22,51,49.41,49.41,49.41,2510,49.41
2020-10-01,49.41,49.04,49.04,49.04,244,49.04
2020-10-05,49.04,49.33,49.33,49.04,10,49.04
