date,open,high,low,close,volume,adj_close
2021-02-08,36973,36998,36545,36973,193,36973
2021-02-10,36973,36338,36338,36973,7,36973
2021-02-11,36973,36103,36069,36973,16,36973
2021-02-19,36973,35855,35855,36973,8,36973
2021-02-22,36973,35308,35308,36973,3,36973
2021-02-24,36973,35796,35796,35796,28,35796
2021-02-25,36973,35990,35881,35990,51,35990
2021-03-01,36973,35931,35931,35931,50,35931
2021-03-03,36973,36436,36436,36973,3,36973
2021-03-05,36973,37270,37270,37270,19,37270
2021-03-11,36973,36750,36700,36973,32,36973
2021-03-22,36973,36526,36526,36973,6,36973
2021-03-23,36973,37350,37350,36973,10,36973
2021-03-26,36973,38092,38092,36973,2,36973
2021-04-05,36973,37690,37690,36973,3,36973
2021-04-16,36973,37620,37620,36973,2,36973
2021-04-20,36973,37950,37950,36973,1,36973
2021-04-23,36973,38717,38717,36973,3,36973
2021-04-26,36973,38310,38310,36973,10,36973
2021-04-27,36973,37800,37800,36973,2,36973
2021-04-30,36973,38500,38500,36973,10,36973
2021-05-05,36973,38200,37640,36973,37,36973
2021-05-06,36973,38400,38300,36973,2,36973
2021-05-10,36973,38550,38550,36973,5,36973
2021-05-11,36973,38800,38180,36973,55,36973
2021-05-12,36973,38493,38493,36973,1,36973
2021-05-14,36973,38890,38890,36973,125,36973
2021-05-19,36973,38640,38640,36973,10,36973
2021-05-24,36973,40100,40100,36973,2,36973
2021-05-25,36973,40560,40560,36973,5,36973
2021-06-01,36973,40300,40098,40122,426,40122
2021-06-03,40122,40310,40310,40122,1,40122
2021-06-04,40122,40620,40620,40122,6,40122
2021-06-07,40122,40241,40241,40122,3,40122
2021-06-08,40122,40237,40050,40122,20,40122
2021-06-09,40122,40217,40217,40122,2,40122
2021-06-10,40122,40440,40440,40122,3,40122
2021-06-14,40122,39820,39820,40122,5,40122
