date,open,high,low,close,volume,adj_close
2009-10-28,180,200,150,180,96285,180
2009-10-29,210,255,212,215,964717,215
2009-10-30,215,230,205,210,412191,210
2009-11-02,210,216,200,200,253322,200
2009-11-03,200,204,180,195,396131,195
2009-11-04,195,215.01,205,210,377289,210
2009-11-05,210,250,210,210,438050,210
2009-11-06,210,210.01,209,210,83250,210
2009-11-09,210,210.2,200,201,332674,201
2009-11-10,195,220,195,220,669520,220
2009-11-11,220,250,229,230,717393,230
2009-11-12,230,230,230,230,71633,230
2009-11-13,230,230,220,220,259038,220
2009-11-16,220,255,240,246,253360,246
2009-11-17,246,252,240,240,294077,240
2009-11-18,240,201,194,195.02,371762,195.02
2009-11-19,195.02,195.2,180.11,180.11,168281,180.11
2009-11-20,180.11,200,189,200,156780,200
2009-11-23,200,225.9,190,191.02,1158225,191.02
2009-11-24,197,191,165,178.22,639753,178.22
2009-11-25,178.22,180.01,175,178.22,966058,178.22
2009-11-26,178.22,200,170,178.22,297791,178.22
2012-09-03,6.523,6.5,4,6.523,4540620,6.523
2012-09-04,6.523,7,5.2,5.62,6838704,5.62
2012-09-05,5,5.3,4.25,4.485,8493720,4.485
2012-09-06,4.485,4.3,3.8,3.8,8548544,3.8
2012-09-07,3.8,3.65,3.1,3.823,6765825,3.823
2012-09-10,3.823,3.63,3.6,3.631,17028500,3.631
2012-09-11,3.631,4,3,4,6548718,4
2012-09-12,4,4.87,4,4.834,10341840,4.834
2012-09-13,4.834,7.6,4.86,7.528,31323410,7.528
2012-09-14,7.528,12,7.76,9.107,13607510,9.107
2012-09-20,9.107,9.49,7,7.5,4676574,7.5
2012-09-21,7.5,11,7,9.815,15240850,9.815
2012-09-24,9.815,13.5,8.221,8.354,35708030,8.354
2012-09-25,8.354,12,7.5,11.67,34114720,11.67
2012-09-26,11.67,11,9.5,10.26,28572680,10.26
2012-09-27,9.5,11.11,9.5,10.85,31117660,10.85
2012-09-28,10.85,19,7,10.85,46089770,10.85
2012-10-01,10.85,25.01,10,10.85,33915830,10.85
2018-09-25,3.002,3.3,2.89,3.002,2909488,3.002
2018-09-26,3.002,3,2.511,2.85,6808961,2.85
2018-09-27,2.85,3.25,2.86,2.988,10050390,2.988
2018-09-28,2.988,2.86,2.598,2.598,6610336,2.598
2018-10-01,2.598,3.5,2.949,3.495,12232740,3.495
2018-10-02,3.495,3.63,3.15,3.52,11164720,3.52
2018-10-03,3.52,5,3.61,5.01,7686480,5.01
2018-10-04,5.01,6.61,5.1,5.399,14543520,5.399
2018-10-05,5.399,6,4.75,4.935,7979147,4.935
2018-10-08,4.935,6,5,5.251,5517533,5.251
2018-10-09,5.251,5.5,5,5,3333983,5
2018-10-10,5,4.3,3.86,4.297,3213475,4.297
2018-10-11,4.297,3.99,3.6,3.904,3064245,3.904
2018-10-12,3.904,4.5,3.99,3.99,3369615,3.99
2018-10-16,3.99,3.2,3.1,3.11,3154801,3.11
2018-10-17,3.11,3,2.726,2.96,9530843,2.96
2018-10-18,2.96,2.9,2.5,2.505,8706641,2.505
2018-10-19,2.505,2.05,1.75,2.505,8867633,2.505
2018-10-22,2.505,3,2.5,2.505,18633830,2.505
2021-03-12,2.031,2.35,1.9,2.031,5326604,2.031
