date,open,high,low,close,volume,adj_close
2009-06-03,20000,20000,20000,20000,2300,20000
2009-06-04,20000,20000,20000,20000,222,20000
2009-06-05,20000,21000,21000,21000,175,21000
2009-06-08,21000,21000,21000,21000,259,21000
2009-06-09,21000,21000,21000,21000,1000,21000
2009-06-10,21000,23000,22000,23000,5174,23000
2009-06-11,23000,24005,23006,24005,5766,24005
2009-06-12,24005,25050,24999,25000,18331,25000
2009-06-15,25000,25000,25000,25000,562,25000
2009-06-16,25000,25000,25000,25000,129,25000
2009-06-23,25000,25000,25000,25000,39,25000
2009-06-26,25000,24000,24000,24000,100,24000
2009-07-06,24000,24000,24000,24000,100,24000
2009-07-10,24000,23500,23500,23500,300,23500
2009-07-14,23500,23600,23600,23600,212,23600
2009-07-15,23600,23600,23600,23600,92,23600
2009-07-20,23600,23600,23600,23600,3,23600
2009-07-23,23600,23400,23400,23400,1000,23400
2009-07-24,23400,23400,23400,23400,597,23400
2009-07-27,23400,23400,23400,23400,92,23400
2009-08-03,23400,23400,23400,23400,100,23400
2009-08-04,23400,23400,23400,23400,614,23400
2009-08-07,23400,23000,23000,23000,1500,23000
2009-08-10,23000,23000,23000,23000,4,23000
2009-08-12,23000,23001,23000,23000,1295,23000
2009-08-13,23000,23000,23000,23000,1000,23000
2009-08-14,23000,23000,23000,23000,150,23000
2009-08-19,23000,23000,23000,23000,5,23000
2009-08-20,23000,22500,22500,22500,250,22500
2009-08-24,22500,22500,22500,22500,40,22500
2009-08-25,22500,22200,22000,22000,5152,22000
2009-08-26,22000,22000,22000,22000,14,22000
2009-08-28,22000,21500,21500,21500,4699,21500
2009-09-01,21500,21500,21500,21500,46,21500
2009-09-04,21500,21500,21500,21500,1286,21500
2009-09-07,21500,21500,21500,21500,100,21500
2009-09-08,21500,21500,21000,21000,475,21000
2009-09-09,21000,21100,21100,21100,773,21100
2009-09-10,21100,21100,21100,21100,3834,21100
2009-09-15,21100,21100,21100,21100,4,21100
2009-09-16,21100,22000,21500,21500,1489,21500
2009-09-23,21500,21500,21500,21500,17,21500
2009-09-24,21500,22000,22000,22000,100,22000
2009-09-28,22000,22000,22000,22000,40,22000
2009-10-02,22000,22000,22000,22000,1,22000
2009-10-06,22000,22000,22000,22000,23,22000
2009-10-08,22000,22000,22000,22000,3410,22000
2009-10-13,22000,21990,21990,21990,68,21990
2009-10-16,21990,21990,21990,21990,1,21990
2009-10-20,21990,21500,21490,21500,5537,21500
2009-10-21,21500,21500,21500,21500,1702,21500
2009-10-23,21500,21000,21000,21000,1745,21000
2009-10-26,21000,21500,21500,21500,2000,21500
2009-10-27,21500,21500,21500,21500,7246,21500
2009-11-02,21500,21550,21500,21550,419,21550
2009-11-03,21550,21600,21550,21600,1474,21600
2009-11-04,21600,22000,21600,22000,3598,22000
2009-11-05,22000,22000,22000,22000,1100,22000
2009-11-06,22000,22500,22000,22500,905,22500
2009-11-11,22500,23000,23000,23000,668,23000
2009-11-13,23000,23500,23000,23000,4650,23000
2009-11-18,23000,23000,23000,23000,685,23000
2009-11-24,23000,22600,22600,22600,1000,22600
2009-11-26,22600,22129,22129,22129,5184,22129
2009-12-02,22129,22129,22129,22129,200,22129
2009-12-09,22129,22500,22500,22500,500,22500
2009-12-10,22500,22750,22750,22750,500,22750
2009-12-11,22750,22750,22750,22750,2204,22750
2009-12-16,22750,23000,23000,23000,130,23000
2009-12-18,23000,23000,22980,22980,1800,22980
2009-12-21,22980,23000,23000,23000,129,23000
2010-01-04,23000,23000,23000,23000,50,23000
2010-01-07,23000,22900,22900,22900,95,22900
2010-01-08,22900,22900,22500,22500,266,22500
2010-01-11,22500,22000,22000,22000,95,22000
2010-01-12,22000,22000,22000,22000,1500,22000
2010-01-13,22000,22000,22000,22000,1064,22000
2010-01-15,22000,22000,22000,22000,779,22000
2010-01-18,22000,22110,22110,22110,2334,22110
2010-01-19,22110,22350,22350,22350,270,22350
2010-01-21,22350,23000,22350,23000,6791,23000
2010-01-22,23000,23000,23000,23000,2606,23000
2010-01-25,23000,23000,23000,23000,5835,23000
