date,open,high,low,close,volume,adj_close
2016-11-24,4500,5000,4500,4850,24427800,4850
2016-11-25,4941,4941,4850,4875,190359,4875
2016-11-28,4875,4850,4820,4820,52119,4820
2016-11-29,4820,4820,4800,4800,133794,4800
2016-11-30,4800,4810,4750,4800,47009,4800
2016-12-01,4800,4795,4789.9,4790,66449,4790
2016-12-02,4790,4800,4789,4800,53573,4800
2016-12-05,4800,4820,4800,4820,47709,4820
2016-12-06,4820,4850,4830,4830,124151,4830
2016-12-07,4830,4949,4830,4949,132645,4949
2016-12-09,4949,5000,4875,5000,20223,5000
2016-12-12,5000,4900,4899.9,4900,42999,4900
2016-12-13,4900,4950,4900,4950,3464,4950
2016-12-14,4950,4950,4949.9,4949.9,36489,4949.9
2016-12-15,4949.9,4900,4900,4900,3465,4900
2016-12-16,4900,4900,4850,4897,27187,4897
2016-12-19,4897,4900,4900,4900,10210,4900
2016-12-20,4900,4900,4900,4900,96913,4900
2016-12-21,4900,4900,4895,4898.4,35329,4898.4
2016-12-22,4898.4,4949,4879.9,4895,36720,4895
2016-12-23,4895,4850,4850,4850,147928,4850
2016-12-26,4850,4850,4849.9,4849.9,14611,4849.9
2016-12-27,4849.9,4849.9,4849.9,4849.9,579250,4849.9
2016-12-28,4849.9,4850,4849.8,4849.8,60530,4849.8
2016-12-30,4849.8,4840,4839.9,4840,2327,4840
2017-01-03,4840,4850,4850,4850,4146,4850
2017-01-04,4850,4800,4800,4800,172855,4800
2017-01-09,4800,4800.1,4800,4800,1422156,4800
2017-01-11,4800,4837.1,4837.1,4837.1,202,4837.1
2017-01-12,4837.1,4837.1,4820,4837.1,11153,4837.1
2017-01-13,4837.1,4837.1,4835,4837,4937,4837
2017-01-16,4837,4850,4837,4850,28034,4850
2017-01-18,4850,4850,4849,4850,4083,4850
2017-01-19,4850,4850,4800,4850,90057,4850
2017-01-20,4850,4850,4850,4850,4422,4850
2017-01-24,4850,4850,4850,4850,452462,4850
2017-01-25,4850,4802,4750,4750,2369249,4750
2017-01-26,4750,4720.5,4720.5,4720.5,200,4720.5
2017-01-27,4720.5,4720,4720,4720,4830,4720
2017-01-30,4720,4720,4720,4720,418,4720
2017-01-31,4720,4700,4699.8,4699.8,759498,4699.8
2017-02-01,4699.8,4699.8,4699.8,4699.8,478825,4699.8
2017-02-02,4699.8,4679.9,4679.9,4679.9,144401,4679.9
2017-02-03,4679.9,4650,4650,4650,202,4650
2017-02-06,4650,4660,4659.9,4659.9,281087,4659.9
2017-02-07,4659.9,4660,4630,4630,12667,4630
2017-02-08,4630,4630,4630,4630,2036,4630
2017-02-09,4630,4635,4630,4635,86473,4635
2017-02-13,4635,4600,4533,4600,7142,4600
2017-02-14,4600,4600,4570,4600,110947,4600
2017-02-15,4600,4590,4530,4590,460278,4590
2017-02-16,4590,4625,4625,4625,584,4625
2017-02-17,4625,4625,4625,4625,1617,4625
2017-02-20,4625,4625,4625,4625,54054,4625
2017-02-21,4625,4625,4625,4625,40513,4625
2017-02-22,4625,4625,4625,4625,311,4625
2017-02-23,4625,4625,4625,4625,1616,4625
2017-02-28,4625,4700,4700,4700,2654,4700
2017-03-02,4700,4701,4700,4701,376923,4701
2017-03-03,4701,4701,4701,4701,209015,4701
2017-03-06,4701,4701,4701,4701,327724,4701
2017-03-07,4701,4702.1,4702.1,4702.1,408,4702.1
2017-03-08,4702.1,4703,4703,4703,220317,4703
2017-03-09,4703,4800,4716,4800,426390,4800
2017-03-10,4800,4850.2,4850,4850.2,483458,4850.2
2017-03-13,4850.2,4900,4900,4900,228433,4900
2017-03-14,4900,4960,4920,4950,318432,4950
2017-03-15,4950,5000,4950,5000,647,5000
2017-03-16,5000,5050,5050,5050,52893,5050
2017-03-17,5050,5050,5049,5050,10723,5050
2017-03-20,5050,5000,5000,5000,81986,5000
2017-03-21,5000,5000,5000,5000,13281,5000
2017-03-22,5000,5000,5000,5000,1794,5000
2017-03-23,5000,5060,5060,5060,3879,5060
2017-03-24,5060,5060,5060,5060,5332,5060
2017-03-27,5060,5060,5060,5060,2200,5060
2017-03-28,5060,5060,5060,5060,1000,5060
2017-03-29,5060,5000,5000,5000,928533,5000
2017-03-30,5000,5000,4990,5000,28955,5000
2017-03-31,5000,5000,5000,5000,214365,5000
2017-04-03,5000,4990,4990,4990,1150,4990
2017-04-04,4990,5000,5000,5000,12821,5000
2017-04-05,5000,5010,5000,5010,5874,5010
2017-04-06,5010,5015,5015,5015,15775,5015
2017-04-11,5015,5015,5015,5015,1293,5015
2017-04-13,5015,5015,5015,5015,7008,5015
2017-04-17,5015,5000,4999.9,5000,69376,5000
2017-04-18,5000,5000,5000,5000,11000,5000
2017-04-20,5000,4966.9,4966.9,4966.9,2007,4966.9
2017-04-24,4966.9,5050,5050,5050,11071,5050
2017-04-26,5050,5050,5050,5050,5868,5050
2017-04-27,5050,5050,5050,5050,15500,5050
2017-04-28,5050,5000,5000,5000,229315,5000
2017-05-02,5000,5000,5000,5000,43070,5000
2017-05-03,5000,5000,5000,5000,31960,5000
2017-05-05,5000,5000,5000,5000,1521,5000
2017-05-10,5000,5000,5000,5000,6942,5000
2017-05-11,5000,5000,5000,5000,32240,5000
2017-05-12,5000,5000,4999.9,4999.9,12000,4999.9
2017-05-15,4999.9,5000,5000,5000,11210,5000
2017-05-17,5000,5000,5000,5000,13800,5000
2017-05-19,5000,4990,4984.9,4984.9,60199,4984.9
2017-05-22,4984.9,4984.9,4940,4984.9,108804,4984.9
2017-05-23,4984.9,4979.9,4950,4950,11878,4950
2017-05-24,4950,4984.9,4950,4984.9,17937,4984.9
2017-05-25,4984.9,5000,5000,5000,1000,5000
2017-05-26,5000,5000,4985,4999.9,4804,4999.9
2017-05-29,4999.9,4999.9,4999.9,4999.9,42,4999.9
2017-05-30,4999.9,4970,4945,4945,335430,4945
2017-05-31,4945,4936.9,4868.4,4935,49502,4935
2017-06-01,4935,4935,4935,4935,22588,4935
2017-06-02,4935,4935,4935,4935,863,4935
2017-06-05,4935,4936,4935,4935,9209,4935
2017-06-07,4935,4990.1,4900,4980,1070409,4980
2017-06-08,4980,4950,4950,4950,1585,4950
2017-06-09,4950,4901,4900,4900,221546,4900
2017-06-13,4900,4900,4843.7,4900,4633,4900
2017-06-14,4900,4900,4900,4900,7595,4900
2017-06-16,4900,4900,4900,4900,8500,4900
2017-06-19,4900,4900,4899.9,4900,112931,4900
2017-06-20,4900,4900,4900,4900,3625,4900
2017-06-21,4900,4900,4850,4850,9000,4850
2017-06-22,4850,4850,4850,4850,20444,4850
2017-06-23,4850,4900,4900,4900,1711,4900
2017-06-27,4900,4900,4900,4900,71,4900
2017-06-28,4900,4900,4900,4900,432,4900
2017-06-29,4900,4899,4800,4850,187048,4850
2017-06-30,4850,4850,4850,4850,41597,4850
2017-07-04,4850,4850,4850,4850,4000,4850
2017-07-05,4850,4856,4850,4850,1142500,4850
2017-07-06,4850,4870,4870,4870,6320,4870
2017-07-07,4870,4860,4850,4850,2054,4850
2017-07-10,4850,4850,4849.7,4849.7,243000,4849.7
2017-07-11,4849.7,4850,4800,4850,76611,4850
2017-07-12,4850,4850,4849.9,4850,193452,4850
2017-07-13,4850,4851,4849.5,4850,227954,4850
2017-07-14,4850,4900,4850,4900,311287,4900
2017-07-18,4900,4850,4850,4850,8674,4850
2017-07-19,4850,4850,4850,4850,5391,4850
2017-07-20,4850,4850,4849,4849,52968,4849
2017-07-24,4849,4850,4848,4848.9,37774,4848.9
2017-07-25,4848.9,4850,4800,4805.3,33194,4805.3
2017-07-26,4805.3,4800,4800,4800,4478,4800
2017-07-27,4800,4800,4800,4800,5394,4800
2017-07-31,4800,4800,4800,4800,4190,4800
2017-08-01,4800,4780,4779.9,4780,655819,4780
2017-08-02,4780,4780,4750,4750,11820,4750
2017-08-03,4750,4750,4750,4750,2588,4750
2017-08-04,4750,4750,4749.9,4750,108239,4750
2017-08-07,4750,4750,4720,4750,172417,4750
2017-08-08,4750,4750,4750,4750,277,4750
2017-08-09,4750,4750,4750,4750,74,4750
2017-08-10,4750,4750,4720,4750,21233,4750
2017-08-11,4750,4750,4749.9,4749.9,19474,4749.9
2017-08-14,4749.9,4750,4750,4750,9910,4750
2017-08-16,4750,4750,4750,4750,18500,4750
2017-08-17,4750,4751,4720,4750,38330,4750
2017-08-18,4750,4750,4750,4750,11106,4750
2017-08-21,4750,4750,4720,4720,11476,4720
2017-08-23,4720,4720,4720,4720,25000,4720
2017-08-24,4720,4720,4720,4720,53,4720
2017-08-25,4720,4720,4719.9,4719.9,16331,4719.9
2017-08-28,4719.9,4720,4720,4720,1000,4720
2017-08-29,4720,4720,4700,4720,1083569,4720
2017-08-30,4720,4720,4720,4720,810,4720
2017-08-31,4720,4800,4756,4800,63469,4800
2017-09-01,4800,4850,4800,4850,16792,4850
2017-09-04,4850,4900,4825,4825,325,4825
2017-09-05,4825,4851,4850,4850,41063,4850
2017-09-06,4850,4852,4850,4850,111018,4850
2017-09-07,4850,4865.8,4850,4865.8,184351,4865.8
2017-09-08,4865.8,4900,4869,4900,41435,4900
2017-09-11,4900,4992.3,4935,4936,8936,4936
2017-09-12,4936,5000,4970,5000,93111,5000
2017-09-13,5000,5150,5001.4,5150,43970,5150
2017-09-14,5150,5200,5200,5200,7911,5200
2017-09-20,5200,5250,5200,5250,34949,5250
2017-09-21,5250,5250,5250,5250,10526,5250
2017-09-22,5250,5301,5249.9,5301,20380,5301
2017-09-25,5301,5350,5301,5350,15448,5350
2017-09-26,5350,5400,5350,5400,192499,5400
2017-09-27,5400,5500,5400,5500,42936,5500
2017-09-29,5500,5471,5444,5450,273250,5450
2017-10-02,5450,5500,5500,5500,799,5500
2017-10-03,5500,5525,5500,5525,7875,5525
2017-10-04,5525,5530,5525,5530,40000,5530
2017-10-05,5530,5531,5530.1,5531,30371,5531
2017-10-10,5531,5531.2,5531,5531,47520,5531
2017-10-11,5531,5531,5530,5531,94077,5531
2017-10-12,5531,5689,5600,5689,5535,5689
2017-10-13,5689,5689,5625,5674.1,238630,5674.1
2017-10-16,5674.1,5700.1,5700,5700,53936,5700
2017-10-17,5700,5650,5625,5639.5,15232,5639.5
2017-10-18,5639.5,5680,5680,5680,13437,5680
2017-10-19,5680,5685,5600,5616.4,48272,5616.4
2017-10-20,5616.4,5750,5559,5736.4,580766,5736.4
