date,open,high,low,close,volume,adj_close
2009-09-28,9000,9000,9000,9000,1685,9000
2009-12-21,9000,9000,9000,9000,19786,9000
2010-02-15,9000,9001,9001,9001,717,9001
2010-03-24,9001,10001,10001,10001,1010,10001
2010-03-25,10001,10100,10100,10100,390,10100
2010-03-31,10100,10100,10100,10100,1784,10100
2010-05-26,10100,10111,10111,10111,546,10111
2010-06-14,10111,10500,10500,10500,106,10500
2010-06-15,10500,10500,10500,10500,590,10500
2011-03-07,10500,10500,10500,10500,196,10500
2011-03-16,10500,10500,10500,10500,1000,10500
2011-03-29,10500,10500,10500,10500,200,10500
2011-05-10,10500,10500,10500,10500,800,10500
2011-08-10,10500,10500,10500,10500,633,10500
2011-10-04,10500,10500,10500,10500,700,10500
2011-10-05,10500,10500,10500,10500,300,10500
2011-12-15,10500,10500,10500,10500,202,10500
2011-12-19,10500,10400,10400,10400,221,10400
2012-07-20,10400,10500,10500,10500,67,10500
2012-07-26,10500,13000,13000,13000,722,13000
2012-10-26,13000,13000,13000,13000,2,13000
2013-01-02,13000,13010,13010,13010,38,13010
2013-01-04,13010,13050,13050,13050,623,13050
2013-01-08,13050,13100,13100,13100,200,13100
2013-04-08,13100,13100,13100,13100,520,13100
2013-06-24,13100,12000,12000,12000,62,12000
2013-07-30,12000,12500,12500,12500,3796,12500
2013-09-11,12500,12500,12500,12500,421,12500
2013-12-06,12500,12500,12500,12500,600,12500
2014-01-03,12500,12500,12500,12500,500,12500
2014-01-09,12500,12500,12500,12500,520,12500
2014-01-28,12500,12000,12000,12000,972,12000
2014-12-12,12000,12000,12000,12000,19299,12000
2015-04-10,12000,12000,12000,12000,840,12000
2015-04-13,12000,12000,12000,12000,143,12000
2015-04-14,12000,12000,12000,12000,2500,12000
2015-04-21,12000,12500,12500,12500,1741,12500
2015-05-13,12500,12500,12500,12500,1000,12500
2015-10-09,12500,12490,12490,12490,96,12490
2016-04-05,12490,12500,12500,12500,104,12500
2016-04-11,12500,12500,12500,12500,28,12500
2016-05-11,12500,12500,12500,12500,100,12500
2016-09-08,12500,12500,12500,12500,50,12500
2016-11-28,12500,12500,12500,12500,23,12500
2017-01-03,12500,12500,12500,12500,27,12500
2017-03-24,12500,12400,12400,12400,936,12400
2017-04-25,12400,12400,12400,12400,100,12400
2017-08-30,12400,12400,12400,12400,20,12400
2017-09-13,12400,12400,12400,12400,123,12400
2017-10-04,12400,12400,12400,12400,8,12400
2018-02-26,12400,12400,12400,12400,100,12400
2018-04-26,12400,12400,12400,12400,7,12400
2019-09-10,12400,10999,10999,10999,633,10999
2019-09-12,10999,10999,10999,10999,2,10999
2019-10-14,10999,12296,11000,12296,23926,12296
2019-10-22,12296,12296,12296,12296,0,12296
2019-11-19,12296,12296,12296,12296,0,12296
2019-11-20,12296,12296,12296,12296,0,12296
2019-11-21,12296,12296,12296,12296,0,12296
2019-11-23,12296,12296,12296,12296,0,12296
2019-12-20,12296,12296,12296,12296,0,12296
2020-02-12,12296,12296,12296,12296,7,12296
2020-03-13,12296,12296,12296,12296,38,12296
2020-04-09,12296,12296,12296,12296,0,12296
2020-04-18,12296,12296,12296,12296,0,12296
2020-07-13,12296,12296,12296,12296,8,12296
2020-11-13,12296,12296,12296,12296,10,12296
2021-01-06,12296,12296,12296,12296,44,12296
2021-01-20,12296,10500,10500,12296,59,12296
2021-01-21,12296,12296,12296,12296,10,12296
2021-07-05,12296,11950,11950,11950,645,11950
