date,open,high,low,close,volume,adj_close
2009-06-03,6690,6690,6470,6606.4,758506,6606.4
2009-06-04,6600,6680.1,6600,6664.6,722287,6664.6
2009-06-05,6700,6751,6620,6676.1,471453,6676.1
2009-06-08,6600,6760,6550,6595,469312,6595
2009-06-09,6600,6761,6540,6598.3,540039,6598.3
2009-06-10,6602,6650,6540,6602.9,336841,6602.9
2009-06-11,6599,6690,6550,6651.7,332396,6651.7
2009-06-12,6651.7,6690,6590,6672.6,294845,6672.6
2009-06-15,6672.6,6710,6585,6704.7,610354,6704.7
2009-06-16,6704.7,6730,6600,6694.9,531012,6694.9
2009-06-17,6679,6684,6550,6644.4,484305,6644.4
2009-06-18,6644.4,6724,6549.9,6710.2,561647,6710.2
2009-06-19,6720,6740,6650,6712.9,901711,6712.9
2009-06-22,6715,6720,6410,6419.3,264265,6419.3
2009-06-23,6420,6470,6250,6278.7,277478,6278.7
2009-06-24,6252,6500,6220,6245.1,470477,6245.1
2009-06-25,6245.1,6420,6200,6402,280677,6402
2009-06-26,6402,6400,6355,6359.5,252098,6359.5
2009-06-30,6400,6400,6320,6350.9,162007,6350.9
2009-07-01,6360,6500,6360,6431.9,162081,6431.9
2009-07-02,6431.9,6400,6379,6400,105607,6400
2009-07-03,6400,6450,6399,6450,63974,6450
2009-07-06,6450,6450,6360,6426.5,90512,6426.5
2009-07-07,6426.5,6430,6280,6312.2,254812,6312.2
2009-07-08,6310,6440,6310,6311.3,175577,6311.3
2009-07-09,6311.3,6391,6300,6320.3,356020,6320.3
2009-07-10,6320.3,6320,6200,6320,221349,6320
2009-07-13,6320,6401,6300,6400.7,151663,6400.7
2009-07-14,6400.7,6510,6336.7,6478.6,333939,6478.6
2009-07-15,6475,6650,6500,6626.7,310583,6626.7
2009-07-17,6650,6650,6550,6641.4,170178,6641.4
2009-07-20,6641.4,6890,6610,6861.5,432734,6861.5
2009-07-21,6865,7020,6804,6900,907916,6900
2009-07-22,6900,6900,6780,6829.3,342284,6829.3
2009-07-23,6829.3,6970,6770,6848.9,907238,6848.9
2009-07-24,6848.9,6945,6848,6916.6,314429,6916.6
2009-07-27,6930,6950,6800,6817.6,276370,6817.6
2009-07-28,6817.6,6800,6700,6730.2,173652,6730.2
2009-07-29,6730.2,6850,6550,6647.3,544971,6647.3
2009-07-30,6650,6850,6650,6746.9,308686,6746.9
2009-07-31,6746.9,6850,6620,6630.7,376156,6630.7
2009-08-03,6630.7,6830,6630,6777.4,380386,6777.4
2009-08-04,6777,6860,6750,6850,455674,6850
2009-08-05,6860,6900,6770,6843.1,725256,6843.1
2009-08-06,6850,6886,6710,6738.3,235174,6738.3
2009-08-07,6741,6826,6725,6726.9,458571,6726.9
2009-08-10,6726.9,6753,6650,6655.1,631299,6655.1
2009-08-11,6655.1,6785,6600,6770.3,372701,6770.3
2009-08-12,6770.3,6820,6720,6796.7,1166769,6796.7
2009-08-13,6840,6930,6798,6926.5,2901396,6926.5
2009-08-14,6930,6950,6794.2,6946.1,634136,6946.1
2009-08-17,6820,6880,6700,6819.6,424267,6819.6
2009-08-18,6819.6,6880,6790,6803.3,486730,6803.3
2009-08-19,6799,6831,6710,6762.2,258891,6762.2
2009-08-20,6762.2,6820.1,6720,6740.2,290163,6740.2
2009-08-21,6702,6810,6702,6767.5,178621,6767.5
2009-08-24,6767.5,6830,6730.1,6749.3,217515,6749.3
