date,open,high,low,close,volume,adj_close
2018-07-27,1435,1435,1400.1,1402.7,281806200,1402.7
2018-07-30,1410,1415,1400,1410.1,12949530,1410.1
2018-07-31,1414.7,1432,1411.8,1420.1,8801941,1420.1
2018-08-01,1420.1,1445.3,1423.1,1425,8624787,1425
2018-08-02,1425,1431,1416.2,1430,3627880,1430
2018-08-03,1430,1439,1430,1436.3,1124449,1436.3
2018-08-06,1440,1440,1430,1435.1,2985226,1435.1
2018-08-07,1435.1,1440,1435,1435.1,1626257,1435.1
2018-08-08,1435.1,1440,1435,1437,1484120,1437
2018-08-09,1437,1443,1436.1,1442.4,4907139,1442.4
2018-08-10,1442.4,1444.9,1436.1,1442.2,1762813,1442.2
2018-08-13,1442.2,1447,1421,1435.7,2617719,1435.7
2018-08-14,1435.7,1445,1438,1442.2,6331647,1442.2
2018-08-16,1442.2,1446,1440,1445,6794651,1445
2018-08-17,1445,1449.5,1440,1445.1,949329,1445.1
2018-08-20,1445.1,1447,1440,1445,1877746,1445
2018-08-21,1445,1445,1440,1442.9,1726227,1442.9
2018-08-22,1442.9,1448,1441.1,1445,549757,1445
2018-08-23,1445,1447,1435,1445,484277,1445
2018-08-24,1445,1445.2,1430.2,1444.6,2169242,1444.6
2018-08-27,1444.6,1446.6,1444,1446.5,3663431,1446.5
2018-08-28,1446.5,1448.6,1446.5,1447.1,608883,1447.1
2018-08-29,1447.1,1453,1443,1448,519975,1448
2018-08-30,1450,1450,1435,1440.3,1526586,1440.3
2018-08-31,1440.3,1440.1,1429.5,1434.8,3279046,1434.8
2018-09-03,1434.8,1445,1433,1438.1,1449910,1438.1
2018-09-04,1438.1,1439.9,1429,1429.5,964237,1429.5
2018-09-05,1429.5,1435.1,1429.9,1431,2924689,1431
2018-09-06,1431,1442.1,1435,1440.2,3715426,1440.2
2018-09-07,1440.2,1445,1439,1444.6,2175536,1444.6
2018-09-10,1444.6,1445,1432,1439.3,350382,1439.3
2018-09-11,1439.3,1440,1436,1439,1645324,1439
2018-09-12,1439,1441,1436.1,1436.1,1173273,1436.1
2018-09-13,1436.1,1444,1430.1,1431.8,1781998,1431.8
2018-09-14,1431.8,1445,1432.1,1432.1,366601,1432.1
2018-09-20,1432,1445,1430,1442,1007339,1442
2018-09-21,1442,1445,1440,1443.2,584080,1443.2
2018-09-24,1443.2,1444,1435,1435,1531635,1435
2018-09-25,1435,1447.9,1435,1444.9,614943,1444.9
2018-09-26,1444.9,1460,1443.5,1453.2,3744721,1453.2
2018-09-27,1453.2,1451,1443,1445.8,1138327,1445.8
2018-09-28,1445.8,1444,1435.1,1443.3,202499,1443.3
2018-10-01,1443.3,1464,1444.8,1459.9,619688,1459.9
2018-10-02,1459.9,1464,1445,1459.8,2669039,1459.8
2018-10-03,1462.6,1469,1459,1466,1190386,1466
2018-10-04,1466,1468,1459,1459.9,2004951,1459.9
2018-10-05,1459.9,1470,1456,1458.1,426222,1458.1
2018-10-08,1458.1,1461,1457.9,1460,1423504,1460
2018-10-09,1460,1465,1457,1464.7,890168,1464.7
2018-10-10,1464.7,1464.9,1451,1459.4,642395,1459.4
2018-10-11,1459,1470,1440.5,1450,3645770,1450
2018-10-12,1450,1450.1,1440,1448.2,853457,1448.2
2018-10-16,1448.2,1450,1435,1449.2,3118974,1449.2
2018-10-17,1449.2,1442,1431,1439.9,3072730,1439.9
2018-10-18,1439.9,1442,1432,1436.7,1298478,1436.7
2018-10-19,1436.7,1440,1421,1435.6,1744527,1435.6
2018-10-22,1435.6,1440.1,1430,1431.1,4116578,1431.1
2018-10-23,1431.1,1435,1426,1429.6,2311665,1429.6
2018-10-24,1429.6,1440,1427,1434,2933439,1434
2018-10-25,1434,1435,1423,1430,1121022,1430
2018-10-26,1430,1436,1420,1430,3468664,1430
2018-10-29,1430,1430.1,1416,1426.7,3874080,1426.7
2018-10-30,1426.7,1427,1401,1419.9,602487,1419.9
2018-10-31,1420,1425,1420,1423.9,522685,1423.9
2018-11-05,1423.9,1435,1423.9,1433.9,798620,1433.9
2018-11-06,1433.9,1458.8,1434,1442.8,1464493,1442.8
2018-11-07,1442.8,1449,1438.9,1446.4,576759,1446.4
2018-11-08,1446.4,1470,1445.9,1459.7,693954,1459.7
2018-11-09,1459.7,1460,1448,1458.7,370832,1458.7
2018-11-12,1458.7,1465,1430,1459.9,3163829,1459.9
2018-11-13,1459.9,1459.9,1449.9,1459.3,897581,1459.3
2018-11-14,1459.3,1460,1440.1,1452.9,623469,1452.9
2018-11-15,1452.9,1454,1441,1451.6,59365,1451.6
2018-11-16,1451.6,1450,1431,1447.2,336805,1447.2
2018-11-19,1447.2,1453.1,1433,1440.6,574611,1440.6
2018-11-20,1440.6,1450,1430,1441.4,1633457,1441.4
2018-11-21,1441.4,1458,1433,1447.6,2008411,1447.6
2018-11-22,1447.6,1447.6,1440.1,1444.2,353223,1444.2
2018-11-23,1444.2,1457,1440.6,1454.2,2828204,1454.2
2018-11-26,1454.2,1460,1445,1457.7,1969084,1457.7
2018-11-27,1457.7,1457,1445,1453,3643415,1453
2018-11-28,1453,1465,1443.2,1455.6,522360,1455.6
2018-11-29,1455.6,1460,1445,1459.1,231668,1459.1
2018-11-30,1459.1,1465,1450,1460.6,1116638,1460.6
2018-12-03,1460.6,1490,1455,1467.8,827336,1467.8
2018-12-04,1467.8,1480,1455,1466,887652,1466
2018-12-05,1466,1473,1460,1469,389604,1469
2018-12-06,1469,1465.1,1455,1465,721398,1465
2018-12-07,1465,1475,1455,1475,236347,1475
2018-12-10,1475,1478,1452.1,1461,454566,1461
2018-12-11,1461,1477,1461,1475.9,682227,1475.9
2018-12-12,1475.9,1475,1465,1471.3,290866,1471.3
2018-12-13,1471.3,1476,1465,1468,929608,1468
2018-12-14,1468,1465.1,1455,1460.1,1078578,1460.1
2018-12-17,1460.1,1468.8,1455,1459.7,935529,1459.7
2018-12-18,1459.7,1500,1460,1487.3,787433,1487.3
2018-12-19,1487.3,1489,1461,1472.8,731027,1472.8
2018-12-20,1472.8,1476,1420.1,1455.2,753783,1455.2
2018-12-21,1455.2,1476,1430,1458.6,7097451,1458.6
2018-12-24,1458.6,1458.6,1445,1445,218990,1445
2018-12-26,1445,1459,1440,1440,657284,1440
2018-12-27,1440,1455,1433,1435.9,1749658,1435.9
2018-12-28,1435.9,1449,1437.7,1441.7,616238,1441.7
2019-01-02,1441.7,1455,1436,1438.2,597231,1438.2
2019-01-03,1438.2,1470,1441,1459.3,757377,1459.3
2019-01-04,1459.3,1480.1,1450,1479.9,858073,1479.9
2019-01-07,1479.9,1486,1475,1480,1126615,1480
2019-01-08,1480,1490,1479.9,1485.3,501415,1485.3
2019-01-09,1485.3,1487,1480,1483.2,530993,1483.2
2019-01-10,1483.2,1497.9,1475,1492.5,717923,1492.5
2019-01-11,1492.5,1495,1490,1495.3,772125,1495.3
2019-01-14,1495.3,1495,1482,1493.8,417811,1493.8
2019-01-15,1495,1505,1486.2,1490.7,1147226,1490.7
2019-01-16,1490.7,1530,1490.7,1522.5,843861,1522.5
2019-01-17,1522.5,1519,1480,1511.8,964139,1511.8
2019-01-18,1511.8,1529,1510,1515.4,1561436,1515.4
2019-01-21,1515.4,1535,1510,1530.3,762526,1530.3
2019-01-22,1530.3,1527.9,1503,1507.2,1542094,1507.2
2019-01-23,1507.2,1515,1509,1513.6,239756,1513.6
2019-01-24,1513.6,1520,1505,1520,363245,1520
2019-01-25,1520,1525,1503,1510.1,719536,1510.1
