date,open,high,low,close,volume,adj_close
2019-01-25,210,224,210,213.35,235221700,213.35
2019-01-28,213.35,215,209.5,210,5273500,210
2019-01-29,211,212,210,210,1950792,210
2019-01-30,210,213.29,209.5,209.99,2447584,209.99
2019-01-31,209.99,211,210.1,210.88,501612,210.88
2019-02-01,210.88,210,210,210,796082,210
2019-02-04,210,212,210,211.03,60039,211.03
2019-02-05,211.03,210.99,210.99,211.03,4970,211.03
2019-02-06,211.03,208.99,207,207.77,149918,207.77
2019-02-07,207.77,208.38,208.38,208.38,1423215,208.38
2019-02-08,208,208.98,207,208.16,139182,208.16
2019-02-12,208.16,209,206.91,209,4193383,209
2019-02-13,209,211,209,209,6698660,209
2019-02-14,209,210,208,209,1584020,209
2019-02-18,209,208,207.74,207.74,102628,207.74
2019-02-20,207.74,208.99,205.01,208.25,136820,208.25
2019-02-21,208.25,208.25,208.25,208.25,1398,208.25
2019-02-22,208.25,210,207,209.01,69684,209.01
2019-02-25,209.01,210,209,210,359703,210
2019-03-07,210,210,205,205,2766153,205
2019-03-08,205,210,207.96,208.95,184134,208.95
2019-03-11,208.95,208.95,208.95,208.95,1428,208.95
2019-03-13,208.95,205.9,205,205.27,243902,205.27
2019-03-15,205.27,205,205,205.27,24358,205.27
2019-03-18,205.27,205.9,205,205.9,525000,205.9
2019-03-19,205.9,205.9,205.9,205.9,5000,205.9
2019-03-20,205.9,206.99,200,201.22,841422,201.22
2019-03-21,201.22,206.99,203.1,206.99,500000,206.99
2019-03-29,206.99,209,207,207.92,173961,207.92
2019-04-04,207.92,203.5,203.5,203.5,122850,203.5
2019-04-05,203.5,203.5,203.5,203.5,300,203.5
2019-04-08,203.5,203.89,201.01,201.16,1086554,201.16
2019-04-09,201.16,208.5,201.01,208.5,714285,208.5
2019-04-10,208.5,208.5,205,205,665853,205
2019-04-12,205,202,202,202,75027,202
2019-04-16,202,200,200,202,22618,202
2019-04-18,202,202.8,202.8,202,15000,202
2019-04-22,202,202,200,202,11387,202
2019-04-23,202,202,202,202,4444,202
2019-04-24,202,200,200,200,751554,200
2019-04-30,200,200.5,195.02,200,1998226,200
2019-05-03,200,199.99,195,199.99,356893,199.99
2019-05-06,199.99,199.99,199.99,199.99,1938,199.99
2019-05-07,199.99,197,196.99,197,230846,197
2019-05-10,197,198.99,196.99,198.99,15560820,198.99
2019-05-13,198.99,199,199,199,49956,199
2019-05-16,199,199,199,199,5007,199
2019-05-17,199,199,199,199,5007,199
2019-05-24,199,195,195,195,2541594,195
2019-05-28,195,195,195,195,100000,195
2019-05-29,195,194.99,192.16,194.99,560000,194.99
2019-05-30,194.99,192.14,192.14,192.14,223228,192.14
2019-06-03,192.14,192.15,188.95,191.98,365064,191.98
2019-06-04,191.98,192,188,190,5505436,190
2019-06-10,190,188,188,188,80957,188
2019-06-11,188,188,188,188,9523,188
2019-06-12,188,188,188,188,1330477,188
2019-06-13,188,185.5,185.5,185.5,100963,185.5
2019-06-14,185.5,185.5,185.5,185.5,2752663,185.5
2019-06-18,185.5,188.2,188,188.2,138609,188.2
2019-06-19,188.2,189,188.01,188.01,1181626,188.01
2019-06-20,188.01,191,188,190.98,237770,190.98
2019-06-21,190.98,194.34,194.15,194.36,246708,194.36
2019-06-24,194.36,198,197.78,197.9,149535,197.9
2019-06-25,197.9,201.9,199,200.9,673117,200.9
2019-06-26,200.9,200.9,200.9,200.9,70237,200.9
2019-06-27,200.9,200,200,200.9,5551,200.9
2019-06-28,200.9,200.99,200,200.99,311781,200.99
2019-07-04,200.99,202,202,202,500000,202
2019-07-05,202,199.99,199.24,199.99,334091,199.99
2019-07-08,199.99,199.99,199.99,199.99,2301,199.99
2019-07-12,199.99,199,196.36,199,463132,199
2019-07-15,199,199.5,199.5,199,20000,199
2019-07-18,199,195.5,195.5,195.5,71970,195.5
2019-07-19,195.5,196,196,196,300000,196
2019-07-24,196,194.95,194.95,194.95,115127,194.95
2019-07-25,194.95,194,192.29,193.99,335928,193.99
2019-07-26,193.99,196,191.16,196,46000,196
2019-07-30,196,196,196,196,167979,196
2019-07-31,196,197,197,197,60745,197
2019-08-01,197,197,194.31,195.94,184666,195.94
2019-08-02,195.94,197,194,194.64,306113,194.64
2019-08-05,194.64,191,191,191,157068,191
2019-08-06,191,194.17,194.17,194.17,72463,194.17
2019-08-08,194.17,200,193.43,194.84,766828,194.84
2019-08-09,194.84,201.49,195.51,197.6,177912,197.6
2019-08-21,197.6,192.45,192.28,192.45,97961,192.45
2019-08-23,192.45,190,185,187.32,439574,187.32
2019-08-26,187.32,187.32,187.32,187.32,1900,187.32
2019-08-28,187.32,187.32,187.32,187.32,770,187.32
2019-08-29,187.32,182.55,182,182.55,604604,182.55
2019-08-30,182.55,187,182.8,184.19,199350,184.19
2019-09-04,184.19,187.43,187.43,187.43,75069,187.43
2019-09-06,187.43,186.17,186.17,186.17,75577,186.17
2019-09-09,186.17,188,186.17,188,107428,188
2019-09-10,188,189,186,186.19,93446,186.19
2019-09-12,186.19,187.65,185,185.03,5008925,185.03
2019-09-23,185.03,186,186,186,1500000,186
2019-09-27,186,188.71,187,187.72,175864,187.72
2019-09-30,187.72,190,187.72,188.7,107201,188.7
2019-10-01,188.7,192,186,187.28,571265,187.28
2019-10-02,187.28,190,189.9,190,1800000,190
2019-10-08,190,190,190,190,5238,190
2019-10-09,190,190,187.5,190,73128,190
2019-10-10,190,190,190,190,1700000,190
2019-10-11,190,193.25,187.7,193.23,245616,193.23
2019-10-14,193.23,195,193,193.19,4659286,193.19
2019-10-15,193.19,196,193,193.58,451415,193.58
2019-10-16,193.58,200,196.75,199.99,1076201,199.99
2019-10-17,199.99,199.9,199.9,199.9,33300,199.9
2019-10-18,199.9,199.99,199.99,199.99,170800,199.99
2019-10-21,199.99,199.9,187.07,190.27,226525,190.27
2019-10-22,190.27,196.13,190.5,193.99,306574,193.99
2019-10-24,193.99,196.23,196.23,196.23,71702,196.23
2019-10-25,196.23,198,198,198,71702,198
2019-11-04,198,194.42,194.23,194.23,95563,194.23
2019-11-05,194.23,188.61,188.4,188.47,216554,188.47
2019-11-08,188.47,185.06,185.06,188.47,17856,188.47
2019-11-12,188.47,183.02,179,180.99,577132,180.99
2019-11-13,180.99,180,171,176.66,326374,176.66
2019-11-14,176.66,175.65,170.59,175.65,136598,175.65
2019-11-15,175.65,184.45,183,183,857015,183
2019-11-19,183,190,184.92,186.59,222096,186.59
2019-11-20,186.59,186.59,186.59,186.59,0,186.59
2019-11-21,186.59,182,181.84,181.92,166145,181.92
