date,open,high,low,close,volume,adj_close
2009-06-11,1327122,800000,800000,800000,4,800000
2009-12-18,800000,880000,880000,880000,4,880000
2009-12-21,880000,900000,880000,900000,4,900000
2010-02-15,900000,850000,850000,850000,4,850000
2010-03-31,850000,830000,830000,830000,4,830000
2010-04-19,830000,800000,800000,800000,4,800000
2010-08-19,900000,900000,900000,900000,2,900000
2012-04-18,900000,800000,800000,800000,4,800000
2014-09-01,800000,800000,800000,800000,4,800000
2014-12-26,800000,850000,850000,850000,4,850000
2018-02-15,850000,700000,700000,700000,5,700000
2018-05-17,700000,700000,700000,700000,4,700000
2018-06-28,700000,700000,700000,700000,5,700000
2018-09-11,700000,800000,800000,800000,4,800000
2018-11-26,800000,800000,800000,800000,4,800000
2019-09-11,800000,801000,801000,801000,4,801000
2019-10-22,801000,801000,801000,801000,0,801000
2019-11-19,801000,801000,801000,801000,0,801000
2019-11-20,801000,801000,801000,801000,0,801000
2019-11-21,801000,801000,801000,801000,0,801000
