date,open,high,low,close,volume,adj_close
2009-06-03,95.18877,94.3074,94.3074,94.3074,44604,94.3074
2009-06-05,94.30745,88.1378,87.2564,88.1378,66694,88.1378
2009-06-08,88.13771,88.1289,88.1289,88.1289,49018,88.1289
2009-06-09,88.12893,89.9005,89.9005,89.9005,48053,89.9005
2009-06-10,89.90058,89.9093,89.0192,89.0192,47797,89.0192
2009-06-11,89.0192,89.0192,89.0192,89.0192,10911,89.0192
2009-06-12,89.0192,89.0192,89.0192,89.0192,1006,89.0192
2009-06-15,89.01913,88.0408,88.0408,88.0408,3003606,88.0408
2009-06-17,88.04082,87.2564,87.2564,87.2564,18587,87.2564
2009-06-18,87.25645,89.0192,89.0192,89.0192,6595,89.0192
2009-06-19,89.0192,89.0192,89.0192,89.0192,32109,89.0192
2009-06-26,89.0192,89.0192,89.0192,89.0192,129163500,89.0192
2009-07-02,89.01916,79.324,75.7985,79.324,1686637,79.324
2009-07-03,79.324,79.324,79.324,79.324,12611,79.324
2009-07-07,79.32393,81.0868,76.6798,76.6798,2613203,76.6798
2009-07-08,76.6798,76.6798,76.6798,76.6798,15450,76.6798
2009-07-13,76.67988,76.6798,75.7985,75.7985,2294079,75.7985
2009-07-15,75.79859,83.731,83.731,83.731,5900,83.731
2009-07-17,83.73089,79.324,79.324,79.324,165525,79.324
2009-07-20,79.324,79.324,77.5612,79.324,360377,79.324
2009-07-21,79.32397,79.324,78.0636,78.0636,238263,78.0636
2009-07-22,78.06363,79.324,78.5308,79.324,1388792,79.324
2009-07-23,79.324,79.324,79.324,79.324,453835,79.324
2009-07-28,79.324,79.324,79.324,79.324,2806,79.324
2009-07-30,79.32401,76.6798,76.6798,76.7592,56729,76.7592
2009-07-31,76.75919,79.324,79.324,79.324,135939,79.324
2009-08-03,79.32401,79.3152,79.3152,79.3152,22691,79.3152
2009-08-04,79.3152,79.3152,79.3152,79.3152,2723,79.3152
2009-08-05,79.31516,79.324,78.0019,78.0019,76865,78.0019
2009-08-06,78.00189,78.0019,77.5612,77.5612,3234605,77.5612
2009-08-07,77.56123,75.0053,74.9171,74.9171,7261001,74.9171
2009-08-10,74.91708,74.9259,74.9259,74.9259,2005131,74.9259
2009-08-11,74.9259,74.9259,74.9259,74.9259,1626,74.9259
2009-08-12,74.92589,74.9347,74.9259,74.9347,800740,74.9347
2009-08-13,74.9347,74.9347,74.9347,74.9347,306,74.9347
2009-08-14,74.93475,77.5612,75.7985,75.7985,1513238,75.7985
2009-08-17,75.79842,76.6798,76.6798,76.6798,5673,76.6798
2009-08-18,76.67991,81.0868,76.6798,78.143,1149693,78.143
2009-08-19,78.143,77.5612,77.1206,77.1206,2844043,77.1206
2009-08-20,77.12049,76.6798,76.6798,76.6798,19391,76.6798
2009-08-21,76.67986,75.3578,75.3578,75.3578,9644,75.3578
2009-08-25,75.3578,75.3578,75.3578,75.3578,1134,75.3578
2009-08-26,75.35786,74.0358,74.0358,74.0358,567294,74.0358
2009-08-27,74.03568,74.0358,73.1543,73.1543,5517998,73.1543
