date,open,high,low,close,volume,adj_close
2013-05-30,97.5,97.5,97.5,97.5,153,97.5
2013-06-04,97.5,98.41,98.41,98.41,101,98.41
2013-06-18,98.41,99.77,99.77,99.77,153,99.77
2013-08-22,99.77,95.4,95.4,95.4,270,95.4
2013-08-28,95.4,96,96,96,270,96
2013-11-15,96,97.12,97.12,97.12,101,97.12
2014-07-17,97.12,98.7,98.7,98.7,300,98.7
2014-11-19,98.7,97.05,97.05,97.05,300,97.05
2016-07-22,97.05,127.46,127.46,127.46,325,127.46
2016-08-05,127.46,119.37,119.04,119.12,2163,119.12
2016-08-08,119.12,118.7,118.24,118.24,256,118.24
2016-08-10,118.24,118,118,118,63,118
2016-08-12,118,119.97,119.97,119.97,83,119.97
2016-08-16,119.97,118.3,118.18,118.18,100,118.18
2016-08-17,118.18,116.77,116.77,116.77,1267,116.77
2016-08-19,116.77,116.2,116.2,116.2,60,116.2
2016-08-22,116.2,115.63,115.63,115.63,42,115.63
2016-08-24,115.63,115.2,115.1,115.1,84,115.1
2016-08-25,115.1,115.24,115.18,115.24,78,115.24
2016-08-26,115.24,114.97,114.97,114.97,200,114.97
2016-08-30,114.97,115.28,114.72,115.28,356,115.28
2016-09-09,115.28,115.62,115.16,115.16,107,115.16
2016-09-21,115.16,116.62,116.62,116.62,18,116.62
2016-09-22,116.62,117.53,117.53,117.53,86,117.53
2016-09-28,117.53,115.17,115.17,115.17,86,115.17
2016-09-30,115.17,115.28,115.26,115.28,200,115.28
2016-10-19,115.28,111.4,111.31,111.31,149,111.31
2016-10-21,111.31,113.33,113.33,113.33,325,113.33
2016-11-14,113.33,117.82,115.2,117.82,119,117.82
2016-11-15,117.82,118.11,117.8,118.11,102,118.11
2016-11-16,118.11,119.16,119.07,119.16,594,119.16
2016-11-25,119.16,120.49,120.49,120.49,78,120.49
2016-11-28,120.49,121.16,121,121,192,121
2016-12-07,121,118.91,118.91,118.91,156,118.91
2016-12-12,118.91,121.5,121.5,121.5,40,121.5
2016-12-13,121.5,122.67,122.67,122.67,1140,122.67
2016-12-14,122.67,123.37,122.98,122.98,643,122.98
2016-12-15,122.98,123.27,122.97,123.27,266,123.27
2016-12-16,123.27,123.01,123.01,123.01,54,123.01
2017-01-17,123.01,120.71,120.71,120.71,6,120.71
2017-02-06,120.71,124.52,124.52,124.52,37,124.52
2017-04-03,124.52,129.46,129.46,129.46,25,129.46
2017-05-10,129.46,144.23,144.23,144.23,63,144.23
2017-05-11,144.23,143.88,143.88,143.88,86,143.88
2017-05-17,143.88,146.95,146.95,146.95,40,146.95
2017-06-16,146.95,152.1,152.1,152.1,78,152.1
2017-07-06,152.1,152.99,152.99,152.99,11,152.99
2017-08-21,152.99,158.52,158.52,158.52,21,158.52
2017-12-26,158.52,171.45,171.45,171.45,300,171.45
2018-01-17,171.45,175.53,175.53,175.53,58,175.53
2018-09-13,175.53,162.27,162.27,162.27,58,162.27
2018-12-20,162.27,176.5,176.5,176.5,300,176.5
2019-01-02,176.5,176.27,175.91,175.91,12,175.91
2019-08-09,175.91,221.35,219.34,221.35,86,221.35
2019-09-03,221.35,216.38,216.38,216.38,3,216.38
2019-09-04,216.38,216.95,216.95,216.95,4,216.95
2019-09-11,216.95,209.85,209.85,209.85,145,209.85
2019-09-16,209.85,208.98,208.98,208.98,5,208.98
2019-09-30,208.98,218.03,218.03,218.03,5,218.03
2019-10-17,218.03,207.5,207.5,207.5,145,207.5
2019-11-04,207.5,189.85,189.85,207.5,150,207.5
2019-11-14,207.5,193.56,193.56,207.5,41,207.5
2019-12-05,207.5,193.78,193.78,207.5,17,207.5
2019-12-12,207.5,196.36,196.36,196.36,145,196.36
2019-12-17,196.36,198.52,197.65,197.9,593,197.9
2019-12-18,197.9,194.91,194.91,197.9,33,197.9
2019-12-19,197.9,196.21,196.21,196.21,65,196.21
2020-01-13,196.21,206.51,206.51,206.51,101,206.51
2020-01-15,206.51,209.08,209.08,209.08,54,209.08
2020-01-16,209.08,210.74,209.4,210.69,339,210.69
2020-01-17,210.69,212.58,212.58,210.69,34,210.69
2020-01-22,210.69,212.18,212.18,212.18,66,212.18
2020-01-23,212.18,212.3,212.29,212.29,78,212.29
2020-01-24,212.29,212.21,212.05,212.29,23,212.29
2020-01-27,212.29,210.47,210.47,212.29,13,212.29
2020-01-28,212.29,211.9,211.9,212.29,6,212.29
2020-01-30,212.29,213.03,213.03,212.29,12,212.29
2020-01-31,212.29,216.55,216.55,216.55,347,216.55
2020-02-04,216.55,215.4,215.4,215.4,111,215.4
2020-02-06,215.4,213.58,213.37,213.42,44,213.42
2020-02-18,213.42,216.2,215.8,216.15,397,216.15
2020-03-03,216.15,201.11,200.6,200.6,78,200.6
2020-03-04,200.6,203.95,203.95,200.6,2,200.6
2020-03-05,200.6,202.55,202.55,202.55,65,202.55
2020-03-12,202.55,171,171,202.55,3,202.55
2020-04-07,202.55,179.22,179.22,179.22,55,179.22
2020-06-05,179.22,198.81,198.81,198.81,55,198.81
2020-06-10,198.81,196.3,196.3,196.3,66,196.3
2020-06-26,196.3,181.11,181.11,181.11,150,181.11
2020-07-24,181.11,197.67,197.67,197.67,553,197.67
2020-07-28,197.67,196.81,196.81,196.81,340,196.81
2020-07-30,196.81,195.76,195.76,195.76,434,195.76
2020-08-03,195.76,194.55,194.55,194.55,252,194.55
2020-08-04,194.55,198.91,198.91,198.91,322,198.91
2020-08-06,198.91,203.4,203.4,203.4,98,203.4
2020-08-28,203.4,213.55,213.55,203.4,15,203.4
2020-09-03,203.4,217.24,217.24,203.4,10,203.4
2020-09-14,203.4,219.53,219.53,203.4,5,203.4
2020-09-16,203.4,224.32,224.32,224.32,1037,224.32
2020-09-17,224.32,222.1,222.1,222.1,864,222.1
2020-10-14,222.1,227.36,227.36,227.36,12,227.36
2020-10-26,222.1,226.77,226.77,226.77,41,226.77
2020-11-04,226.77,218.97,218.97,218.97,30,218.97
2020-11-10,226.77,213,213,226.77,7,226.77
2020-11-13,226.77,214.6,214.6,226.77,20,226.77
2020-11-24,226.77,220.17,220.17,220.17,750,220.17
2020-12-18,220.17,214.64,214.64,214.64,20,214.64
2020-12-21,220.17,211.2,211.2,220.17,15,220.17
2020-12-22,220.17,211.67,211.67,211.67,20,211.67
2021-01-29,220.17,207.5,207.5,220.17,12,220.17
2021-02-08,220.17,213.25,213.25,213.25,30,213.25
2021-04-01,220.17,225.74,225.74,220.17,12,220.17
2021-06-17,220.17,235,235,235,92,235
2021-07-06,235,231.72,231.72,235,17,235
