date,open,high,low,close,volume,adj_close
2013-05-29,30.58,30.58,30.58,30.58,500,30.58
2013-06-24,30.58,28.5,28.5,28.5,500,28.5
2015-03-10,28.5,35.15,35.15,35.15,385,35.15
2015-03-11,35.15,34.28,34.28,34.28,290,34.28
2018-06-20,34.28,40.66,40.66,40.66,50,40.66
2018-07-31,40.66,43.3,43,43.3,1247,43.3
2018-10-23,43.3,40.92,40.92,40.92,50,40.92
2019-03-14,40.92,47.32,47.32,47.32,4,47.32
2019-08-05,47.32,53.62,53.62,53.62,84,53.62
2019-08-06,53.62,52.84,52.33,52.84,289,52.84
2019-08-07,52.84,52.79,52.79,52.79,4,52.79
2019-08-08,52.79,54.83,53.54,54.83,4802,54.83
2019-08-14,54.83,53.73,53.73,53.73,355,53.73
2019-08-29,53.73,55.07,55.07,55.07,572,55.07
2019-09-12,55.07,54.99,54.99,54.99,186,54.99
2019-09-13,54.99,54.43,54.43,54.43,427,54.43
2019-11-21,54.43,52.25,52.15,52.23,432,52.23
2019-12-17,52.23,54.04,54.04,52.23,39,52.23
2020-01-10,52.23,54.4,54.4,54.4,140,54.4
2020-01-14,54.4,54.18,54.15,54.17,3991,54.17
2020-01-15,54.17,54.9,54.9,54.17,84,54.17
2020-01-16,54.17,55.15,54.9,55.13,1407,55.13
2020-01-22,55.13,55.75,55.75,55.75,224,55.75
2020-03-03,55.75,55.3,55.3,55.3,358,55.3
2020-05-08,55.3,50.62,50.62,55.3,24,55.3
2020-06-10,55.3,52.74,52.74,52.74,224,52.74
2020-07-07,52.74,51.5,51.5,51.5,488,51.5
2020-07-08,51.5,51.33,51.33,51.5,58,51.5
2020-08-04,51.5,55.47,55.47,51.5,50,51.5
2020-09-10,51.5,57.96,57.96,51.5,25,51.5
2020-09-30,51.5,57.22,57.22,57.22,488,57.22
2020-10-23,57.22,56.98,56.98,56.98,75,56.98
2020-11-04,57.22,55,55,55,24,55
2021-03-02,57.22,53.34,53.34,53.34,188,53.34
2021-03-04,53.34,54.44,54.44,53.34,30,53.34
2021-05-06,53.34,61.77,61.77,61.77,324,61.77
2021-05-27,61.77,63.58,63.58,61.77,40,61.77
