date,open,high,low,close,volume,adj_close
2011-06-06,1.8125,1.8125,1.6111,1.8125,1984993,1.8125
2011-06-07,1.8125,2.9,2.0139,2.6535,55883730,2.6535
2011-06-08,2.658289,2.9806,2.2556,2.3256,31067180,2.3256
2011-06-09,2.325639,2.2556,2.1347,2.175,10192140,2.175
2011-06-10,2.174968,2.2958,2.2556,2.2958,4623371,2.2958
2011-06-13,2.2958,2.2958,2.2958,2.2958,107143,2.2958
2011-06-14,2.295833,1.8125,1.8125,1.8125,688972,1.8125
2011-06-15,1.8125,1.8528,1.6111,1.8125,18456360,1.8125
2011-06-16,1.812543,1.8931,1.8931,1.8931,2049844,1.8931
2011-06-17,1.8931,1.8931,1.8931,1.8931,1185152,1.8931
2011-06-20,1.8931,1.8931,1.8931,1.8931,368716,1.8931
2011-06-21,1.893106,1.8923,1.8923,1.8923,572350,1.8923
2011-06-22,1.892244,1.7988,1.7988,1.7988,2277415,1.7988
2011-06-23,1.798841,1.8044,1.6917,1.6917,2397437,1.6917
2011-06-24,1.691656,1.7561,1.6917,1.7561,10629090,1.7561
2011-06-28,1.756122,1.7239,1.7239,1.7239,639371,1.7239
2011-06-29,1.723867,1.7722,1.7722,1.7722,683027,1.7722
2011-06-30,1.772228,1.7722,1.6522,1.6522,3174734,1.6522
2011-07-01,1.652194,1.653,1.6522,1.653,925139,1.653
2011-07-04,1.652989,1.7319,1.6111,1.6111,8191884,1.6111
2011-07-05,1.611123,1.5708,1.5708,1.5644,1285666,1.5644
2011-07-06,1.564367,1.5547,1.5547,1.5547,1650435,1.5547
2011-07-08,1.554756,1.5467,1.5467,1.5467,323275,1.5467
2011-07-11,1.546649,1.45,1.45,1.4669,2367361,1.4669
2011-07-12,1.466917,1.45,1.45,1.45,965762,1.45
2011-07-13,1.45,1.45,1.45,1.45,113214,1.45
2011-07-14,1.450011,1.4339,1.4178,1.4339,1800000,1.4339
2011-07-15,1.4339,1.4339,1.4339,1.4339,319062,1.4339
2011-07-18,1.4339,1.4339,1.4339,1.4339,62022,1.4339
2011-07-19,1.433911,1.4178,1.4178,1.4178,1012610,1.4178
2011-07-21,1.4178,1.4178,1.4178,1.4178,23807,1.4178
2011-07-22,1.4178,1.4178,1.4178,1.4178,405703,1.4178
2011-07-26,1.417732,1.3694,1.3694,1.3694,2553528,1.3694
2011-07-27,1.3694,1.3694,1.3694,1.3694,69302,1.3694
2011-07-28,1.369456,1.2889,1.2889,1.2889,1957258,1.2889
2011-07-29,1.288933,1.3131,1.2889,1.3131,7251900,1.3131
2011-08-01,1.3131,1.3131,1.3131,1.3131,498247,1.3131
