date,open,high,low,close,volume,adj_close
2009-06-03,15999,15850,15850,15850,3154,15850
2009-06-05,15850,15849,15000,15000,440,15000
2009-06-08,15000,15005,15000,15000,3018,15000
2009-06-09,15000,15500,15000,15500,1089,15500
2009-06-11,15500,15500,15500,15500,2500,15500
2009-06-12,15500,15500,15500,15500,352,15500
2009-06-15,15500,15000,15000,15000,258,15000
2009-06-16,15000,15012,15012,15012,145,15012
2009-06-17,15012,15012,15012,15012,25,15012
2009-06-18,15012,15000,15000,15000,95,15000
2009-06-19,15000,15500,15001,15500,543,15500
2009-06-22,15500,15002,15002,15002,890,15002
2009-06-23,15002,15500,15002,15003,433,15003
2009-06-25,15003,15006,15005,15005,5743,15005
2009-06-26,15005,15006,15006,15006,1000,15006
2009-06-30,15006,15006,15006,15006,6850,15006
2009-07-01,15006,15006,15006,15006,280,15006
2009-07-02,15006,15300,15300,15300,8919,15300
2009-07-06,15300,15300,15300,15300,2226,15300
2009-07-07,15300,15300,15300,15300,1003,15300
2009-07-09,15300,15300,15300,15300,1,15300
2009-07-10,15300,15300,15300,15300,629,15300
2009-07-13,15300,15300,15299,15300,426,15300
2009-07-14,15300,15300,15300,15300,1403,15300
2009-07-15,15300,15350,15300,15350,235,15350
2009-07-20,15350,15350,15350,15350,227,15350
2009-07-21,15350,15300,15300,15300,100,15300
2009-07-29,15300,15300,15300,15300,373,15300
2009-07-31,15300,15300,15300,15300,355,15300
2009-08-03,15300,15300,15300,15300,6809,15300
2009-08-04,15300,15300,15300,15300,1328,15300
2009-08-05,15300,15300,15300,15300,328,15300
2009-08-06,15300,15301,15300,15300,3752,15300
2009-08-07,15300,15300,15300,15300,500,15300
2009-08-10,15300,15300,15300,15300,6506,15300
2009-08-11,15300,15350,15300,15350,7927,15350
2009-08-12,15350,15350,15350,15350,1350,15350
2009-08-13,15350,15500,15400,15500,1369,15500
2009-08-17,15500,15400,15400,15400,148,15400
2009-08-18,15400,15501,15400,15501,1740,15501
2009-08-20,15501,15500,15500,15500,345,15500
2009-08-21,15500,15505,15505,15505,181,15505
2009-08-24,15505,15506,15506,15506,65,15506
2009-08-25,15506,15506,15506,15506,100,15506
2009-08-26,15506,15506,15506,15506,861,15506
2009-09-01,15506,15506,15506,15506,265,15506
2009-09-02,15506,15520,15520,15520,1543,15520
2009-09-03,15520,15520,15520,15520,25,15520
2009-09-09,15520,15600,15550,15581,2311,15581
2009-09-10,15581,15600,15581,15600,422,15600
2009-09-11,15600,15700,15700,15700,4737,15700
2009-09-15,15700,15600,15600,15600,1325,15600
2009-09-16,15600,15700,15700,15700,1128,15700
2009-09-17,15700,15700,15700,15700,5000,15700
2009-09-21,15700,15700,15700,15700,3719,15700
2009-09-22,15700,15700,15700,15700,309,15700
2009-09-23,15700,16050,16000,16050,1803,16050
2009-09-24,16050,16050,16050,16050,20,16050
2009-09-28,16050,16300,16200,16300,520,16300
2009-09-29,16300,16500,16499,16499,500,16499
2009-09-30,16499,16450,16440,16450,1581,16450
2009-10-01,16450,16450,16450,16450,990,16450
2009-10-06,16450,16600,16600,16600,314,16600
2009-10-07,16600,16600,16510,16510,192,16510
2009-10-08,16510,16510,16510,16510,23,16510
2009-10-09,16510,16510,16500,16500,156,16500
2009-10-13,16500,16500,16500,16500,655,16500
2009-10-14,16500,16501,16500,16500,270,16500
2009-10-19,16500,16500,16500,16500,1133,16500
2009-10-20,16500,16500,16500,16500,1510,16500
2009-10-21,16500,16499,16450,16499,8391,16499
2009-10-22,16499,16300,16300,16300,630,16300
2009-10-23,16300,16300,16100,16100,3845,16100
2009-10-26,16100,16016,16016,16016,1400,16016
2009-10-27,16016,16000,16000,16000,445,16000
2009-10-29,16000,16000,16000,16000,383,16000
2009-10-30,16000,16000,16000,16000,2000,16000
2009-11-02,16000,16000,16000,16000,1000,16000
2009-11-04,16000,16001,16000,16001,3713,16001
2009-11-10,16001,16000,16000,16000,279,16000
2009-11-11,16000,16050,16000,16000,2156,16000
2009-11-13,16000,16000,16000,16000,1689,16000
2009-11-18,16000,16000,15800,16000,18305,16000
2009-11-23,16000,15801,15801,15801,77,15801
2009-11-24,15801,15800,15300,15301,464,15301
2009-11-25,15301,15400,15300,15300,1500,15300
2009-11-26,15300,15300,14800,15300,200,15300
2009-11-27,15300,15800,15300,15800,23515,15800
2009-11-30,15800,16000,15800,16000,14136,16000
2009-12-03,16000,15900,15800,15800,9241,15800
2009-12-09,15800,15800,15800,15800,7481,15800
2009-12-10,15800,15900,15900,15900,38605,15900
2009-12-11,15900,15900,15900,15900,5000,15900
2009-12-14,15900,16000,15900,16000,11714,16000
2009-12-15,16000,15900,15900,15900,1639,15900
2009-12-16,15900,15850,15850,15850,200,15850
