date,open,high,low,close,volume,adj_close
2014-03-14,130.51,130.52,130.51,130.51,79,130.51
2014-03-18,130.51,132.92,132.92,132.92,168,132.92
2014-03-31,132.92,135.49,135.49,135.49,4,135.49
2014-04-07,135.49,134.68,134.68,134.68,190,134.68
2014-04-16,134.68,136.3,136.3,136.3,13,136.3
2014-04-23,136.3,138.21,138.21,138.21,23,138.21
2014-07-31,138.21,141.47,141.47,141.47,168,141.47
2014-08-11,141.47,140.99,140.99,140.99,209,140.99
2014-10-01,140.99,139.52,139.52,139.52,209,139.52
2014-10-17,139.52,137.66,137.66,137.66,216,137.66
2014-10-24,137.66,148.03,148.03,148.03,216,148.03
2014-10-28,148.03,150.76,150.76,150.76,225,150.76
2015-01-06,150.76,161.14,161.14,161.14,13,161.14
2015-01-28,161.14,165.79,165.79,165.79,225,165.79
2016-03-23,165.79,163.65,163.65,163.65,34,163.65
2016-11-25,163.65,173.17,173.17,173.17,55,173.17
2017-03-20,173.17,192.53,192.53,192.53,156,192.53
2017-05-19,192.53,194.94,194.94,194.94,23,194.94
2017-06-12,194.94,208.18,208.18,208.18,156,208.18
2017-06-16,208.18,212.5,212.5,212.5,55,212.5
2017-10-30,212.5,232.55,232.55,232.55,49,232.55
2018-01-17,232.55,248.45,248.45,248.45,30,248.45
2019-03-19,248.45,209.65,209.12,209.65,1434,209.65
2019-04-15,209.65,215.09,215.09,215.09,46,215.09
2019-05-10,215.09,173.78,173.78,173.78,1405,173.78
2019-09-04,173.78,159.25,159.25,159.25,2,159.25
2019-11-27,159.25,170.29,170.29,159.25,7,159.25
2020-02-06,159.25,162.7,162.7,159.25,20,159.25
2020-02-19,159.25,160.28,160.28,159.25,6,159.25
2020-03-06,159.25,150.18,150.18,159.25,2,159.25
2020-03-31,159.25,138.1,138.1,159.25,30,159.25
2020-04-22,159.25,142.89,142.89,142.89,404,142.89
2020-04-23,142.89,146.6,146.6,146.6,46,146.6
2020-04-24,146.6,144.9,144.9,146.6,7,146.6
2020-04-29,146.6,159.2,159.2,146.6,8,146.6
2020-07-02,146.6,157.29,157.29,146.6,31,146.6
2020-08-21,146.6,161.7,161.7,161.7,52,161.7
2020-09-02,161.7,167.21,167.21,167.21,53,167.21
2020-09-22,167.21,161.88,161.88,161.88,39,161.88
2020-09-29,167.21,159.7,159.7,159.7,10,159.7
2020-10-22,167.21,169.8,169.8,167.21,10,167.21
2020-10-23,167.21,170.34,170.34,170.34,36,170.34
