date,open,high,low,close,volume,adj_close
2013-07-22,36.88,36.88,36.88,36.88,670,36.88
2013-08-14,36.88,35.16,35.16,35.16,282,35.16
2013-10-01,35.16,34.63,34.63,34.63,240,34.63
2013-10-07,34.63,34.94,34.94,34.94,172,34.94
2013-11-20,34.94,37.91,37.91,37.91,199,37.91
2013-12-11,37.91,37.63,37.63,37.63,282,37.63
2013-12-20,37.63,38.43,38.43,38.43,670,38.43
2014-05-13,38.43,40.55,40.55,40.55,240,40.55
2014-05-15,40.55,40.25,40.25,40.25,172,40.25
2016-11-14,40.25,61.09,61.09,61.09,199,61.09
2016-11-25,61.09,64.29,64.29,64.29,147,64.29
2017-06-16,64.29,76.66,76.66,76.66,147,76.66
2018-08-06,76.66,59.97,59.97,59.97,75,59.97
2018-09-20,59.97,62.1,62.1,62.1,25,62.1
2018-11-20,62.1,56.27,56.27,56.27,50,56.27
2018-12-14,56.27,53.35,53.35,53.35,150,53.35
2019-09-09,53.35,44,44,44,1100,44
2019-10-09,44,42.12,42.12,42.12,150,42.12
2020-01-21,42.12,51.06,51.06,51.06,1100,51.06
2020-02-19,51.06,45.37,45.37,51.06,20,51.06
2020-03-13,51.06,38,38,51.06,100,51.06
2020-04-23,51.06,38.5,38.5,51.06,100,51.06
2020-07-08,51.06,39.9,39.9,51.06,74,51.06
2020-08-24,51.06,44.02,44.02,51.06,100,51.06
2020-09-21,51.06,39.31,39.31,39.31,100,39.31
2020-10-06,51.06,39.89,39.89,39.89,50,39.89
2021-01-15,51.06,41.17,41.17,41.17,60,41.17
2021-02-05,51.06,42.65,42.65,51.06,15,51.06
2021-02-22,51.06,44.1,44.1,51.06,60,51.06
2021-04-21,51.06,47.76,47.76,51.06,62,51.06
