date,open,high,low,close,volume,adj_close
2013-03-26,400,410,387,388.46,111251200,388.46
2013-03-27,388.46,389,380,380.88,1371072,380.88
2013-03-28,380.88,382.1,379,382,363525,382
2013-04-01,382,382.5,381,382.01,911110,382.01
2013-04-02,382.01,380,378,378.04,1049334,378.04
2013-04-03,378.04,375,373,373,446939,373
2013-04-04,373,366,366,366,73442,366
2013-04-05,366,360,350,352.4,497758,352.4
2013-04-08,352.4,355,355,355,2000,355
2013-04-09,355,365,354.99,364.61,368203,364.61
2013-04-10,364.61,370,364,370,456894,370
2013-04-11,370,375,373,375,687220,375
2013-04-12,375,384,382,383,2660158,383
2013-04-15,383,383.1,383,383.1,12980,383.1
2013-04-16,383.1,383,383,383,2568,383
2013-04-17,383,379.99,379.5,379.5,15177,379.5
2013-04-18,379.5,379,378,379,119678,379
2013-04-19,379,389.8,389.8,389.8,3370,389.8
2013-04-23,389.8,392,380,380,99476,380
2013-04-24,380,380,380,380,6000,380
2013-04-25,380,385,385,385,25000,385
2013-04-29,385,380,380,380,7289,380
2013-04-30,380,380,380,380,22282,380
2013-05-02,380,380,380,380,4970,380
2013-05-03,380,386,384,385.5,78642,385.5
2013-05-06,385.5,389.9,389.9,389.9,1830,389.9
2013-05-07,389.9,395,389.9,389.9,62698,389.9
2013-05-08,389.9,389.9,389.9,389.9,15000,389.9
2013-05-09,389.9,390,387,390,268585,390
2013-05-10,390,390,390,390,83767,390
2013-05-13,390,390,390,390,370133,390
2013-05-14,390,390,388,389.65,108741,389.65
2013-05-15,395,395,395,395,93000,395
2013-05-16,395,395,395,395,81,395
2013-05-22,395,390,390,390,45622,390
2013-05-23,390,390,390,390,4875,390
2013-05-24,390,380.46,380.45,380.46,35891,380.46
2013-05-28,380.46,380,380,380,40816,380
2013-05-29,380,380,379.99,380,37073,380
2013-05-30,380,380,380,380,2864,380
2013-05-31,380,380.01,380,380.01,86085,380.01
2013-06-03,380.01,390,386,390,48123,390
2013-06-11,390,379,370,379,43186,379
2013-06-14,379,378,378,379,3818,379
2013-06-17,379,375,375,375,104588,375
2013-06-18,375,370,370,370,17016,370
2013-06-19,370,370,370,370,3950,370
2013-06-25,370,370,370,370,250000,370
2013-06-26,370,370,369,370,190685,370
2013-07-01,370,370,370,370,80,370
2013-07-02,370,370,365,370,287774,370
2013-07-09,370,350,350,350,1800000,350
2013-07-10,350,345,345,345,127536,345
2013-07-12,345,340,340,340,65521,340
2013-07-17,340,335,335,335,671344,335
2013-07-18,335,355,355,355,10000,355
