date,open,high,low,close,volume,adj_close
2009-06-22,7200,7200,7200,7200,500,7200
2009-06-23,7200,7200,7200,7200,100,7200
2009-06-30,7200,7200,7200,7200,308,7200
2009-07-14,7200,7200,7200,7200,590,7200
2009-08-24,7200,7200,7200,7200,27,7200
2009-08-26,7200,7200,7200,7200,1367,7200
2009-08-28,7200,7500,7300,7500,20730,7500
2009-09-04,7500,7500,7500,7500,1260,7500
2009-09-23,7500,7501,7501,7501,441,7501
2009-11-10,7501,7550,7550,7550,500,7550
2009-11-12,7550,7550,7550,7550,1000,7550
2009-11-16,7550,7550,7550,7550,525,7550
2010-01-13,7550,7550,7550,7550,682,7550
2010-01-19,7550,7550,7550,7550,1000,7550
2010-01-21,7550,7550,7550,7550,3564,7550
2010-01-26,7550,7500,7500,7500,187,7500
2010-01-27,7500,7550,7550,7550,3794,7550
2010-03-03,7550,7550,7550,7550,128,7550
2010-03-04,7550,7550,7550,7550,5397,7550
2010-03-23,7550,7550,7500,7550,10133,7550
2010-04-06,7550,7600,7600,7600,1000,7600
2010-04-07,7600,7600,7600,7600,367,7600
2010-04-09,7600,7600,7600,7600,1633,7600
2010-04-14,7600,7600,7600,7600,150,7600
2010-04-16,7600,7600,7600,7600,224,7600
2010-04-20,7600,7600,7600,7600,239,7600
2010-04-21,7600,7600,7600,7600,143,7600
2010-05-11,7600,7600,7600,7600,1244,7600
2010-05-12,7600,7600,7600,7600,6000,7600
2010-05-20,7600,7540,7540,7540,2000,7540
2010-05-24,7540,7540,7540,7540,1000,7540
2010-06-01,7540,7540,7540,7540,2000,7540
2010-06-08,7540,7500,7500,7500,2000,7500
2010-07-08,7500,7500,7500,7500,1375,7500
2010-07-13,7500,7500,7500,7500,38659,7500
2010-07-21,7500,7600,7600,7600,20000,7600
2010-07-27,7600,7700,7700,7700,14871,7700
2010-07-28,7700,8000,8000,8000,1500,8000
2010-07-29,8000,8000,7999,8000,1715,8000
2010-07-30,8000,8000,8000,8000,631,8000
2010-08-02,8000,8000,8000,8000,1000,8000
2010-08-04,8000,8000,8000,8000,6000,8000
2010-08-05,8000,8200,8200,8200,4158,8200
2010-08-13,8200,9500,9500,9500,260,9500
2010-08-17,9500,10422,10422,10422,500,10422
2010-08-18,10422,11000,11000,11000,2050,11000
2010-08-19,11000,11500,11500,11500,600,11500
2010-08-20,11500,11600,11600,11600,237,11600
2010-08-23,11600,11650,11650,11650,90,11650
2010-08-30,11650,12100,12100,12100,150,12100
2010-09-03,12100,12500,12500,12500,100,12500
2010-09-07,12500,13000,12750,13000,1511,13000
2010-09-08,13000,13600,13000,13600,5191,13600
2010-09-09,13600,14650,14000,14650,5330,14650
2010-09-10,14650,16100,15000,16100,10231,16100
2010-09-13,16100,18000,15710,16700,11028,16700
2010-09-14,16700,16821,16700,16700,4190,16700
2010-09-15,16700,16400,15700,15700,823,15700
2010-09-16,15700,15710,15000,15000,1568,15000
2010-09-21,15000,14850,14690,14700,1645,14700
2010-09-22,14700,14700,14545,14545,749,14545
2010-09-23,14545,14450,14300,14300,5779,14300
2010-09-24,14300,14300,14150,14160,1964,14160
2010-09-27,14000,14100,13900,14080,2306,14080
2010-09-28,14080,13900,13500,13500,2400,13500
2010-09-29,13500,13175,12900,12900,2187,12900
2010-09-30,12900,12910,12750,12750,2907,12750
2010-10-01,12750,13000,13000,13000,1230,13000
2010-10-04,13000,13000,13000,13000,367,13000
2010-10-06,13000,13000,12700,12700,1275,12700
2010-10-07,12700,13000,12725,12750,8897,12750
2010-10-13,12750,12700,12600,12628,1322,12628
2010-10-14,12628,12670,12499,12499,1071,12499
2010-10-15,12499,12350,12300,12350,322,12350
2010-10-18,12350,12350,12350,12350,1321,12350
