date,open,high,low,close,volume,adj_close
2013-04-18,46.63,46.63,46.63,46.63,112,46.63
2013-05-14,46.63,46.66,46.4,46.66,813,46.66
2013-05-15,46.66,46.7,46.7,46.7,210,46.7
2013-05-17,46.7,45.43,45.43,45.43,215,45.43
2013-05-22,45.43,48.05,48.05,48.05,170,48.05
2013-06-05,48.05,48.78,48.78,48.78,101,48.78
2013-06-07,48.78,48.33,48.33,48.33,214,48.33
2013-06-17,48.33,48.48,48.48,48.48,214,48.48
2013-07-11,48.48,48.27,48.27,48.27,103,48.27
2013-07-12,48.27,48.41,48.41,48.41,105,48.41
2013-07-15,48.41,48.84,48.84,48.84,100,48.84
2013-08-08,48.84,48.57,48.57,48.57,102,48.57
2013-09-16,48.57,48.35,48.35,48.35,163,48.35
2013-11-26,48.35,49.64,49.64,49.64,102,49.64
2013-12-12,49.64,48.32,48.22,48.22,315,48.22
2014-03-14,48.22,55.72,55.72,55.72,93,55.72
2014-04-07,55.72,55.35,55.35,55.35,35,55.35
2014-04-15,55.35,55.86,55.86,55.86,101,55.86
2014-11-05,55.86,60.03,59.81,59.81,554,59.81
2014-11-24,59.81,59.2,59.2,59.2,35,59.2
2014-12-23,59.2,57.73,57.73,57.73,67,57.73
2015-01-14,57.73,62.45,62.45,62.45,100,62.45
2015-01-23,62.45,62.86,62.86,62.86,54,62.86
2015-01-27,62.86,62.37,62.37,62.37,75,62.37
2015-02-10,62.37,59.03,59.03,59.03,26,59.03
2015-09-28,59.03,48.91,48.91,48.91,101,48.91
2015-10-22,48.91,50.9,50.9,50.9,101,50.9
2015-12-11,50.9,52.5,52.4,52.5,433,52.5
2015-12-14,52.5,52.01,51.69,51.69,400,51.69
2016-03-18,51.69,52.18,52.18,52.18,75,52.18
2016-03-23,52.18,53.38,53.38,53.38,89,53.38
2016-04-06,53.38,55.29,54.86,55.29,143,55.29
2016-05-05,55.29,53.9,53.9,53.9,140,53.9
2016-05-25,53.9,56.5,56.5,56.5,140,56.5
2016-05-27,56.5,56.53,56.53,56.53,79,56.53
2016-07-01,56.53,57.97,57.97,57.97,40,57.97
2016-07-29,57.97,58.81,58.81,58.81,75,58.81
2016-09-06,58.81,62.99,62.99,62.99,26,62.99
2016-12-02,62.99,60.91,60.91,60.91,50,60.91
2016-12-07,60.91,59.1,59.1,59.1,50,59.1
2016-12-20,59.1,61.31,61.31,61.31,79,61.31
2017-01-31,61.31,61.8,61.8,61.8,155,61.8
2017-06-16,61.8,62.97,62.97,62.97,100,62.97
2017-08-11,62.97,62.53,62.53,62.53,200,62.53
2017-08-18,62.53,61.67,61.67,61.67,142,61.67
2017-09-08,61.67,64.25,64.25,64.25,50,64.25
2017-09-25,64.25,65.3,65.3,65.3,25,65.3
2017-09-29,65.3,63.7,63.7,63.7,25,63.7
2017-10-16,63.7,63.6,63.48,63.48,242,63.48
2017-12-12,63.48,56.97,56.97,56.97,100,56.97
2018-02-19,56.97,56.4,56.4,56.4,100,56.4
2018-02-20,56.4,56.35,56.35,56.35,100,56.35
2018-02-22,56.35,54.7,54.7,54.7,50,54.7
2018-02-28,54.7,54.85,54.85,54.85,25,54.85
2018-03-20,54.85,54.54,54.54,54.54,175,54.54
2018-03-22,54.54,54.57,54.57,54.57,300,54.57
2018-09-07,54.57,69.39,69.22,69.39,444,69.39
2019-04-01,69.39,84.02,84.02,84.02,155,84.02
2019-08-08,84.02,84.56,84.37,84.48,331,84.48
2019-09-25,84.48,83.61,83.61,83.61,310,83.61
2019-09-27,83.61,83.68,83.68,83.68,6,83.68
2019-11-04,83.68,85.31,85.31,83.68,35,83.68
2019-11-05,83.68,83,83,83,131,83
2019-11-14,83.68,84.08,84.08,84.08,95,84.08
2020-01-27,84.08,86.44,86.44,86.44,90,86.44
2020-02-04,86.44,89.01,89.01,86.44,22,86.44
2020-02-13,86.44,88.68,88.68,88.68,95,88.68
2020-03-04,88.68,81.9,81.9,88.68,6,88.68
2020-03-13,88.68,75.5,75.5,88.68,40,88.68
