date,open,high,low,close,volume,adj_close
2013-05-15,24.62,24.62,24.62,24.62,415,24.62
2013-06-20,24.62,25.34,25.34,25.34,490,25.34
2013-10-14,25.34,27.97,27.97,27.97,1178,27.97
2013-10-16,27.97,28.56,28.56,28.56,335,28.56
2014-03-14,28.56,31.21,31.21,31.21,825,31.21
2014-04-23,31.21,31.07,31.07,31.07,1178,31.07
2014-05-06,31.07,29.6,29.6,29.6,1000,29.6
2014-05-08,29.6,30.08,30.08,30.08,1000,30.08
2014-11-05,30.08,34.88,34.88,34.88,860,34.88
2014-11-18,34.88,35.65,35.62,35.62,860,35.62
2015-07-21,35.62,40.03,40.03,40.03,415,40.03
2015-08-12,40.03,37,37,37,60,37
2015-08-18,37,38.16,38.16,38.16,60,38.16
2015-08-20,38.16,36.82,36.82,36.82,60,36.82
2015-11-03,36.82,33.32,33.32,33.32,1510,33.32
2016-01-28,33.32,25.02,25.02,25.02,1510,25.02
2016-11-10,25.02,37.46,37.46,37.46,60,37.46
2017-02-02,37.46,42.4,42.4,42.4,20,42.4
2017-03-21,42.4,43.6,43.6,43.6,20,43.6
2017-03-30,43.6,42.93,42.93,42.93,17,42.93
2017-04-12,42.93,41.25,41.25,41.25,35,41.25
2017-06-20,41.25,45.7,45.7,45.7,52,45.7
2017-12-26,45.7,52.2,52.2,52.2,600,52.2
2018-08-17,52.2,48.5,48.5,48.5,100,48.5
2018-11-12,48.5,44.01,44.01,44.01,100,44.01
2019-04-29,44.01,48.57,48.57,48.57,220,48.57
2019-05-08,48.57,46.94,46.94,46.94,300,46.94
2019-11-29,46.94,49.63,49.63,49.63,220,49.63
2020-04-14,49.63,38.57,38.57,38.57,300,38.57
2020-05-07,38.57,38.87,38.87,38.57,3,38.57
2020-10-23,38.57,51.92,51.92,51.92,3625,51.92
2020-10-26,51.92,50.25,50.25,50.25,2089,50.25
2020-10-29,50.25,47.78,47.78,47.78,2553,47.78
2020-12-02,47.78,63.91,63.91,63.91,208,63.91
2021-02-24,63.91,77.64,77.64,77.64,208,77.64
