date,open,high,low,close,volume,adj_close
2012-05-24,28.73,28.73,28.73,28.73,100,28.73
2012-06-07,28.73,29.39,29.39,29.39,100,29.39
2012-08-17,29.39,30.8,30.8,30.8,320,30.8
2012-10-05,30.8,30.03,30.03,30.03,1000,30.03
2012-10-10,30.03,29.2,29.2,29.2,350,29.2
2012-10-12,29.2,28.9,28.9,28.9,209,28.9
2012-10-16,28.9,29.6,29.6,29.6,170,29.6
2012-10-31,29.6,28.65,28.65,28.65,347,28.65
2012-11-07,28.65,29.34,29.34,29.34,1000,29.34
2012-12-04,29.34,26.43,26.43,26.43,209,26.43
2012-12-19,26.43,27.65,27.65,27.65,285,27.65
2012-12-20,27.65,27.36,27.36,27.36,146,27.36
2013-01-09,27.36,26.64,26.64,26.64,170,26.64
2013-02-07,26.64,27.27,27.27,27.27,923,27.27
2013-03-14,27.27,28.02,28.02,28.02,141,28.02
2013-04-01,28.02,28.53,28.53,28.53,87,28.53
2013-04-11,28.53,28.81,28.76,28.76,1208,28.76
2013-04-24,28.76,31,31,31,350,31
2013-04-25,31,32.65,32.65,32.65,320,32.65
2013-04-26,32.65,31.7,31.7,31.7,374,31.7
2013-07-15,31.7,36.11,36.11,36.11,80,36.11
2013-07-17,36.11,36.08,35.57,35.68,3167,35.68
2013-07-19,35.68,32.05,32.05,32.05,276,32.05
2013-07-22,32.05,31.77,31.77,31.77,222,31.77
2013-08-06,31.77,31.48,31.48,31.48,316,31.48
2013-08-08,31.48,32.98,32.98,32.98,151,32.98
2013-08-09,32.98,32.78,32.78,32.78,277,32.78
2013-08-23,32.78,34.6,34.6,34.6,316,34.6
2013-09-13,34.6,32.73,32.73,32.73,151,32.73
2013-11-05,32.73,36.45,36.44,36.45,1692,36.45
2013-11-06,36.45,37.64,37.6,37.64,600,37.64
2013-11-11,37.64,37.78,37.78,37.78,100,37.78
2013-12-19,37.78,36.3,36.3,36.3,88,36.3
2013-12-30,36.3,37,37,37,80,37
2014-03-14,37,37.87,37.87,37.87,347,37.87
2014-03-18,37.87,39.66,39.66,39.66,566,39.66
2014-04-16,39.66,40.05,40.05,40.05,44,40.05
2014-06-26,40.05,41.69,41.69,41.69,178,41.69
2014-07-18,41.69,44.42,44.42,44.42,50,44.42
2014-07-22,44.42,44.83,44.83,44.83,110,44.83
2014-07-31,44.83,43.49,43.49,43.49,566,43.49
2014-08-11,43.49,43.06,43.06,43.06,688,43.06
2014-08-18,43.06,44.91,44.91,44.91,400,44.91
2014-10-01,44.91,46.23,46.23,46.23,688,46.23
2014-10-17,46.23,43.74,43.74,43.74,679,43.74
2014-11-06,43.74,48.2,48.2,48.2,61,48.2
2014-11-20,48.2,48.24,48.24,48.24,110,48.24
2014-11-21,48.24,48.33,48.33,48.33,679,48.33
2014-11-28,48.33,48.12,47.87,47.87,1132,47.87
2014-12-12,47.87,47.27,47.27,47.27,208,47.27
2014-12-23,47.27,48.61,48.61,48.61,83,48.61
2015-01-06,48.61,46.54,46.54,46.54,44,46.54
2015-01-27,46.54,42.29,42.29,42.29,112,42.29
2015-02-04,42.29,41.64,41.64,41.64,236,41.64
2015-02-05,41.64,41.94,41.94,41.94,90,41.94
2015-02-13,41.94,43.41,43.2,43.41,5006,43.41
2015-02-17,43.41,43.53,43.39,43.39,819,43.39
2015-02-24,43.39,44.1,44.1,44.1,45,44.1
2015-03-05,44.1,43.13,43.13,43.13,23,43.13
2015-03-09,43.13,42.57,42.57,42.57,211,42.57
2015-03-12,42.57,41.18,41.18,41.18,2078,41.18
2015-04-22,41.18,43,43,43,211,43
2015-04-24,43,47.71,47.66,47.68,1061,47.68
2015-04-27,47.68,47.8,47.39,47.8,1957,47.8
2015-05-08,47.8,47.74,47.74,47.74,85,47.74
2015-07-01,47.74,44.5,44.5,44.5,222,44.5
2015-07-27,44.5,45.5,45.5,45.5,76,45.5
2015-08-26,45.5,41.57,41.57,41.57,119,41.57
2015-08-28,41.57,43.9,43.9,43.9,988,43.9
2015-09-15,43.9,43.8,43.8,43.8,100,43.8
2015-10-26,43.8,53.75,53.75,53.75,84,53.75
2015-10-27,53.75,54.06,54.06,54.06,144,54.06
2015-10-28,54.06,53.02,53.02,53.02,735,53.02
2015-11-27,53.02,53.89,53.89,53.89,146,53.89
2016-02-16,53.89,50.67,50.67,50.67,492,50.67
2016-03-14,50.67,52.74,52.74,52.74,92,52.74
2016-04-22,52.74,51.73,51.73,51.73,180,51.73
2016-05-04,51.73,49.85,49.85,49.85,180,49.85
2016-06-01,49.85,52.69,52.69,52.69,578,52.69
2016-06-02,52.69,52,52,52,85,52
2016-06-20,52,50.59,50.59,50.59,49,50.59
2016-11-17,50.59,60.76,60.76,60.76,655,60.76
2017-01-13,60.76,62.61,62.61,62.61,655,62.61
2017-01-24,62.61,63.17,63.17,63.17,20,63.17
2017-01-25,63.17,63.6,63.6,63.6,40,63.6
2017-02-21,63.6,64.62,64.62,64.62,14,64.62
2017-03-02,64.62,64.37,64.37,64.37,30,64.37
2017-03-17,64.37,64.79,64.79,64.79,27,64.79
2017-03-20,64.79,64.88,64.88,64.88,460,64.88
2017-03-30,64.88,65.68,65.68,65.68,16,65.68
2017-04-07,65.68,65.56,65.56,65.56,1156,65.56
2017-04-26,65.56,68.06,67.9,67.9,76,67.9
2017-05-05,67.9,68.99,68.68,68.99,2291,68.99
2017-05-11,68.99,68.29,68.29,68.29,433,68.29
2017-05-31,68.29,70.36,70.01,70.01,167,70.01
2017-06-05,70.01,72.35,72.35,72.35,70,72.35
2017-06-08,72.35,71.78,71.78,71.78,57,71.78
2017-06-12,71.78,69.81,69.81,69.81,460,69.81
2017-07-10,69.81,69.99,69.99,69.99,70,69.99
2017-07-27,69.99,74.12,74.12,74.12,433,74.12
2017-08-17,74.12,73.7,73.7,73.7,100,73.7
2017-08-18,73.7,72.74,72.74,72.74,195,72.74
2017-08-25,72.74,72.77,72.77,72.77,492,72.77
2017-08-31,72.77,74.85,74.85,74.85,160,74.85
2017-09-01,74.85,74.05,74.05,74.05,41,74.05
2017-09-07,74.05,74.43,74.43,74.43,166,74.43
2017-09-25,74.43,72.95,72.95,72.95,10,72.95
2017-10-10,72.95,76.47,76.47,76.47,10,76.47
2017-10-13,76.47,77.43,77.43,77.43,65,77.43
2017-11-06,77.43,84.31,84.31,84.31,55,84.31
2017-11-09,84.31,83.98,83.98,83.98,20,83.98
2017-11-28,83.98,84.72,84.72,84.72,35,84.72
2017-11-29,84.72,84.79,83.51,83.51,508,83.51
2017-12-27,83.51,85.85,85.85,85.85,116,85.85
2018-01-02,85.85,85.99,85.99,85.99,230,85.99
2018-01-17,85.99,90.47,89.93,90.47,148,90.47
2018-01-29,90.47,94.36,94.36,94.36,435,94.36
2018-02-05,94.36,91.67,91.67,91.67,798,91.67
2018-02-16,91.67,92.72,92.72,92.72,320,92.72
2018-02-28,92.72,95.09,95.09,95.09,10,95.09
2018-03-01,95.09,92.39,92.39,92.39,230,92.39
2018-03-08,92.39,93.94,93.94,93.94,25,93.94
2018-03-16,93.94,94.1,94.1,94.1,134,94.1
2018-03-23,94.1,90.02,90.02,90.02,105,90.02
2018-03-28,90.02,90.17,90.17,90.17,520,90.17
2018-05-07,90.17,95.97,95.97,95.97,91,95.97
2018-05-09,95.97,96.2,96.2,96.2,435,96.2
2018-06-06,96.2,102.21,102.21,102.21,63,102.21
2018-06-08,102.21,101.62,101.62,101.62,303,101.62
2018-06-13,101.62,101.96,101.43,101.48,367,101.48
2018-06-15,101.48,100.66,100.66,100.66,116,100.66
2018-06-18,100.66,100.76,100.76,100.76,200,100.76
2018-06-29,100.76,99.5,99.5,99.5,25,99.5
2018-07-03,99.5,100.06,99.25,99.25,360,99.25
2018-07-23,99.25,107.71,106.66,107.71,137,107.71
2018-07-24,107.71,108.61,108.61,108.61,138,108.61
2018-07-27,108.61,109.18,108.57,108.57,678,108.57
2018-07-30,108.57,105.44,105.44,105.44,500,105.44
2018-07-31,105.44,106.21,105.98,106.21,414,106.21
2018-08-09,106.21,109.93,109.82,109.82,581,109.82
2018-08-17,109.82,107.15,107.15,107.15,273,107.15
2018-08-24,107.15,108.25,108.25,108.25,110,108.25
2018-08-29,108.25,111.51,111.51,111.51,14,111.51
2018-09-05,111.51,109.63,109.63,109.63,14,109.63
2018-09-11,109.63,109.98,109.98,109.98,85,109.98
2018-10-31,109.98,107.25,107.25,107.25,288,107.25
