date,open,high,low,close,volume,adj_close
2020-12-10,157133,157290,157100,157133,64,157133
2020-12-14,157133,159470,159470,159470,70,159470
2020-12-15,159470,157320,157320,159470,1,159470
2020-12-16,159470,160410,160380,160380,13,160380
2020-12-17,159470,159100,158630,159100,33,159100
2020-12-21,159470,161030,160560,160560,17,160560
2020-12-22,159470,164670,164670,164670,48,164670
2020-12-23,164670,162910,162330,164670,22,164670
2020-12-28,164670,160540,160540,164670,1,164670
2020-12-29,164670,161770,161770,161770,7,161770
2020-12-30,164670,161440,161440,164670,3,164670
2021-01-06,164670,149100,149100,149100,34,149100
2021-01-07,164670,155900,154030,155900,280,155900
2021-01-08,154230,157510,155950,157510,38,157510
2021-01-14,157182,157790,157790,157182,12,157182
2021-01-21,157182,161280,161280,157182,2,157182
2021-01-25,157182,167500,167500,157182,2,157182
2021-01-26,157182,171260,171260,171260,4,171260
2021-01-27,157182,174730,174730,174730,5,174730
2021-01-28,157182,177690,173040,177690,20,177690
2021-01-29,157182,175150,172820,175150,117,175150
2021-02-01,174836,176990,172100,176990,35,176990
2021-02-04,172799,180270,180270,180270,54,180270
2021-02-08,180270,179800,178450,178450,10,178450
2021-02-09,180270,178560,178560,178560,10,178560
2021-02-11,180270,177020,176950,180270,5,180270
2021-02-16,180270,175780,175780,180270,1,180270
2021-02-19,180270,170650,170650,180270,1,180270
2021-02-22,180270,169640,169640,180270,1,180270
2021-02-23,180270,164180,164180,164180,4,164180
2021-02-24,180270,164450,163150,163150,7,163150
2021-02-25,180270,165660,165660,180270,2,180270
2021-03-01,166160,171700,169850,171700,36,171700
2021-03-02,170490,171870,171870,171870,15,171870
2021-03-03,170490,172260,168790,172260,14,172260
2021-03-05,170490,167900,167900,170490,1,170490
2021-03-10,170490,172620,172620,170490,6,170490
2021-03-15,170490,170140,167930,170490,16,170490
2021-03-19,170490,164900,164900,170490,30,170490
2021-03-24,170490,172400,172400,170490,1,170490
2021-03-29,170490,170930,170930,170490,3,170490
2021-03-30,170490,169590,169590,170490,12,170490
2021-04-12,170490,183000,183000,170490,10,170490
2021-04-14,170490,182340,182340,170490,6,170490
2021-04-16,170490,182360,182360,182360,140,182360
2021-04-20,182360,181710,181710,182360,8,182360
2021-04-27,182360,185200,184400,185179,38,185179
2021-04-28,185179,180600,178520,185179,18,185179
2021-04-29,185179,178640,178640,185179,1,185179
2021-05-04,185179,176330,174500,185179,8,185179
2021-05-06,185179,174600,172960,185179,25,185179
2021-05-10,185179,174600,174420,185179,4,185179
2021-05-11,185179,173200,172830,185179,12,185179
2021-05-12,185179,171890,171890,185179,11,185179
2021-05-13,185179,173310,173310,185179,3,185179
2021-05-14,185179,175100,174960,185179,6,185179
2021-05-17,185179,176380,176380,185179,13,185179
2021-05-19,185179,173520,173300,185179,30,185179
2021-05-28,185179,183400,183400,185179,1,185179
2021-06-01,185179,180150,179030,179990,35,179990
2021-06-02,179990,180330,178030,179990,19,179990
2021-06-07,179990,181720,181350,181478,58,181478
2021-06-08,181478,183120,182040,183116,57,183116
2021-06-09,183116,184110,184110,183116,5,183116
2021-06-10,183116,185680,185650,183116,11,183116
2021-06-11,183116,186660,186400,183116,4,183116
2021-06-14,183116,186610,186200,186500,25,186500
2021-06-16,183116,188700,188700,183116,15,183116
2021-06-17,183116,192900,190480,191080,121,191080
2021-06-18,191080,194000,194000,191080,1,191080
