date,open,high,low,close,volume,adj_close
2009-06-08,1379.504,1379.504,1379.504,1379.504,51,1379.504
2010-01-21,1379.504,1379.504,1379.504,1379.504,14,1379.504
2010-05-28,1379.504,1119.194,1119.194,1119.194,430,1119.194
2010-07-21,1119.194,985.7016,985.7016,985.7016,1005,985.7016
2010-08-06,985.7016,985.7016,985.7016,985.7016,8006,985.7016
2010-09-14,985.7016,985.7016,985.7016,985.7016,3,985.7016
2010-09-28,985.7016,985.7016,985.7016,985.7016,413,985.7016
2010-10-27,985.7016,938.7634,938.7634,938.7634,3728,938.7634
2010-11-18,938.7634,938.7634,938.7634,938.7634,32,938.7634
2010-11-23,938.7634,938.7634,938.7634,938.7634,75,938.7634
2010-11-24,938.7634,938.7634,938.7634,938.7634,331,938.7634
2010-11-25,938.7634,844.8871,844.8871,844.8871,1997,844.8871
2010-12-22,844.8871,891.8253,891.8253,891.8253,1065,891.8253
2010-12-27,891.8253,844.8871,844.8871,891.8253,8003,891.8253
2011-01-10,891.8253,890.7926,890.7926,890.7926,8003,890.7926
2011-01-24,890.7926,873.05,873.05,873.05,677,873.05
2011-01-25,873.05,873.05,873.05,873.05,338,873.05
2011-01-26,873.05,873.05,873.05,873.05,1278,873.05
2011-02-10,873.05,873.05,873.05,873.05,114,873.05
2011-02-11,873.05,873.05,873.05,873.05,2130,873.05
2011-02-16,873.05,873.05,873.05,873.05,1065,873.05
2011-02-17,873.05,873.05,873.05,873.05,4266,873.05
2011-03-22,873.05,873.05,873.05,873.05,1225,873.05
2011-04-26,873.05,873.05,873.05,873.05,1065,873.05
2011-04-27,873.05,873.05,873.05,873.05,2339,873.05
2011-05-26,873.05,800,800,800,2000,800
2011-08-25,800,800,790,800,1731,800
2011-10-25,800,729.9,729.9,729.9,20741,729.9
2011-11-04,729.9,700,700,700,2906,700
2012-02-28,700,700,700,700,451,700
2012-03-30,700,600,600,600,1815,600
2012-04-26,600,600,600,600,500,600
2012-05-16,600,600,600,600,255,600
2012-06-08,600,600,600,600,151,600
2012-11-16,600,600,600,600,199,600
2012-12-06,600,600,600,600,60,600
2013-01-14,600,550,550,550,167,550
2013-01-31,550,550,550,550,1834,550
2013-03-01,550,550,550,550,1500,550
2013-03-08,550,550,550,550,1686,550
2013-06-04,550,550,550,550,1044,550
2013-09-25,550,500,500,500,1000,500
2013-09-26,500,500,500,500,57264,500
2014-01-28,500,480,480,480,31594,480
2014-01-30,480,460,460,460,6000,460
2014-03-17,460,440,440,440,13234,440
2014-03-18,440,440,440,440,80003,440
2014-03-27,440,440,440,440,1317,440
2014-03-31,440,440,440,440,174,440
2014-04-07,440,440,440,440,1751,440
2014-04-24,440,440,440,440,347,440
2014-06-02,440,450,450,450,2978,450
2014-06-03,450,450,450,450,66,450
2014-06-13,450,450,450,450,42515,450
2014-06-18,450,450,450,450,9765,450
2014-06-27,450,450,450,450,133911,450
2014-09-11,450,450,450,450,10163,450
2014-09-26,450,450,450,450,3471,450
2014-10-14,450,450,450,450,12937,450
2014-12-05,450,450,450,450,974642,450
2014-12-09,450,450,450,450,13693,450
2014-12-12,450,450,450,450,3862,450
2014-12-17,450,450,450,450,401000,450
2015-01-09,450,450,450,450,2039,450
2015-01-15,450,450,450,450,3500,450
2015-01-16,450,450,450,450,5116,450
2015-03-04,450,450,450,450,20000,450
2015-03-05,450,450,450,450,718,450
2015-03-16,450,450,450,450,2830,450
2015-04-02,450,450,450,450,61209,450
2015-04-06,450,450,450,450,23,450
2015-04-14,450,450,450,450,2140,450
2015-04-22,450,450,450,450,930,450
2015-05-26,450,450,450,450,230,450
2015-05-29,450,450,450,450,3372,450
2015-06-02,450,450,450,450,3650,450
2015-06-15,450,450,450,450,48,450
2015-09-30,450,450,450,450,7,450
2015-12-17,450,450,450,450,1433,450
2016-01-12,450,450,450,450,594,450
2016-03-11,450,450,450,450,230,450
2016-03-31,450,450,450,450,122,450
2016-04-13,450,450,450,450,1106,450
2016-06-07,450,450,450,450,240,450
2016-08-05,450,450,450,450,721,450
2016-10-20,450,450,450,450,50,450
2016-10-27,450,370,370,370,1713,370
2016-10-28,370,370,370,370,1687,370
2016-12-20,370,367.9,367.9,367.9,5652,367.9
2016-12-21,367.9,367.9,367.9,367.9,15000,367.9
2016-12-23,367.9,367.9,367.9,367.9,1500,367.9
2016-12-29,367.9,360,360,360,1500,360
2017-01-20,360,367.9,367.9,367.9,13900,367.9
2017-01-23,367.9,360,360,360,4554,360
2017-01-26,360,393,393,393,2450,393
2017-02-13,393,408,408,408,1461,408
2017-03-24,408,408,408,408,1556,408
2017-03-27,408,408,408,408,122,408
2017-03-28,408,408,408,408,2,408
2017-03-30,408,408,408,408,122,408
2017-04-21,408,399,399,399,2500,399
2017-05-02,399,398.99,398.99,398.99,14033,398.99
2017-05-12,398.99,399,399,399,2506,399
2017-05-22,399,399,399,399,2451,399
2017-05-29,399,399,399,399,12524,399
2017-06-13,399,399,399,399,3287,399
2017-06-19,399,397,397,397,12000,397
2017-06-20,397,397,397,397,16900,397
2017-06-21,397,397,397,397,5656,397
2017-06-27,397,401,401,401,7259,401
2017-06-28,401,415,415,415,2600,415
2017-06-30,425,425,425,425,16233,425
2017-07-03,425,425,425,425,713,425
2017-07-04,425,425,425,425,513,425
2017-07-06,425,415,415,415,1881,415
2017-07-07,415,445,445,445,2248,445
2017-07-17,445,445,445,445,480,445
2017-08-02,445,445,445,445,225,445
2017-08-04,445,460,460,460,6275,460
2017-08-07,460,501,481,501,4049,501
2017-08-08,525.1,600,525.1,600,6568,600
2017-08-09,600,600,600,600,2950,600
2017-08-11,600,600,599,600,15481,600
2017-08-17,600,650,650,650,2399,650
2017-08-18,650,680,670,670,106049,670
2017-08-22,670,670,670,670,50,670
2017-08-23,670,670,670,670,1879,670
2017-08-28,670,670,670,670,752,670
2017-08-29,670,670,670,670,2500,670
2017-08-30,670,670,670,670,5500,670
2017-09-04,670,670,670,670,5012,670
2017-09-05,670,703,703,703,1684,703
2017-09-06,703,703,703,703,130,703
2017-09-07,703,703,703,703,448,703
2017-09-13,703,711,711,711,934,711
2017-09-22,711,800,800,800,10700,800
2017-09-26,800,800,800,800,2001,800
2017-09-29,800,840,839.99,839.99,2604,839.99
2017-10-04,839.99,800,800,800,4077,800
2017-10-12,800,800,800,800,1510,800
2017-10-18,800,800,800,800,1971,800
2017-12-15,800,798,798,798,1877,798
2017-12-18,798,799,799,799,2301,799
2018-02-05,799,799,799,799,758,799
2018-03-09,799,799,799,799,700,799
2018-03-13,799,700,700,700,4000,700
2018-03-15,700,700,700,700,2500,700
2018-03-20,700,700,700,700,85000,700
2018-04-13,700,700,700,700,2281,700
2018-04-18,700,700,700,700,2281,700
2018-06-19,700,800,800,800,8584,800
2018-07-12,800,800,800,800,31971,800
2018-08-21,800,800,800,800,24,800
2018-10-03,800,770,770,770,21349,770
2018-10-04,770,770,770,770,13279,770
2018-11-06,770,770,770,770,13623,770
2018-11-07,770,770,770,770,9000,770
2018-11-08,770,800,800,800,1018,800
2018-11-13,800,800,800,800,381,800
2018-11-21,800,800,800,800,5628,800
2019-06-11,800,800,800,800,125,800
2019-06-26,800,800,800,800,1332,800
2019-06-27,800,800,800,800,6880,800
2019-06-28,800,800,800,800,8429,800
2019-07-29,800,802,802,802,401000,802
2019-07-31,802,802,802,802,2765,802
2019-08-12,802,802,802,802,2001,802
2019-09-24,802,802,802,802,575,802
2019-10-15,802,802,802,802,15049,802
2019-10-22,802,802,802,802,0,802
2019-11-19,802,802,802,802,0,802
2019-11-20,802,802,802,802,0,802
