date,open,high,low,close,volume,adj_close
2009-06-04,19,18,18,18,170555,18
2009-06-05,18,17.99,17.6,17.99,549580,17.99
2009-06-10,17.99,19,17.99,19,1000000,19
2009-06-15,19,18.89,18.89,19,57910,19
2009-06-16,19,18.89,18.89,18.89,231099,18.89
2009-06-22,18.89,18.89,18.89,18.89,38549,18.89
2009-06-24,18.89,17.45,17.45,18.89,559693,18.89
2009-06-30,18.89,17,16.5,16.86,105000,16.86
2009-07-13,16.86,17.5,17,17.45,1000000,17.45
2009-07-15,17.45,17,16.9,16.9,800000,16.9
2009-07-20,16.9,16.9,16,16.9,1500838,16.9
2009-08-05,16.5,17,16.5,17,282552,17
2009-08-14,17,17,17,17,43986,17
2009-08-17,17,15.5,15.5,15.5,229451,15.5
2009-08-18,15.5,17,17,17,98809,17
2009-08-21,17,16.99,15.5,16.99,20210000,16.99
2009-08-24,16.99,16.99,16.99,16.99,206000,16.99
2009-08-26,16.99,17,16.97,16.98,16100000,16.98
2009-09-03,16.98,16,15.5,16,10100000,16
2009-09-04,16,15.8,15.11,15.8,623607,15.8
2009-09-08,15.8,15.5,15,15.5,159000,15.5
2009-09-10,15.5,15.5,15.5,15.5,31800,15.5
2009-09-17,15.5,15.5,15.5,15.5,26600,15.5
2009-09-21,15.5,15.5,15.5,15.5,52631,15.5
2009-09-22,15.5,15.5,15.5,15.5,14000,15.5
2009-09-25,15.5,14.95,14.2,14.95,980666,14.95
2009-09-29,14.33,14.4,14.4,14.4,552078,14.4
2009-10-01,14.4,14.4,14.4,14.4,20000,14.4
2009-10-05,14.4,14.4,14.4,14.4,13840,14.4
2009-10-06,14.4,14.6,14.6,14.6,272358,14.6
2009-10-07,14.6,14.5,14.5,14.5,280683,14.5
2009-10-13,14.5,14.5,14.5,14.5,250000,14.5
2009-10-14,14.5,14.8,14.5,14.5,1095301,14.5
2009-10-15,14.5,14.5,14.5,14.5,108571,14.5
2009-10-16,14.5,15,15,14.5,85514,14.5
2009-10-19,14.5,14.5,14.5,14.5,12561,14.5
2009-10-21,14.5,14.01,14.01,14.01,111840,14.01
2009-10-23,14.01,14,14,14,108300,14
2009-10-26,14,15,14.75,15,499964,15
2009-10-27,15,15,14.5,15,370843,15
2009-10-28,15,14.5,14.5,14.5,285000,14.5
2009-10-29,14.5,15,15,15,150000,15
2009-10-30,15,15.2,15.2,15.2,126490,15.2
2009-11-02,15.2,15.2,15.2,15.2,26490,15.2
2009-11-03,15.2,15.5,15.5,15.5,38052,15.5
2009-11-06,15.5,15.5,15.5,15.5,55000,15.5
2009-11-10,15.5,15.5,15.5,15.5,130000,15.5
2009-11-12,15.5,14.95,14.95,14.95,2108480,14.95
2009-11-17,14.95,14.95,14.95,14.95,16600,14.95
2009-12-21,14.95,14,14,14,80000,14
2009-12-22,14,14,14,14,27400,14
2009-12-28,14,13.9,13.9,13.9,350000,13.9
2010-01-04,13.9,14,13.9,14,208846,14
2010-01-08,14,13.9,13.9,13.9,536292,13.9
2010-01-11,13.9,13.75,13.75,13.75,200000,13.75
2010-01-14,13.75,13.75,13.75,13.75,150000,13.75
2010-01-15,13.75,13.75,13.75,13.75,20000,13.75
2010-01-18,13.75,13.9,13,13.9,1656445,13.9
2010-01-19,13.9,14,13.9,14,2017769,14
2010-01-20,14,14.01,14.01,14.01,291372,14.01
2010-01-21,14.01,14,13.5,14,3241542,14
2010-01-22,14,14,14,14,80193,14
2010-01-25,14,13.9,13.9,13.9,324511,13.9
2010-01-26,13.9,13.9,13.9,13.9,13148,13.9
2010-01-27,13.9,14.1,14,14,32487340,14
2010-01-28,14,14.01,14.01,14.01,3918000,14.01
2010-02-02,14.01,14.01,14.01,14.01,6000,14.01
2010-02-04,14.01,14,14,14,32800,14
2010-02-09,14,14,14,14,213176,14
