date,open,high,low,close,volume,adj_close
2012-05-24,46.66,46.66,46.66,46.66,100,46.66
2012-06-07,46.66,50.59,50.59,50.59,100,50.59
2012-08-08,50.59,46.87,46.87,46.87,632,46.87
2012-08-10,46.87,47.5,47.5,47.5,130,47.5
2012-08-21,47.5,49,49,49,130,49
2012-08-31,49,50,49.92,49.92,320,49.92
2012-09-06,49.92,49.89,49.89,49.89,120,49.89
2012-09-07,49.89,51.99,51.92,51.92,240,51.92
2012-09-11,51.92,51.79,51.79,51.79,200,51.79
2012-09-14,51.79,57.23,57.23,57.23,200,57.23
2013-01-04,57.23,45.72,45.72,45.72,175,45.72
2013-01-10,45.72,45.77,45.77,45.77,175,45.77
2013-01-25,45.77,43.93,43.93,43.93,225,43.93
2013-02-06,43.93,44.9,44.45,44.9,299,44.9
2013-03-08,44.9,39.66,39.66,39.66,251,39.66
2013-03-12,39.66,39.44,39.44,39.44,170,39.44
2013-03-21,39.44,41.09,41.09,41.09,251,41.09
2013-04-23,41.09,32.33,32.33,32.33,463,32.33
2013-04-25,32.33,34.7,34.7,34.7,463,34.7
2013-04-29,34.7,34.12,34.12,34.12,439,34.12
2013-05-08,34.12,34,34,34,294,34
2013-05-13,34,32.74,32.74,32.74,294,32.74
2013-05-16,32.74,31.5,31.5,31.5,317,31.5
2013-05-17,31.5,30.39,30.39,30.39,317,30.39
2013-05-30,30.39,34.15,34.15,34.15,439,34.15
2013-07-01,34.15,29.54,29.54,29.54,74,29.54
2013-09-24,29.54,27.66,27.66,27.66,612,27.66
2014-04-03,27.66,24.07,24.07,24.07,170,24.07
2014-07-17,24.07,25.4,25.4,25.4,612,25.4
2016-03-01,25.4,25.22,25.22,25.22,92,25.22
2016-04-06,25.22,27.14,27.14,27.14,92,27.14
2016-07-07,27.14,40.32,40.32,40.32,353,40.32
2016-07-13,40.32,40.84,40.84,40.84,554,40.84
2016-07-27,40.84,41.26,41.26,41.26,161,41.26
2016-08-08,41.26,44.92,44.69,44.69,770,44.69
2016-08-30,44.69,39.69,39.69,39.69,200,39.69
2016-10-06,39.69,33.96,33.96,33.96,440,33.96
2016-11-30,33.96,33.03,33.03,33.03,330,33.03
2016-12-12,33.03,32.57,32.57,32.57,161,32.57
2017-01-09,32.57,35.59,35.59,35.59,270,35.59
2017-03-10,35.59,32.5,32.5,32.5,554,32.5
2017-12-29,32.5,37.74,37.74,37.74,1330,37.74
2018-01-04,37.74,38.05,38.05,38.05,400,38.05
2018-01-24,38.05,40.9,40.9,40.9,623,40.9
2018-04-02,40.9,39.45,39.45,39.45,400,39.45
2018-07-24,39.45,36.72,36.72,36.72,1330,36.72
2019-05-16,36.72,30.61,30.61,30.61,1860,30.61
2019-06-03,30.61,33.16,33.16,33.16,1860,33.16
2020-02-19,33.16,46.41,46.41,33.16,21,33.16
2020-04-09,33.16,56.51,56.51,33.16,54,33.16
2020-05-18,33.16,66.71,66.71,33.16,3,33.16
2020-05-20,33.16,67.34,67.34,33.16,3,33.16
2020-05-22,33.16,63.5,63.5,33.16,70,33.16
2020-05-26,33.16,59.58,59.58,33.16,3,33.16
2020-05-27,33.16,58.06,58.06,33.16,54,33.16
2020-07-28,33.16,68.69,68.17,33.16,63,33.16
2020-07-29,33.16,67.1,67.1,67.1,600,67.1
2020-08-13,67.1,63.9,63.9,63.9,400,63.9
2020-08-24,63.9,65.78,65.78,63.9,100,63.9
2020-08-28,63.9,66.91,66.91,66.91,719,66.91
2020-08-31,66.91,67.4,67.4,67.4,281,67.4
2020-09-21,67.4,63.93,63.93,63.93,100,63.93
2020-10-08,67.4,61.7,61.7,61.7,20,61.7
2020-11-18,67.4,62.96,62.96,67.4,20,67.4
2020-11-20,67.4,61.73,61.73,67.4,46,67.4
2020-12-14,67.4,59.14,59.14,59.14,40,59.14
2020-12-17,67.4,61.37,61.37,67.4,80,67.4
2020-12-21,67.4,60.8,60.8,60.8,100,60.8
2020-12-22,67.4,60.81,60.81,67.4,10,67.4
2020-12-23,67.4,59.7,59.7,67.4,100,67.4
2021-01-05,67.4,62.73,62.73,62.73,746,62.73
2021-01-08,62.73,63,63,63,140,63
2021-01-27,63,59.8,59.8,59.8,150,59.8
2021-02-01,59.8,59.05,59.05,59.05,123,59.05
2021-02-04,59.8,58.15,58.15,58.15,100,58.15
2021-02-09,59.8,60.94,60.94,60.94,181,60.94
