date,open,high,low,close,volume,adj_close
2010-03-03,3500,3500,3500,3500,1100,3500
2010-03-04,3500,3950,3650,3939.2,11591,3939.2
2010-03-05,3939.2,4200,4000,4200,2000,4200
2010-03-09,4200,4300,4150,4150,2970,4150
2010-03-10,4150,4150,4150,4150,403,4150
2010-03-12,4150,4160,4150,4160,1570,4160
2010-03-29,4160,4165,4165,4165,700,4165
2010-08-06,4165,4165,4165,4165,10,4165
2010-09-24,4165,4500,4300,4500,3161,4500
2010-09-29,4500,4500,4500,4500,90,4500
2010-10-08,4500,4900,4500,4687.3,1100,4687.3
2010-10-12,4687.3,5050,5000,5050,1968,5050
2010-10-13,5050,5200,5100,5200,1847,5200
2010-10-14,5200,5300,5250,5300,582,5300
2011-11-29,5300,6000,6000,6000,82,6000
2012-05-28,6000,6000,6000,6000,200,6000
2012-11-27,6000,6000,6000,6000,50,6000
2012-12-06,6000,6000,6000,6000,10,6000
2013-01-11,6000,5998,5998,5998,587,5998
2013-01-23,5998,6500,6500,6500,75,6500
2013-01-25,6500,7000,7000,7000,70,7000
2013-03-27,7000,7000,7000,7000,42,7000
2013-05-14,7000,7500,7500,7500,67,7500
2013-05-23,7500,8000,8000,8000,150,8000
2013-06-03,8000,8500,8500,8500,70,8500
2013-06-04,8500,8500,8500,8500,60,8500
2013-07-26,8500,8500,8500,8500,100,8500
2013-07-30,8500,8500,8500,8500,50,8500
2013-08-06,8500,8500,8500,8500,5,8500
2013-09-02,8500,8500,8500,8500,50,8500
2013-09-12,8500,8300,8300,8300,425,8300
2014-02-19,8300,8500,8500,8500,60,8500
2014-03-17,8500,8900,8900,8900,115,8900
2014-12-19,8900,8900,8900,8900,50,8900
2015-01-21,8900,8900,8900,8900,75,8900
2017-05-19,8900,6700,6700,6700,450,6700
2018-01-17,6700,6700,6700,6700,1604,6700
2018-01-25,6700,6700,6700,6700,750,6700
2018-04-11,6700,6700,6700,6700,158,6700
2019-05-30,6700,6700,6700,6700,350,6700
2019-06-10,6700,6700,6700,6700,100,6700
2019-10-22,6700,6700,6700,6700,0,6700
2019-11-19,6700,6700,6700,6700,0,6700
2019-11-20,6700,6700,6700,6700,0,6700
2019-11-21,6700,6700,6700,6700,0,6700
2019-11-23,6700,6700,6700,6700,0,6700
2019-12-20,6700,6700,6700,6700,0,6700
