date,open,high,low,close,volume,adj_close
2013-06-17,1,1,1,1,460000,1
2013-06-18,1,0.899,0.899,0.899,2991512,0.899
2013-06-19,0.899,0.899,0.899,0.899,1319578,0.899
2013-06-20,0.899,0.899,0.899,0.899,110432,0.899
2013-06-24,0.899,0.899,0.899,0.899,1070,0.899
2013-06-25,0.899,0.899,0.899,0.899,100000,0.899
2013-06-26,0.899,0.899,0.899,0.899,7500,0.899
2013-06-28,0.899,0.899,0.899,0.899,229124,0.899
2013-07-01,0.899,0.899,0.899,0.899,120000,0.899
2013-07-02,0.899,0.899,0.899,0.899,452100,0.899
2013-07-03,0.899,0.899,0.899,0.899,8498,0.899
2013-07-22,0.899,0.899,0.899,0.899,1000000,0.899
2013-07-24,0.899,0.8,0.8,0.8,22618850,0.8
2013-07-25,0.8,0.8,0.8,0.8,100000,0.8
2013-07-26,0.8,0.8,0.8,0.8,1933740,0.8
2013-07-30,0.8,0.75,0.75,0.75,7476515,0.75
2013-08-05,0.75,0.75,0.75,0.75,737163,0.75
2013-08-08,0.75,0.75,0.75,0.75,300602,0.75
2013-08-09,0.75,0.75,0.75,0.75,470718,0.75
2013-08-14,0.75,0.75,0.75,0.75,34000,0.75
2013-08-23,0.75,0.75,0.75,0.75,100000,0.75
2013-08-26,0.75,0.75,0.75,0.75,100000,0.75
2013-09-05,0.75,0.6,0.6,0.6,977500,0.6
2013-09-09,0.6,0.6,0.6,0.6,822191,0.6
2013-09-13,0.6,0.6,0.6,0.6,83000,0.6
2013-09-25,0.6,0.6,0.6,0.6,2000000,0.6
2013-09-26,0.6,0.6,0.6,0.6,2000000,0.6
2013-10-01,0.6,0.6,0.6,0.6,500000,0.6
2013-10-02,0.6,0.6,0.6,0.6,36079,0.6
2013-10-11,0.6,0.6,0.6,0.6,639124,0.6
2013-10-23,0.6,0.6,0.6,0.6,1513958,0.6
2013-10-28,0.6,0.6,0.6,0.6,1279288,0.6
2013-10-29,0.6,0.6,0.6,0.6,908108,0.6
2013-11-05,0.6,0.6,0.6,0.6,505599,0.6
2013-11-29,0.6,0.6,0.6,0.6,400000,0.6
2013-12-05,0.6,0.6,0.6,0.6,1619300,0.6
2013-12-06,0.6,0.6,0.6,0.6,21443,0.6
2013-12-10,0.6,0.6,0.6,0.6,758426,0.6
2013-12-11,0.6,0.188,0.185,0.188,235190000,0.188
2013-12-12,0.188,0.188,0.188,0.188,50000,0.188
2013-12-16,0.188,0.2,0.19,0.19,29277320,0.19
2013-12-17,0.19,0.19,0.19,0.19,100000,0.19
2013-12-18,0.19,0.19,0.19,0.19,4196316,0.19
2013-12-20,0.19,0.191,0.191,0.191,3975145,0.191
2013-12-27,0.191,0.192,0.192,0.192,6214479,0.192
2013-12-30,0.192,0.192,0.192,0.192,867850,0.192
2014-01-02,0.192,0.192,0.192,0.192,2026316,0.192
2014-01-03,0.192,0.22,0.22,0.22,4118569,0.22
2014-01-06,0.22,0.22,0.22,0.22,66921,0.22
2014-01-07,0.22,0.22,0.22,0.22,4656430,0.22
2014-01-08,0.22,0.25,0.25,0.25,20779400,0.25
2014-01-10,0.25,0.281,0.28,0.281,5758426,0.281
2014-01-13,0.281,0.28,0.28,0.28,5552500,0.28
2014-01-15,0.28,0.28,0.28,0.28,1600000,0.28
2014-01-20,0.28,0.28,0.28,0.28,586570,0.28
2014-01-22,0.28,0.28,0.28,0.28,2713,0.28
2014-01-23,0.28,0.28,0.28,0.28,501000,0.28
2014-01-30,0.28,0.201,0.201,0.201,27628860,0.201
2014-02-03,0.201,0.201,0.201,0.201,1001000,0.201
2014-02-07,0.201,0.201,0.201,0.201,1066084,0.201
2014-02-10,0.201,0.2,0.2,0.2,17897080,0.2
2014-02-11,0.2,0.204,0.204,0.204,8242591,0.204
2014-02-12,0.204,0.2,0.2,0.2,9115815,0.2
2014-02-17,0.2,0.201,0.201,0.2,23085040,0.2
2014-02-19,0.2,0.2,0.2,0.2,17206140,0.2
2014-02-20,0.2,0.2,0.2,0.2,1034100,0.2
2014-02-21,0.2,0.22,0.22,0.22,8000000,0.22
2014-02-24,0.22,0.25,0.22,0.25,40094100,0.25
2014-02-25,0.25,0.255,0.25,0.255,6245026,0.255
2014-02-26,0.255,0.26,0.26,0.26,15948970,0.26
2014-03-03,0.26,0.26,0.26,0.26,3943000,0.26
2014-03-04,0.26,0.26,0.26,0.26,11181540,0.26
2014-03-05,0.26,0.26,0.26,0.26,268462,0.26
2014-03-14,0.26,0.26,0.26,0.26,3994150,0.26
2014-03-18,0.26,0.26,0.26,0.26,2000000,0.26
2014-03-19,0.26,0.26,0.26,0.26,188000,0.26
2014-03-20,0.26,0.26,0.26,0.26,300000,0.26
2014-03-24,0.26,0.26,0.26,0.26,844100,0.26
2014-03-26,0.26,0.26,0.26,0.26,63983280,0.26
2014-03-28,0.26,0.26,0.26,0.26,505850,0.26
2014-04-04,0.26,0.26,0.26,0.26,1693248,0.26
2014-04-07,0.26,0.3,0.3,0.3,10343550,0.3
2014-04-08,0.3,0.33,0.31,0.33,7023177,0.33
2014-04-09,0.33,0.35,0.35,0.35,12026990,0.35
2014-04-10,0.35,0.35,0.35,0.35,25755,0.35
2014-04-11,0.35,0.35,0.35,0.35,12265,0.35
2014-04-14,0.35,0.35,0.35,0.35,161980,0.35
2014-04-16,0.35,0.35,0.35,0.35,69919,0.35
2014-04-17,0.35,0.35,0.35,0.35,15501190,0.35
2014-04-22,0.35,0.35,0.35,0.35,2000000,0.35
2014-04-24,0.35,0.4,0.4,0.4,2324734,0.4
2014-04-25,0.45,0.45,0.45,0.45,10000000,0.45
2014-04-28,0.45,0.45,0.45,0.45,296353,0.45
2014-04-29,0.45,0.428,0.428,0.428,1170000,0.428
2014-04-30,0.428,0.428,0.428,0.428,1000000,0.428
2014-05-02,0.428,0.44,0.44,0.44,5500583,0.44
2014-05-05,0.44,0.44,0.44,0.44,9403260,0.44
2014-05-06,0.44,0.465,0.465,0.465,2574734,0.465
2014-05-07,0.465,0.49,0.49,0.49,4209841,0.49
2014-05-08,0.49,0.51,0.51,0.51,2333021,0.51
2014-05-09,0.51,0.51,0.51,0.51,3920000,0.51
2014-05-12,0.51,0.51,0.51,0.51,1403032,0.51
2014-05-13,0.51,0.51,0.51,0.51,192307,0.51
2014-05-15,0.51,0.499,0.499,0.499,5000000,0.499
2014-05-19,0.499,0.499,0.499,0.499,500000,0.499
2014-05-22,0.499,0.499,0.499,0.499,2431402,0.499
2014-05-26,0.499,0.488,0.488,0.488,1010940,0.488
2014-06-17,0.488,0.488,0.488,0.488,366410,0.488
2014-06-19,0.488,0.488,0.488,0.488,215736,0.488
2014-07-04,0.488,0.488,0.488,0.488,300000,0.488
2014-07-08,0.488,0.488,0.488,0.488,2298000,0.488
2014-07-10,0.488,0.36,0.343,0.36,126770800,0.36
2014-07-11,0.36,0.4,0.4,0.4,14102150,0.4
2014-07-15,0.4,0.4,0.4,0.4,200000,0.4
2014-07-24,0.4,0.4,0.4,0.4,200000,0.4
2014-07-28,0.4,0.4,0.4,0.4,66810,0.4
2014-07-30,0.4,0.33,0.33,0.33,26847180,0.33
2014-07-31,0.33,0.33,0.33,0.33,100000,0.33
2014-08-05,0.33,0.321,0.32,0.32,12752820,0.32
2014-08-06,0.32,0.319,0.319,0.319,10292980,0.319
2014-08-12,0.319,0.319,0.319,0.319,3178788,0.319
2014-08-13,0.319,0.319,0.319,0.319,42633,0.319
