date,open,high,low,close,volume,adj_close
2013-06-25,60.24,60.73,60.24,60.24,1440,60.24
2013-06-26,60.24,62.03,62.03,62.03,165,62.03
2013-06-27,62.03,62.7,62.3,62.3,1275,62.3
2013-07-05,62.3,63.45,63.45,63.45,157,63.45
2013-07-26,63.45,62.46,62.46,62.46,458,62.46
2013-12-12,62.46,75.82,75.82,75.82,458,75.82
2014-01-06,75.82,77.9,77.9,77.9,64,77.9
2014-01-17,77.9,73.98,73.98,73.98,64,73.98
2014-02-18,73.98,75.3,75.3,75.3,80,75.3
2014-03-14,75.3,78.84,78.84,78.84,157,78.84
2014-03-19,78.84,79.71,79.71,79.71,80,79.71
2014-04-07,79.71,71.05,71.05,71.05,28,71.05
2014-04-10,71.05,73.87,73.87,73.87,16,73.87
2014-05-02,73.87,73.35,73.35,73.35,16,73.35
2014-06-20,73.35,75.36,75.36,75.36,636,75.36
2014-07-07,75.36,78.68,78.55,78.55,739,78.55
2014-07-24,78.55,78.52,78.52,78.52,1073,78.52
2014-11-12,78.52,95.32,94.69,95.32,376,95.32
2014-11-21,95.32,98.71,98.71,98.71,74,98.71
2014-11-25,98.71,98.15,98.15,98.15,28,98.15
2015-01-23,98.15,96.41,96.41,96.41,410,96.41
2015-01-27,96.41,94.45,94.32,94.4,225,94.4
2015-02-09,94.4,91.1,91.1,91.1,60,91.1
2015-02-11,91.1,91.14,91.14,91.14,54,91.14
2015-02-12,91.14,91.81,91.05,91.81,226,91.81
2015-02-13,91.81,92.18,92.18,92.18,60,92.18
2015-02-23,92.18,95,95,95,98,95
2015-02-24,95,95.2,95.2,95.2,43,95.2
2015-03-02,95.2,98.5,98.5,98.5,85,98.5
2015-03-16,98.5,96.25,96.25,96.25,77,96.25
2015-03-18,96.25,95.64,95.64,95.64,125,95.64
2015-03-20,95.64,101.41,101.41,101.41,125,101.41
2015-03-23,101.41,102.33,102.33,102.33,71,102.33
2015-04-06,102.33,100.35,100.35,100.35,75,100.35
2015-04-09,100.35,100.92,100.92,100.92,75,100.92
2015-04-17,100.92,98.5,98.4,98.4,214,98.4
2015-05-08,98.4,103,102.49,102.49,229,102.49
2015-05-12,102.49,102,101.7,102,208,102
2015-05-13,102,101.9,101.9,101.9,33,101.9
2015-06-02,101.9,102.61,102.61,102.61,39,102.61
2015-06-04,102.61,101.8,101.8,101.8,64,101.8
2015-06-18,101.8,106.2,106,106.2,259,106.2
2015-06-22,106.2,106.8,106.8,106.8,90,106.8
2015-06-25,106.8,105.1,105.1,105.1,137,105.1
2015-07-09,105.1,110.39,110.39,110.39,13,110.39
2015-07-14,110.39,112.9,112.9,112.9,75,112.9
2015-07-15,112.9,112.27,112.22,112.22,114,112.22
2015-07-22,112.22,113.83,113.83,113.83,68,113.83
2015-07-27,113.83,112,111.79,111.79,265,111.79
2015-07-29,111.79,115.13,115.13,115.13,217,115.13
2015-08-05,115.13,117.65,117.01,117.45,619,117.45
2015-08-11,117.45,114.64,114.36,114.64,157,114.64
2015-08-12,114.64,110.97,110.73,110.97,185,110.97
2015-08-19,110.97,114.55,114.43,114.55,508,114.55
2015-08-25,114.55,106,106,106,470,106
2015-08-28,106,112.16,112.16,112.16,470,112.16
2015-09-01,112.16,108.82,108.82,108.82,2,108.82
2015-09-03,108.82,111.86,111.86,111.86,62,111.86
2015-09-15,111.86,112.9,112.9,112.9,12,112.9
2015-09-21,112.9,116.76,116.58,116.76,177,116.76
2015-09-25,116.76,124.4,124.4,124.4,70,124.4
2015-10-20,124.4,132.78,132.78,132.78,20,132.78
2015-10-22,132.78,130.76,130.76,130.76,90,130.76
2015-10-23,130.76,130.22,130.22,130.22,60,130.22
2015-10-28,130.22,130,130,130,152,130
2015-10-30,130,131.22,131.22,131.22,46,131.22
2015-11-12,131.22,126.04,126.04,126.04,5,126.04
2015-11-13,126.04,122.08,121.9,121.9,385,121.9
2015-11-16,121.9,121.89,121.89,121.89,57,121.89
2015-11-18,121.89,123.26,123.04,123.04,74,123.04
2015-11-20,123.04,132.7,131,131,307,131
2015-11-24,131,132.37,132.37,132.37,124,132.37
2015-11-27,132.37,134.44,134.44,134.44,10,134.44
2015-12-10,134.44,128.04,128.04,128.04,54,128.04
2015-12-11,128.04,126,125.96,125.96,173,125.96
2015-12-17,125.96,131.47,131.24,131.47,110,131.47
2015-12-23,131.47,128.5,128.37,128.37,110,128.37
